Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
% Humedad del suelo sobre una capacidad de 75 mm;PRINCIPADO DE ASTURIAS;100.0;77.6;63.1;76.8;54.1;61.2;36.8;30.4;45.7;96.3;100.0;90.4
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE BALEARES;74.0;44.0;23.6;22.5;12.9;1.7;1.2;16.5;32.7;78.8;84.3;66.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANTABRIA;100.0;72.7;66.9;76.1;60.3;46.3;56.5;50.4;62.3;93.2;100.0;90.0
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE CEUTA;98.3;57.1;32.4;56.4;9.9;1.5;0.8;0.7;0.7;22.1;94.9;82.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE LA RIOJA;90.5;60.5;33.5;62.9;42.1;17.9;22.3;13.5;33.3;53.6;94.1;84.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD DE MADRID;78.4;45.1;19.1;64.3;8.7;0.8;0.5;21.2;33.9;45.3;78.9;90.3
% Humedad del suelo sobre una capacidad de 75 mm;CIUDAD AUTÓNOMA DE MELILLA;23.9;13.7;60.9;27.9;4.3;4.1;0.8;0.5;8.8;31.7;60.5;53.3
% Humedad del suelo sobre una capacidad de 75 mm;REGIÓN DE MURCIA;32.9;17.2;23.3;63.1;9.5;0.8;0.5;8.7;48.8;44.9;36.3;53.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD FORAL DE NAVARRA;92.0;60.3;43.1;63.7;63.2;21.2;29.6;20.4;30.0;63.1;95.9;89.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CANARIAS;23.5;18.4;26.9;13.5;2.8;2.0;1.2;0.7;2.0;17.3;19.2;23.7
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;83.7;46.3;26.0;49.6;5.3;0.8;0.5;2.4;19.6;21.6;76.7;80.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE ARAGÓN;79.2;48.5;31.3;52.3;31.2;6.4;9.2;24.3;20.7;54.5;74.7;77.9
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;75.5;42.4;25.3;70.1;10.8;0.9;0.9;10.5;32.0;38.7;83.1;88.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;96.7;64.5;35.7;61.6;18.7;13.6;9.7;12.1;26.0;70.4;98.7;93.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE CATALUÑA;71.7;45.6;19.9;41.6;41.2;11.6;21.7;25.9;33.2;86.9;87.1;87.3
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE EXTREMADURA;91.7;52.7;27.5;49.5;5.3;0.7;0.8;3.3;9.6;27.7;91.7;90.4
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DE GALICIA;100.0;76.3;56.3;83.7;37.1;43.1;20.5;21.7;46.0;99.1;100.0;94.0
% Humedad del suelo sobre una capacidad de 75 mm;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;100.0;65.2;62.0;80.0;73.6;33.5;64.7;37.2;60.4;86.7;100.0;92.1
% Humedad del suelo sobre una capacidad de 75 mm;COMUNITAT VALENCIANA;37.9;19.7;40.5;64.7;16.8;1.7;2.0;23.1;44.4;49.6;36.3;62.1
