Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;99;98;103;116;130;141;178;181;162;150;122;112;133
1387E;92;94;97;111;126;141;177;181;;146;;106;
1428;87;91;92;104;122;136;;179;159;143;115;104;
8175;60;61;65;91;103;104;128;136;153;112;90;90;99
8178D;60;62;71;86;104;123;152;153;148;115;90;89;104
8025;78;84;95;117;139;163;201;230;213;159;93;105;140
8019;;;;;142;164;206;;224;169;99;110;
6325O;99;102;116;132;161;189;227;247;225;179;122;;
9091O;76;77;80;96;110;140;167;169;148;130;98;87;115
1212E;90;;99;110;126;;193;191;169;140;105;97;
1208H;94;97;104;112;126;151;191;193;171;148;111;102;133
1249I;85;84;92;101;121;145;;182;162;138;101;90;
2444;57;55;55;72;72;81;100;106;104;99;81;72;80
4452;87;89;86;104;107;114;143;140;128;130;121;116;114
B954;90;100;109;124;137;176;226;240;222;178;109;115;152
B893;94;104;114;126;129;174;210;230;209;176;125;122;151
B228;84;95;105;115;129;181;220;239;216;173;115;;
B278;84;94;110;120;129;176;210;236;208;172;119;119;148
0200E;64;79;83;99;119;145;201;204;170;155;88;95;125
0076;76;;101;118;142;185;243;;;173;101;;
1082;90;85;92;106;126;156;197;192;168;147;;99;
2331;63;63;65;84;91;100;137;134;121;106;88;80;94
3469A;80;84;79;97;93;101;123;122;118;120;114;109;103
5973;107;110;123;129;154;173;203;213;206;178;149;137;157
5960;96;95;108;;138;155;198;184;182;;134;;
5910;102;105;113;126;147;165;203;200;193;164;139;126;149
6001;121;126;133;;168;;;222;210;181;143;;
1111;92;102;105;116;131;161;202;199;174;152;117;110;138
1109;93;95;102;114;130;;196;198;176;150;113;105;
8500A;73;87;90;107;129;155;205;226;194;157;86;103;134
5000C;115;125;134;129;156;169;201;215;210;169;134;136;158
4121;64;65;68;92;94;92;120;111;134;112;102;97;96
5402;80;86;;;109;117;151;;145;121;114;113;
8096;52;50;55;79;83;85;110;116;123;103;86;80;85
1014;89;89;93;109;125;165;202;199;170;151;111;101;134
1024E;85;80;88;105;125;157;198;196;170;146;106;101;130
0367;67;;;;126;;209;;170;157;99;100;
5530E;66;69;78;97;104;114;143;139;152;110;100;92;105
5514;62;66;74;85;92;104;;147;139;102;96;86;
3013;49;49;54;77;84;91;121;114;110;95;79;73;83
4642E;95;99;107;119;140;148;183;163;174;149;130;122;136
9898;62;64;65;87;95;106;140;152;128;122;90;90;100
5270B;67;70;73;97;96;111;139;121;148;110;102;93;102
9170;70;74;72;92;97;116;149;149;140;122;97;90;106
C249I;131;143;152;;;179;;219;218;201;180;;
C649I;;117;141;;157;170;182;198;195;184;163;;
C029O;126;126;143;147;168;176;195;215;209;194;;147;
2661;;59;58;72;77;99;119;113;104;100;81;74;
1549;66;70;66;83;91;122;147;136;120;;97;85;
9771C;68;74;76;95;104;121;160;173;144;133;93;95;111
1505;82;79;87;98;116;134;169;167;148;133;107;94;118
3191E;60;62;61;78;87;92;117;122;114;107;;79;
3129;59;61;63;82;84;88;111;113;123;112;91;87;90
3196;64;66;66;84;91;101;118;125;128;117;92;88;95
3200;63;;64;85;92;96;122;;126;115;;90;
3195;57;61;69;82;101;126;;118;107;104;83;75;
3175;60;61;63;86;85;89;113;115;128;118;98;89;92
2462;40;45;48;62;66;73;91;89;90;85;66;;
6155A;92;105;113;117;146;158;199;215;;150;117;;
6000A;100;110;122;124;155;176;213;222;228;165;130;130;156
7178I;70;76;79;108;131;145;181;210;209;154;96;106;130
7228;75;80;88;123;139;140;177;202;203;153;100;108;132
9263D;67;69;74;90;102;130;;158;134;123;91;83;
1690A;82;86;85;101;111;131;168;162;144;137;115;101;119
1484C;92;95;95;112;124;140;178;178;156;151;125;111;130
1495;90;;93;;122;138;179;179;155;152;126;113;
2867;;63;;81;85;105;129;135;121;109;92;84;
2870;65;67;71;86;100;;;152;128;114;93;86;
C929I;;137;154;;176;194;211;;222;;193;;
C430E;23;25;38;41;;46;39;54;55;;;;
C139E;134;133;146;;171;188;203;221;209;199;;152;
C449C;127;121;134;136;154;164;175;187;189;182;165;142;156
C447A;118;100;;131;148;155;177;178;180;161;;130;
C429I;119;;138;145;163;;191;202;204;;;135;
2465;59;55;56;76;77;84;105;107;103;100;86;74;82
5796;80;83;97;106;134;151;186;184;168;133;118;108;129
5783;88;94;100;;123;134;;;155;137;;121;
2030;51;55;56;75;76;90;125;119;107;101;82;75;84
0016A;70;88;93;;131;170;230;234;196;155;89;95;
9981A;68;85;81;102;112;151;199;213;179;151;96;99;128
9381I;53;54;56;81;88;96;134;131;115;102;80;75;89
8368U;51;52;56;79;90;103;135;133;128;106;74;74;90
3260B;;66;67;;89;89;119;120;;;97;96;
8414A;69;80;85;110;129;154;200;218;201;154;90;105;133
2422;65;64;63;80;79;90;118;117;114;111;92;85;90
2539;60;60;63;79;79;93;117;117;113;109;90;83;89
2614;68;70;69;83;83;106;129;127;116;114;96;89;96
9390;55;58;59;81;88;99;131;130;114;104;81;77;90
9434;68;74;70;94;95;117;148;153;134;127;95;92;106
