Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;78;67;69;77;72;73;;76;75;78;80;;
1387E;81;;;77;71;;77;77;;82;;80;
1428;84;75;73;79;70;79;;79;78;90;94;87;
8175;;59;52;;49;36;36;43;62;63;75;83;
8178D;63;55;52;63;50;43;43;48;59;61;72;78;57
8025;57;59;58;63;58;53;53;65;71;66;52;68;60
8019;;;;;59;;;;75;71;57;70;
6325O;64;63;64;67;63;;64;68;70;;67;;
9091O;86;74;69;74;72;64;68;69;74;76;85;85;75
1212E;;;;;77;;;81;82;;76;;
1208H;75;71;72;73;73;75;;76;75;76;73;71;
1249I;85;67;71;72;75;79;;79;80;81;80;73;
2444;72;57;50;62;42;35;34;40;53;65;79;73;55
4452;76;67;55;61;42;40;43;41;45;62;76;82;58
B954;69;71;68;68;;60;61;66;74;72;61;73;
B893;75;77;74;73;61;60;57;66;71;74;77;81;71
B228;;65;64;;58;60;;65;;;;;
B278;68;;71;65;56;55;52;;;;72;77;
0200E;61;60;58;67;69;56;62;65;67;74;64;72;65
0076;64;;65;67;70;;66;;;;65;;
1082;83;63;66;68;72;70;73;72;73;73;;73;
2331;81;70;62;71;61;48;55;55;64;71;86;85;67
3469A;77;68;53;61;38;36;35;35;43;61;78;85;56
5973;71;67;66;67;62;67;;68;71;;80;79;
5960;74;65;;;51;;;51;;;;;
5910;75;68;63;66;57;61;67;62;67;71;78;78;68
6001;82;;;;;;;79;80;84;;;
1111;;74;;;79;81;82;80;76;;77;77;
1109;79;71;70;72;74;;75;77;76;77;76;75;
8500A;56;61;53;58;56;51;53;62;64;65;48;66;58
5000C;71;76;74;69;65;64;64;66;76;70;70;77;70
4121;66;57;49;63;39;29;30;31;53;57;77;85;53
5402;70;64;;;38;35;;;46;;;77;
8096;59;49;46;64;44;32;32;39;54;61;79;75;53
1014;82;66;64;68;72;71;75;;71;74;78;75;
1024E;85;62;67;75;;79;84;83;80;76;82;77;
0367;;;;;65;;58;;65;;76;81;
5530E;71;62;57;64;42;36;38;38;58;59;80;77;57
5514;65;59;54;58;38;34;;40;53;54;76;72;
3013;68;56;54;;53;40;42;46;58;64;78;80;
4642E;71;66;60;65;53;54;58;47;59;65;73;76;62
9898;78;58;49;61;50;37;41;47;53;68;80;;
5270B;59;52;45;61;37;35;37;31;53;51;74;68;50
9170;69;68;55;61;53;44;48;49;60;;80;80;
C249I;64;68;71;;;65;;72;;71;72;;
C649I;;54;67;;63;62;;65;66;64;65;;
C029O;64;62;67;64;;63;65;;69;69;;67;
2661;;64;54;62;47;48;45;46;;69;83;80;
1549;78;66;52;61;;;;52;53;;;88;
9771C;80;;53;;;39;43;48;53;69;75;84;
1505;87;71;73;76;;72;75;74;76;83;91;;
3191E;62;58;48;64;45;36;35;40;51;64;;76;
3129;64;59;47;56;37;28;28;33;50;62;;78;
3196;64;57;47;58;40;33;31;;52;;;77;
3200;63;;45;58;40;32;31;;49;61;;78;
3195;;;47;57;45;40;;35;43;;67;67;
3175;67;59;48;61;39;29;29;35;52;66;77;82;54
2462;68;61;60;80;54;45;41;44;60;74;99;;
6155A;61;;;;56;;54;59;;60;61;;
6000A;63;69;68;64;61;63;64;63;74;65;66;73;66
7178I;52;52;47;57;50;43;;53;66;62;55;68;
7228;59;57;54;64;53;42;43;52;66;64;59;73;57
9263D;77;68;;66;;54;;56;60;71;82;81;
1690A;;69;61;67;55;60;57;59;61;74;83;;
1484C;77;69;66;75;;73;71;73;70;85;91;;
1495;84;;68;;64;;71;75;70;89;95;90;
2867;;;;64;;44;44;51;60;71;82;85;
2870;76;62;56;64;50;;;;;68;78;80;
C929I;;61;71;;72;;74;;76;;74;;
C430E;29;28;44;43;;;20;25;30;;;;
C139E;64;61;69;;;;;73;72;72;;66;
C449C;;56;60;58;;57;56;56;61;63;;61;
C447A;;61;;81;;75;82;;77;72;;77;
C429I;;;62;63;;;63;;67;;;;
2465;73;53;48;63;44;35;35;38;50;62;83;73;55
5796;65;58;57;61;48;;53;47;55;57;72;;
5783;68;;56;;;42;;;49;57;;75;
2030;62;58;51;;48;40;46;;57;67;84;77;
0016A;63;70;61;;62;59;61;65;68;70;;70;
9981A;53;62;49;55;47;47;49;57;59;64;58;67;56
9381I;70;57;51;65;53;37;44;46;55;62;73;76;57
8368U;65;55;50;63;51;40;43;46;58;64;68;74;56
3260B;;55;45;;37;28;30;33;;;71;81;
8414A;56;60;53;61;56;51;52;60;68;65;51;70;59
2422;79;62;53;61;44;38;40;43;55;68;80;86;59
2539;;64;58;65;47;;;45;57;72;83;88;
2614;79;66;56;61;43;44;43;44;52;67;78;87;60
9390;69;58;52;63;52;37;41;45;53;61;71;76;57
9434;;62;;58;45;;41;44;;61;70;;
