Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;4.2;6.2;7.3;6.7;9.5;;9.5;8.4;8.1;4.4;1.8;3.2;
1428;4.7;5.9;6.7;5.7;9.2;5.7;8.8;7.9;7.2;3.1;1.7;3.2;5.8
8175;6.8;8.6;8.9;6.9;10.3;11.8;11.6;10.4;7.9;7.8;5.0;4.4;8.4
8178D;;;;;;;12.1;;;;;;
8025;7.0;9.4;8.9;8.3;11.1;12.3;11.7;11.3;8.9;8.6;7.5;5.8;9.2
8019;6.9;9.2;8.8;8.2;10.9;12.5;11.7;11.0;8.7;8.5;7.5;5.5;9.1
6325O;7.6;8.8;8.5;9.1;11.1;12.1;11.6;11.0;8.5;8.5;7.0;5.7;9.1
9091O;2.5;6.5;7.3;5.5;6.9;8.7;7.8;8.5;6.6;5.7;2.1;2.5;5.9
1212E;3.0;6.9;7.1;5.6;7.6;4.2;6.6;5.3;6.4;4.0;1.8;3.0;5.1
1208H;2.8;6.7;6.7;6.2;7.8;5.6;7.3;;6.3;4.3;2.3;2.9;
1249I;3.4;6.9;7.3;6.1;7.4;4.2;5.9;5.2;6.4;4.2;2.2;3.4;5.2
2444;5.0;8.1;9.4;6.7;11.2;11.5;12.0;10.8;9.0;7.2;3.3;3.8;8.2
4452;6.0;7.8;10.0;8.3;11.6;12.4;12.0;11.7;10.2;7.3;4.0;4.0;8.8
B954;6.7;8.0;8.5;7.5;10.5;10.8;10.9;10.0;7.3;7.5;6.8;5.0;8.3
B893;5.2;;8.0;;10.2;11.8;11.5;10.7;8.4;7.4;4.8;5.4;
B228;6.2;8.0;7.5;7.2;9.5;11.3;10.8;10.4;7.9;7.4;4.9;5.4;8.0
B278;5.9;7.9;8.1;7.5;9.3;11.1;10.6;10.6;7.2;7.2;4.5;5.2;7.9
0200E;7.0;8.9;8.4;6.2;9.1;11.3;11.0;10.1;7.7;5.7;6.7;5.2;8.1
0076;4.3;7.8;8.9;6.3;8.5;10.2;10.0;9.3;7.8;5.3;4.5;2.7;7.1
1082;1.7;6.2;6.1;4.2;6.1;6.0;6.5;5.8;5.8;4.0;1.3;3.1;4.7
2331;3.8;7.8;8.1;5.8;8.7;9.7;10.0;9.8;7.8;5.7;1.9;3.5;6.9
3469A;6.8;8.5;10.0;8.3;12.0;12.6;12.5;11.8;9.8;7.5;4.2;4.6;9.1
5960;7.0;9.1;8.9;8.1;11.9;12.5;11.7;11.7;9.3;8.0;5.6;5.8;9.1
5910;6.8;8.6;9.1;8.9;11.6;12.1;11.1;11.7;9.4;8.2;5.5;5.6;9.1
1111;2.4;6.8;7.6;6.1;7.7;6.9;7.9;6.9;7.3;4.6;1.8;3.6;5.8
1109;2.1;6.3;6.8;5.4;7.1;6.1;7.5;6.1;6.4;4.4;1.5;2.7;5.2
8500A;7.5;9.0;9.8;7.7;10.3;12.1;11.5;10.3;8.6;8.0;6.9;5.1;8.9
5000C;5.9;5.6;7.2;8.5;10.8;11.6;10.4;9.9;7.5;7.3;5.7;3.9;7.9
4121;7.3;8.8;9.7;7.1;11.4;12.9;12.5;12.0;8.8;8.2;3.8;3.2;8.8
5402;7.5;8.9;10.4;9.1;12.3;12.9;12.8;12.5;10.2;9.1;6.0;6.4;9.8
8096;6.3;8.5;8.5;5.6;8.2;9.7;9.8;9.4;7.9;7.0;3.4;4.0;7.4
1014;1.5;6.4;6.6;5.2;6.7;7.2;6.3;6.6;6.6;3.9;1.2;2.3;5.0
1024E;1.9;6.9;6.8;5.2;6.8;7.3;6.4;6.9;7.1;4.6;1.7;3.6;5.4
0367;6.6;8.2;8.9;6.5;8.9;11.0;;10.3;8.4;6.5;5.9;5.7;
5530E;6.7;9.1;9.3;7.0;12.3;13.1;12.2;11.9;9.0;9.0;4.2;5.9;9.1
5514;6.4;8.2;8.3;7.4;12.4;13.0;12.0;11.9;8.7;8.5;4.3;5.9;8.9
3013;5.2;8.0;8.7;;9.6;11.5;10.8;10.2;8.0;7.0;2.8;3.4;
4642E;7.4;9.4;10.0;9.2;12.5;12.8;12.8;12.4;10.2;8.4;5.9;5.8;9.7
9898;5.7;8.9;9.9;7.6;10.7;11.3;11.3;10.4;9.5;7.2;5.2;3.4;8.4
5270B;6.1;8.6;9.2;7.2;12.2;12.7;12.3;12.0;8.4;;4.0;4.8;
