Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;4;2;1;4;1;1;0;1;0;5;10;7;36
1387E;3;3;1;6;1;2;0;1;0;5;10;5;37
1428;3;3;3;8;2;1;0;2;2;9;17;7;57
8175;0;0;1;3;0;0;1;1;3;1;2;1;13
8178D;0;0;1;4;0;0;1;1;2;1;2;0;12
8025;0;0;1;3;0;0;0;2;4;2;1;2;15
8019;0;0;1;4;0;0;0;1;4;1;1;2;14
6325O;0;0;1;1;0;0;0;0;1;1;1;2;7
9091O;8;2;0;2;1;0;2;1;2;2;9;2;31
1212E;6;2;1;2;3;0;0;0;1;6;12;7;40
1208H;4;2;1;2;2;3;1;0;0;5;14;4;38
1249I;6;3;0;3;3;5;1;2;2;4;12;5;46
2444;0;0;1;1;0;0;0;2;1;1;0;2;8
4452;2;0;0;0;0;0;0;0;0;1;2;3;8
B954;0;0;0;0;0;0;0;1;1;2;0;1;5
B893;1;;0;1;0;0;1;0;1;1;6;1;
B228;0;0;0;0;0;0;0;1;2;3;3;3;12
B278;0;0;0;1;0;0;0;1;2;3;2;2;11
0200E;0;0;0;0;3;1;1;1;1;1;2;1;11
0076;2;0;0;1;3;1;1;2;5;2;0;1;18
1082;11;1;3;3;2;0;2;0;3;4;14;4;47
2331;1;0;0;3;0;0;5;0;1;3;1;1;15
3469A;1;0;0;1;0;0;0;0;1;0;3;3;9
5973;2;0;0;1;0;0;0;0;0;0;1;2;6
5960;2;0;0;1;0;0;0;0;0;2;2;2;9
5910;2;0;0;0;0;0;0;0;0;1;2;1;6
6001;2;1;;;;;;0;0;0;5;;
1111;7;1;0;4;2;2;2;2;2;4;14;5;45
1109;8;1;0;4;3;2;3;1;3;5;14;4;48
8500A;0;0;1;1;1;0;0;2;2;1;0;3;11
5000C;2;1;1;2;0;0;0;0;0;1;6;2;15
4121;0;0;0;2;0;0;1;0;2;1;2;2;10
5402;1;0;1;1;0;0;0;1;0;0;2;3;9
8096;1;0;1;3;1;0;0;1;1;2;2;3;15
1014;11;1;2;4;4;4;5;3;2;8;18;4;66
1024E;8;1;2;5;4;2;5;4;2;8;16;4;61
0367;0;0;0;2;4;1;2;0;3;1;1;1;15
5530E;3;1;0;3;0;0;0;0;4;0;2;1;14
5514;1;0;0;4;0;0;0;0;2;1;2;1;11
3013;0;0;2;1;1;0;1;0;0;1;1;2;9
4642E;1;0;0;1;0;0;0;0;0;1;1;;
9898;0;0;0;3;1;0;2;1;2;2;1;3;15
5270B;1;1;2;5;0;0;0;;;0;3;2;
9170;1;2;0;2;1;1;2;1;2;0;2;0;14
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;1;0;0;1;0;0;0;0;0;0;0;0;2
C029O;0;0;1;0;0;0;0;0;0;0;0;0;1
2661;0;0;0;1;0;1;0;0;1;2;3;4;12
1549;2;1;0;1;1;3;1;0;1;3;3;6;22
9771C;0;0;0;0;1;0;1;1;0;1;0;1;5
1505;4;1;2;8;1;1;2;0;2;5;11;8;45
3191E;2;0;1;2;0;0;0;0;1;0;1;2;9
3129;0;0;1;4;0;0;1;2;2;1;0;2;13
3196;0;0;0;2;0;0;0;1;2;2;0;2;9
3200;0;0;0;2;0;0;0;1;1;3;0;3;10
3195;0;0;0;2;0;0;0;3;1;2;0;3;11
3175;0;0;0;2;0;0;0;1;1;0;0;1;5
2462;6;0;2;6;0;0;0;2;3;5;10;7;41
6155A;0;0;1;1;0;0;0;0;1;0;2;2;7
6000A;1;0;2;1;0;1;0;0;1;1;1;1;9
7178I;0;0;1;2;0;0;0;1;2;1;0;1;8
7228;0;0;1;2;0;0;0;0;3;2;0;1;9
7031;0;0;1;2;0;0;0;0;2;1;0;1;7
9262;7;2;0;2;4;1;1;0;;;9;;
9263D;6;2;1;3;4;1;1;0;2;3;7;2;32
1690A;3;1;2;7;0;2;1;0;1;5;4;7;33
1484C;3;2;3;10;2;1;0;3;3;9;16;8;60
1495;5;2;3;12;1;1;0;3;3;6;20;10;66
2867;0;0;1;0;0;0;0;1;0;1;0;1;4
2870;1;0;1;0;0;;;1;1;2;1;1;
C929I;0;0;0;1;0;0;0;0;0;0;0;0;1
C430E;1;2;1;0;0;0;0;0;0;1;0;4;9
C139E;0;0;0;0;0;0;0;0;0;2;0;0;2
C449C;1;1;0;1;0;0;0;0;0;1;0;1;5
C447A;1;1;1;1;0;0;0;0;0;2;0;3;9
C429I;0;0;1;2;0;0;0;0;0;0;0;0;3
2465;2;0;0;0;1;0;1;1;0;1;2;1;9
5796;2;0;1;1;0;0;0;0;0;1;3;3;11
5783;1;0;0;3;0;0;0;0;0;0;2;2;8
2030;2;0;1;2;1;0;2;1;1;2;1;4;17
0016A;0;0;0;0;1;0;0;2;0;2;1;1;7
9981A;0;0;0;0;1;0;1;3;2;1;0;1;9
9381I;0;0;1;1;;0;3;0;0;1;1;0;
8368U;0;0;1;2;0;0;0;1;1;1;0;0;6
3260B;0;0;0;;0;0;0;0;;1;0;3;
8416;0;0;1;2;0;0;0;0;4;2;0;4;13
8414A;0;0;2;2;0;0;1;0;5;1;0;4;15
2422;1;0;1;1;0;0;1;1;2;3;1;2;13
2539;1;0;1;0;0;0;1;1;2;4;0;2;12
2614;1;0;0;0;0;1;1;1;0;1;0;3;8
9390;0;0;1;1;1;0;2;0;0;1;1;0;7
9434;0;0;1;1;2;0;1;1;0;1;0;0;7
