Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;1;0;0;1;0;0;0;0;2
1387E;0;;0;0;1;0;0;2;0;0;0;0;
1428;0;0;0;0;2;0;3;2;1;0;0;0;8
8175;0;0;0;0;1;17;29;28;7;3;0;0;85
8178D;0;0;0;0;1;18;29;28;9;3;0;0;88
8025;0;0;0;0;2;6;27;23;4;1;0;0;63
8019;0;0;;;2;;24;;3;0;0;0;
6325O;0;0;0;0;0;7;15;15;9;3;0;0;49
9091O;0;0;0;0;0;13;10;11;0;0;0;0;34
1212E;0;;0;0;0;;;1;0;;0;0;
1208H;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;0;0;0;0;1;0;0;2;0;0;0;0;3
2444;0;0;0;0;0;8;19;15;0;0;0;0;42
4452;0;0;0;2;17;14;28;28;21;8;0;0;118
B954;0;0;0;0;0;4;19;18;0;0;0;0;41
B893;0;0;0;0;0;4;20;17;2;0;0;0;43
B228;;0;0;0;0;7;24;22;7;0;0;;
B278;0;0;0;0;0;8;31;29;5;1;0;0;74
0200E;0;0;0;0;0;5;18;13;0;0;0;0;36
0076;0;0;0;0;0;4;14;13;1;0;0;0;32
1082;0;0;0;0;1;4;5;5;2;1;0;0;18
2331;0;0;0;0;0;8;13;15;0;0;0;0;36
3469A;0;0;0;0;9;14;27;26;18;4;0;0;98
5973;0;0;0;0;0;0;;6;4;;0;0;
5960;0;0;0;;16;;18;29;23;;0;0;
5910;0;0;0;0;5;4;9;18;6;2;0;0;44
6001;0;;;0;;;;0;0;0;0;;
1111;0;0;0;0;0;0;0;2;1;0;0;0;3
1109;0;0;0;0;0;0;2;2;1;0;0;0;5
8500A;0;0;0;0;0;5;29;25;6;0;0;0;65
5000C;0;0;0;0;2;1;6;13;1;0;0;0;23
4121;0;0;0;0;11;19;30;31;12;2;0;0;105
5402;0;0;;2;20;26;31;;22;13;0;0;
8096;0;0;0;0;2;15;27;26;6;2;0;0;78
1014;0;0;0;0;0;2;1;3;1;1;0;0;8
1024E;0;0;0;0;0;4;1;2;0;0;0;0;7
0367;0;;;0;0;;27;;11;;0;0;
5530E;0;0;0;0;12;22;31;30;17;11;0;0;123
5514;0;0;0;0;10;17;29;30;12;6;0;0;104
3013;0;0;0;0;0;9;23;19;1;0;0;0;52
4642E;0;0;0;0;11;6;17;29;17;6;0;0;86
9898;0;0;0;0;1;16;24;23;0;0;0;0;64
5270B;0;0;0;0;11;16;29;29;9;3;0;0;97
9170;0;0;0;0;1;15;19;23;2;0;0;0;60
C249I;0;0;0;0;;0;;2;;1;0;0;
C649I;0;0;0;;0;1;;5;;1;;;
C029O;0;0;0;0;;2;0;16;8;4;1;0;
2661;0;0;0;0;0;5;13;10;0;0;0;0;28
1549;0;0;0;0;5;7;20;18;6;0;0;0;56
9771C;0;0;0;0;2;19;29;27;14;0;0;0;91
1505;0;0;0;0;2;1;4;3;0;0;0;0;10
3191E;0;0;0;0;1;7;24;18;2;0;0;0;52
3129;0;0;0;0;7;16;29;28;9;1;0;0;90
3196;0;0;0;0;5;14;29;26;5;0;0;0;79
3200;0;0;0;0;6;16;29;27;8;1;0;0;87
3195;0;0;0;0;5;14;30;25;4;0;0;0;78
3175;0;0;0;0;6;17;29;28;8;0;0;0;88
2462;0;0;0;0;0;2;1;0;0;0;0;0;3
6155A;0;;0;0;3;12;23;19;7;3;0;0;
6000A;0;0;0;0;1;2;7;12;1;2;0;0;25
7178I;0;0;0;0;7;24;31;30;16;7;0;0;115
7228;0;0;0;0;7;24;31;30;19;8;0;0;119
7031;0;0;0;0;0;4;9;10;3;3;0;0;29
9262;0;0;0;0;0;15;14;18;3;0;0;;
9263D;0;0;0;0;0;15;;19;7;0;0;0;
1690A;0;0;0;0;7;3;20;20;9;0;0;0;59
1484C;0;0;0;0;3;0;4;2;5;0;0;0;14
1495;0;0;0;;2;1;4;1;6;0;0;0;
2867;0;0;0;0;2;10;23;20;3;0;0;0;58
2870;0;0;0;0;3;;;20;2;0;0;0;
C929I;0;0;0;0;0;0;0;0;0;0;0;;
C430E;0;0;0;0;0;0;0;0;0;0;0;0;0
C139E;0;0;0;;;0;0;1;0;0;;0;
C449C;0;0;0;0;1;2;4;11;1;2;1;0;22
C447A;;0;;0;;2;0;7;1;3;0;0;
C429I;0;0;0;0;0;1;1;8;2;3;2;;
2465;0;0;0;0;0;10;21;16;1;0;0;0;48
5796;0;0;0;0;14;16;25;31;21;11;0;0;118
5783;0;0;0;2;19;22;;;23;12;0;0;
2030;0;0;0;0;0;10;18;18;0;0;0;0;46
0016A;0;0;0;0;0;6;29;26;3;0;0;0;64
9981A;0;0;0;0;0;19;30;29;23;4;0;0;105
9381I;0;0;0;0;0;16;24;23;3;0;0;0;66
8368U;0;0;0;0;0;17;26;23;5;0;0;0;71
3260B;0;0;0;;9;20;30;29;;;0;0;
8416;0;0;0;1;1;5;20;19;3;2;1;0;52
8414A;0;0;0;1;1;8;29;26;8;3;0;0;76
2422;0;0;0;0;2;12;23;20;2;0;0;0;59
2539;0;0;0;0;0;7;19;17;0;0;0;0;43
2614;0;0;0;0;4;10;25;20;4;0;0;0;63
9390;0;0;0;0;0;15;24;21;5;1;0;0;66
9434;0;0;0;0;2;18;27;25;10;0;0;0;82
