Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;8;4;5;8;9;8;2;4;5;9;14;11;87
1428;11;6;9;11;8;13;5;7;8;14;20;12;124
8175;3;0;1;9;0;0;0;1;3;2;4;9;32
8019;1;0;3;8;4;0;1;0;3;4;3;9;36
6325O;2;0;5;2;2;0;0;0;2;1;3;3;20
9091O;15;6;6;15;12;5;7;3;7;10;22;12;120
1212E;18;6;8;12;10;16;10;14;7;11;20;16;148
1208H;18;;;;;;;;;;;;
1249I;16;6;7;;;20;15;16;;16;;11;
4452;6;2;1;3;3;2;0;0;2;4;12;14;49
B954;1;1;3;8;4;3;3;2;3;2;2;7;39
B893;4;3;2;6;4;1;0;1;1;5;8;7;42
B278;4;2;5;7;4;2;2;1;3;3;7;2;42
0200E;5;1;4;12;5;3;3;4;4;11;2;6;60
0076;4;0;3;11;6;2;2;2;4;6;2;3;45
1082;23;8;8;21;12;13;9;8;7;11;22;13;155
2331;10;6;4;12;6;5;6;2;6;8;17;14;96
5960;4;2;3;4;0;0;0;0;0;0;6;5;24
5910;3;2;2;4;2;1;1;3;2;4;7;6;37
1111;17;5;4;13;11;9;9;9;7;13;23;11;131
1109;20;3;9;14;11;11;7;11;7;13;19;8;133
5402;;;;8;1;0;0;2;3;4;;8;
1014;21;3;8;12;14;8;11;8;5;10;20;12;132
1024E;23;4;6;;14;10;10;10;8;10;23;14;
0367;;3;3;9;8;3;2;1;6;;;;
5530E;5;1;3;10;1;0;0;1;3;1;7;3;35
5514;5;1;3;9;0;1;0;1;0;2;8;5;35
9170;8;4;0;10;7;2;2;1;4;3;15;8;64
C249I;4;0;0;0;1;3;1;2;2;2;1;0;16
C649I;2;1;1;0;1;0;0;0;1;3;1;0;10
C029O;2;0;;0;1;0;0;1;2;0;1;2;
2661;5;3;2;6;5;8;1;4;2;12;12;12;72
9771C;;0;2;;;;1;1;0;2;;16;
3191E;4;0;2;12;3;1;0;2;5;4;11;10;54
3129;3;1;1;8;2;1;0;1;3;7;12;11;50
3196;5;1;2;10;4;1;0;2;4;5;9;11;54
3200;5;1;2;9;1;1;0;1;3;4;11;10;48
3195;4;1;1;9;1;1;0;2;3;4;12;;
3175;4;0;2;9;3;1;0;1;4;3;13;9;49
2462;12;6;4;19;8;2;2;3;9;12;29;14;120
6155A;4;0;4;2;1;0;0;0;5;1;5;5;27
6000A;2;2;7;3;2;;3;2;4;2;4;5;
7178I;3;0;3;9;2;0;1;1;4;1;3;7;34
7228;1;0;4;7;0;0;1;0;2;2;2;8;27
9263D;18;4;7;13;11;7;2;4;3;6;22;11;108
1484C;10;4;10;11;6;10;1;7;8;14;18;15;114
1495;10;5;10;10;6;11;5;8;7;13;23;15;123
2867;10;3;3;10;4;1;0;4;6;10;17;16;84
C929I;0;1;0;0;0;0;1;1;0;1;1;1;6
C139E;6;2;4;2;2;3;2;1;2;3;9;5;41
C449C;5;0;4;;0;;;;;;5;;
C447A;8;;5;8;6;;4;0;;5;14;6;
C429I;1;0;1;2;3;3;0;1;1;2;1;1;16
5796;4;1;2;7;1;0;1;0;4;2;10;7;39
5783;3;1;1;4;1;0;1;0;2;2;8;6;29
0016A;2;0;3;6;7;2;3;2;3;2;1;5;36
9981A;2;0;3;9;4;2;2;3;4;4;0;8;41
9381I;4;0;;;;2;0;1;;;;;
8414A;1;0;2;7;3;0;0;3;5;4;3;8;36
2422;9;2;2;6;2;1;1;1;3;8;12;16;63
2539;8;2;3;10;4;3;1;3;4;11;14;15;78
9390;4;0;1;10;5;;0;1;5;4;6;6;
9434;5;2;2;12;4;2;0;2;2;4;10;12;57
