Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;9;7;12;5;6;1;1;3;9;0;0;7;60
1428;9;6;14;2;9;2;4;4;9;2;0;5;66
8175;13;12;12;6;7;15;19;20;6;10;1;4;125
8019;16;20;11;8;8;15;17;15;8;10;6;7;141
6325O;12;15;11;11;13;18;23;22;10;13;14;5;167
9091O;2;6;7;0;2;4;2;3;1;0;0;0;27
1212E;3;4;5;1;3;2;1;2;5;1;0;3;30
1208H;3;;;;;;;;;;;;
1249I;5;9;9;;;2;3;1;;3;;5;
4452;12;8;18;3;15;10;19;19;15;5;4;6;134
B954;7;6;9;7;5;14;16;9;3;5;2;3;86
B893;4;7;8;3;5;12;17;11;2;2;0;1;72
B278;5;9;8;4;6;14;16;14;5;5;0;3;89
0200E;10;14;7;2;4;11;12;9;4;4;5;4;86
0076;12;13;9;2;7;9;15;11;4;5;4;6;97
1082;0;11;5;2;2;3;4;4;4;3;0;1;39
2331;4;12;12;3;7;5;9;8;7;3;0;3;73
5960;16;17;13;8;17;18;15;21;16;12;7;13;173
5910;13;8;8;6;14;9;9;16;11;7;3;8;112
1111;1;7;7;1;5;2;4;1;4;1;0;1;34
1109;1;8;8;3;5;2;7;0;4;2;0;2;42
5402;;;;4;12;16;17;23;9;10;;8;
1014;1;11;8;3;6;3;3;4;4;2;0;2;47
1024E;1;10;8;;4;3;4;3;4;1;0;2;
0367;;14;14;1;7;8;10;12;9;;;;
5530E;15;15;12;7;11;20;22;20;7;8;1;8;146
5514;16;17;12;7;17;20;23;20;10;9;1;9;161
9170;7;11;11;2;5;5;8;11;6;2;0;1;69
C249I;3;12;3;3;11;7;4;10;6;5;1;3;68
C649I;5;13;5;2;9;5;4;5;8;6;3;4;69
C029O;4;15;;4;12;6;5;11;9;8;2;7;
2661;12;8;13;1;9;2;6;9;10;3;1;5;79
9771C;;21;23;;;;18;16;13;7;;1;
3191E;15;14;15;4;9;12;11;13;9;7;1;7;117
3129;16;18;11;4;9;12;12;18;9;10;1;5;125
3196;15;14;14;2;8;10;12;13;9;6;0;3;106
3200;11;14;13;2;8;8;10;14;8;6;0;3;97
3195;14;18;13;4;9;14;11;16;11;8;0;;
3175;13;15;12;4;6;10;11;12;9;5;0;4;101
2462;9;10;9;1;8;6;9;8;10;3;0;4;77
6155A;11;8;12;6;12;16;21;20;9;9;3;5;132
6000A;10;10;6;5;10;;13;12;3;6;3;4;
7178I;15;9;13;8;7;14;19;17;4;9;3;5;123
7228;16;9;10;9;9;14;17;17;5;8;3;6;123
9263D;6;12;10;1;3;5;5;7;4;2;0;1;56
1484C;16;6;15;4;15;3;11;10;10;4;0;6;100
1495;15;6;13;1;14;4;10;7;9;4;0;6;89
2867;10;7;10;2;11;6;14;10;10;2;0;1;83
C929I;6;10;2;1;1;12;1;1;5;3;1;7;50
C139E;3;9;3;2;5;5;2;8;3;3;2;6;51
C449C;6;12;7;;17;;;;;;4;;
C447A;3;;2;1;5;;3;8;;5;0;2;
C429I;4;18;11;2;11;5;15;21;13;12;9;11;132
5796;16;8;13;8;15;14;21;25;13;8;2;7;150
5783;15;16;13;9;18;17;16;24;14;13;4;6;165
0016A;12;10;8;1;6;10;15;11;6;4;2;5;90
9981A;10;15;8;2;6;10;15;12;5;6;3;6;98
9381I;10;14;;;;8;6;15;;;;;
8414A;17;16;10;2;8;12;18;17;4;9;4;2;119
2422;6;8;11;2;9;6;10;12;10;3;0;0;77
2539;10;9;12;1;7;8;10;12;9;5;0;1;84
9390;14;18;15;5;7;;9;16;9;5;1;4;
9434;8;11;11;4;9;6;11;16;9;5;0;5;95
