Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;2;1;1;0;8;1;1;1;1;0;16
1387E;17;5;5;6;5;10;7;7;5;9;3;5;84
1428;6;6;9;10;5;12;15;13;8;14;12;9;119
8175;3;4;0;1;1;0;0;0;0;2;0;7;18
8178D;1;2;0;2;0;0;0;0;0;1;0;4;10
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;1;1;0;0;0;0;0;0;1;3
6325O;1;0;2;0;0;0;0;1;0;2;0;0;6
9091O;0;4;4;2;4;4;4;3;5;7;2;12;51
1212E;2;0;2;2;2;7;4;4;1;3;1;1;29
1208H;0;2;0;0;1;0;1;0;0;0;0;0;4
1249I;8;1;2;3;6;4;11;8;8;9;4;4;68
2444;3;0;1;0;0;0;0;0;0;2;1;2;9
4452;9;7;4;1;0;0;0;0;0;3;0;11;35
B954;1;1;0;0;0;0;0;0;0;0;1;0;3
B893;1;;1;1;2;1;4;0;0;1;0;3;
B228;0;0;1;0;0;0;0;0;0;0;0;1;2
B278;0;9;10;2;0;2;0;1;2;1;1;5;33
0200E;1;2;1;2;6;2;0;3;4;5;4;3;33
0076;0;1;2;0;0;1;0;0;0;1;0;0;5
1082;4;2;1;1;1;0;2;0;2;3;2;1;19
2331;2;2;1;2;0;0;1;3;2;1;2;6;22
3469A;3;2;1;0;0;0;0;0;0;0;0;4;10
5973;;;;1;0;;;2;;1;1;2;
5960;5;2;4;1;0;0;0;4;2;5;4;5;32
5910;4;4;5;1;0;0;2;1;3;6;4;6;36
1111;1;2;0;2;0;0;0;0;2;1;0;0;8
1109;0;2;1;0;0;1;0;0;1;0;0;0;5
8500A;0;0;0;0;0;0;0;0;1;0;0;0;1
5000C;;0;0;0;0;;;;;0;;;
4121;2;3;0;0;0;0;0;0;1;2;2;9;19
5402;1;0;0;1;0;0;0;0;1;0;3;2;8
8096;0;0;0;0;0;0;0;0;0;1;0;0;1
1014;1;1;0;0;0;0;0;1;0;0;1;0;4
1024E;10;2;2;6;7;12;10;8;10;11;5;5;88
0367;4;9;1;4;5;3;1;0;0;3;1;3;34
5530E;1;0;0;2;1;0;0;0;0;0;5;5;14
5514;0;0;0;2;0;0;0;0;0;0;1;1;4
3013;1;1;0;0;1;0;1;2;2;3;0;9;20
4642E;3;1;2;1;0;3;0;0;3;2;6;;
9898;8;1;0;1;1;0;0;2;0;2;3;9;27
5270B;0;0;0;0;0;0;0;;;0;1;2;
9170;0;4;0;0;0;0;0;0;0;1;3;6;14
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;2;1;0;0;0;0;0;0;0;2;2;7;14
1549;5;4;1;2;1;1;1;0;2;8;4;14;43
9771C;12;5;0;0;0;0;0;0;1;2;0;10;30
1505;9;10;7;7;5;7;13;9;3;13;2;8;93
3191E;2;2;1;3;1;0;0;0;0;3;9;8;29
3129;0;0;0;0;0;0;0;0;2;1;0;4;7
3196;1;1;0;0;0;0;0;0;0;0;0;4;6
3200;0;1;0;0;0;0;0;0;1;3;0;6;11
3195;0;0;0;0;0;0;0;0;0;0;0;2;2
3175;2;0;0;0;0;0;0;0;0;0;0;5;7
2462;18;4;7;16;7;4;3;4;10;14;30;16;133
6155A;1;0;0;0;0;0;0;0;1;1;0;0;3
6000A;0;0;0;0;0;1;0;0;0;0;1;1;3
7178I;0;0;0;1;0;0;0;0;0;0;1;2;4
7228;0;0;0;0;1;0;0;0;0;0;0;0;1
7031;0;1;0;0;0;0;0;1;0;0;0;0;2
9262;1;0;0;0;;0;0;0;0;2;0;;
9263D;0;0;1;0;0;0;1;0;2;3;1;10;18
1690A;5;5;1;2;0;0;0;0;0;4;3;14;34
1484C;2;0;0;0;0;0;1;2;4;3;3;3;18
1495;10;8;4;8;4;5;9;14;11;19;22;0;114
2867;8;2;3;3;0;1;0;0;3;3;2;9;34
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;7;6;11;11;0;0;0;0;1;6;13;9;64
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;3;3;1;4;5;7;6;4;2;4;1;2;42
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;4;0;0;1;0;0;0;0;0;0;2;4;11
5796;3;1;3;1;0;0;0;0;1;2;4;5;20
5783;5;3;3;2;0;0;0;0;1;1;2;3;20
2030;0;2;;3;0;0;0;0;0;1;3;4;
0016A;0;1;2;0;0;0;0;0;0;0;0;0;3
9981A;0;1;2;1;0;0;0;0;0;1;0;0;5
9381I;0;3;;0;;;0;0;1;2;0;1;
8368U;0;3;1;3;1;0;0;1;2;3;2;6;22
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;0;0;0;0;0;0;0;0;0;0;1;1
2422;4;0;1;2;1;0;0;0;1;4;0;11;24
2539;6;1;2;0;0;0;1;0;0;5;1;10;26
2614;8;2;2;0;0;0;0;0;0;2;1;10;25
9390;0;1;0;1;0;0;0;0;0;1;0;;
9434;4;0;0;1;0;0;0;0;0;2;3;7;17
