Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;5;1;6
1387E;1;2;0;2;0;2;0;0;0;0;2;0;9
1428;0;0;0;0;0;0;0;0;0;0;1;0;1
8175;0;0;0;2;0;0;1;0;0;0;0;0;3
8178D;0;0;0;0;0;0;1;0;0;0;0;0;1
8025;0;0;0;0;0;0;0;0;1;0;0;0;1
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;0;0;0;0;0;0;0;0;0;0;0;0;0
1212E;0;2;0;1;0;0;0;0;0;0;5;0;8
1208H;1;1;1;1;1;0;0;0;0;0;2;0;7
1249I;0;0;0;2;0;0;1;0;0;0;2;0;5
2444;0;0;0;1;0;0;0;0;0;1;0;0;2
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;0;;0;1;0;0;0;0;0;1;0;0;
B228;0;0;0;1;0;0;0;0;0;0;0;0;1
B278;0;0;0;0;0;0;0;0;0;0;0;0;0
0200E;0;1;0;3;0;0;0;0;0;0;0;0;4
0076;0;0;0;1;0;0;0;1;0;0;0;0;2
1082;0;1;0;2;0;0;0;0;0;0;2;0;5
2331;0;0;0;1;0;1;2;0;0;0;0;0;4
3469A;0;0;0;1;0;0;0;0;0;0;0;0;1
5973;;;;0;0;;;0;;0;0;0;
5960;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
1111;0;1;0;2;0;1;0;0;0;0;0;0;4
1109;0;1;0;2;0;0;0;0;0;0;2;0;5
8500A;0;0;0;0;0;0;0;2;1;0;0;0;3
5000C;;0;0;0;0;;;;;0;;;
4121;0;0;0;3;0;0;0;0;2;0;0;0;5
5402;0;0;0;0;0;0;0;1;0;0;0;0;1
8096;0;1;1;5;1;0;0;0;0;0;0;0;8
1014;1;1;0;0;0;0;0;0;0;0;2;0;4
1024E;0;2;0;1;0;0;0;0;0;0;2;0;5
0367;0;0;0;0;0;0;0;0;0;0;0;0;0
5530E;0;0;0;0;0;0;0;0;0;0;0;0;0
5514;0;0;0;1;0;0;0;0;0;0;0;0;1
3013;0;0;1;3;1;1;1;0;0;0;0;0;7
4642E;0;0;0;1;0;0;0;0;0;0;0;;
9898;0;0;0;0;0;0;0;0;0;1;0;0;1
5270B;1;0;0;0;0;0;0;;;0;0;1;
9170;0;0;0;0;0;0;0;0;0;0;0;0;0
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;0;0;0;2;0;0;0;0;0;0;0;0;2
1549;0;0;0;0;0;0;1;0;1;0;0;0;2
9771C;0;0;0;0;1;0;0;0;0;0;0;0;1
1505;0;0;0;2;0;1;1;0;1;0;1;0;6
3191E;0;0;0;2;0;0;0;0;0;0;0;0;2
3129;0;0;0;0;0;0;0;0;1;0;0;0;1
3196;0;0;0;2;0;0;0;1;0;0;0;0;3
3200;0;0;0;1;0;0;0;2;0;0;0;0;3
3195;0;0;0;1;0;0;0;2;0;0;0;0;3
3175;0;0;0;0;0;0;0;0;0;0;0;0;0
2462;0;1;0;1;0;1;0;2;1;0;1;0;7
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;0;1;0;0;0;0;0;0;0;0;1;0;2
7178I;0;0;0;0;0;0;0;0;2;0;0;0;2
7228;0;0;0;0;0;0;0;0;0;0;0;0;0
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9262;0;1;0;0;;0;0;0;0;0;0;;
9263D;0;1;0;1;0;0;0;0;0;0;0;0;2
1690A;0;0;0;0;0;0;1;0;0;0;0;1;2
1484C;0;1;1;4;0;0;0;0;0;0;0;1;7
1495;0;1;0;2;0;0;0;0;0;0;1;0;4
2867;0;1;0;1;0;0;0;0;0;0;0;0;2
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;0;0;0;0;0;0;0;0;0;1;0;1;2
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;1;0;1;2
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;0;0;0;3;0;0;2;1;0;0;0;0;6
5796;0;0;0;1;0;0;0;0;1;0;0;0;2
5783;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;0;0;;0;0;0;1;0;0;0;0;0;
0016A;0;0;0;0;0;0;0;0;0;0;0;0;0
9981A;0;1;0;0;0;0;0;0;0;0;0;0;1
9381I;0;0;;1;;;2;1;0;0;2;3;
8368U;0;0;0;0;0;0;0;1;0;0;0;0;1
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;0;0;0;0;0;0;0;0;0;0;0;0
2422;0;0;0;1;0;0;1;0;1;1;1;0;5
2539;0;0;0;2;0;0;1;0;0;0;2;0;5
2614;0;0;0;0;0;0;2;0;0;0;1;3;6
9390;0;0;0;0;0;0;2;0;0;0;0;;
9434;0;0;0;0;0;0;0;0;1;0;0;0;1
