Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;16;11;12;17;12;16;6;10;12;21;25;18;176
1387E;14;6;10;16;9;13;8;11;13;22;28;21;171
1428;16;11;12;19;10;19;10;8;15;20;29;20;189
8175;8;1;6;14;4;1;3;2;8;6;14;8;75
8178D;7;1;4;15;6;1;2;2;9;8;13;10;78
8025;5;1;7;12;4;2;5;4;8;5;8;7;68
8019;5;1;4;10;4;2;1;5;10;5;7;7;61
6325O;2;1;4;10;1;2;1;0;3;2;3;6;35
9091O;23;5;9;15;16;8;13;8;9;13;27;14;160
1212E;17;6;12;17;9;19;13;16;15;19;24;19;186
1208H;19;7;11;17;9;14;13;18;15;21;27;19;190
1249I;19;6;12;19;13;23;14;21;17;21;26;18;209
2444;7;1;5;11;2;3;4;6;9;12;15;10;85
4452;3;2;4;15;2;1;0;0;2;10;19;10;68
B954;10;1;5;10;4;2;2;4;12;8;11;9;78
B893;13;;3;14;6;3;6;2;7;7;17;10;
B228;9;2;6;11;6;3;2;2;7;6;16;5;75
B278;9;2;4;11;2;1;2;2;7;6;16;4;66
0200E;6;1;3;13;14;5;8;7;11;13;10;9;100
0076;5;1;1;12;12;2;7;3;12;7;11;7;80
1082;23;11;11;14;16;8;15;10;18;21;23;14;184
2331;8;1;11;13;16;7;12;8;14;12;22;17;141
3469A;3;3;5;13;4;3;1;4;5;11;22;12;86
5973;;;;11;0;;;0;;3;14;8;
5960;4;2;7;14;0;1;1;0;5;5;16;8;63
5910;6;2;5;12;1;1;1;1;4;4;14;8;59
1111;22;8;15;17;15;14;15;12;16;19;28;18;199
1109;24;6;13;13;17;15;13;13;16;20;23;16;189
8500A;1;0;3;11;6;0;3;2;6;5;6;5;48
5000C;;2;4;11;0;;;;;5;;;
4121;7;2;5;17;3;1;1;2;10;8;22;13;91
5402;3;3;5;15;0;0;1;0;6;5;18;9;65
8096;8;0;5;13;4;3;3;6;12;9;23;10;96
1014;21;8;13;19;19;13;14;12;16;19;26;15;195
1024E;23;5;13;18;18;14;15;14;14;19;25;16;194
0367;6;4;4;15;15;3;6;4;13;13;11;8;102
5530E;6;1;4;12;1;0;0;0;10;4;17;8;63
5514;7;1;4;12;1;1;1;0;6;5;15;8;61
3013;6;1;7;13;12;6;8;7;11;11;22;12;116
4642E;5;4;5;12;0;0;0;1;3;8;22;;
9898;8;1;2;14;9;7;6;5;9;5;21;12;99
5270B;3;1;3;16;1;0;2;;;3;11;7;
9170;13;3;4;16;10;8;13;5;10;9;25;10;126
C249I;3;3;3;2;0;1;1;0;2;4;7;5;31
C649I;10;4;6;7;0;2;0;1;4;6;9;6;55
C029O;6;2;5;3;1;2;2;1;1;3;6;5;37
2661;3;3;4;14;4;6;11;4;6;11;22;18;106
1549;10;6;7;17;6;11;10;7;7;15;28;17;141
9771C;8;1;1;16;7;6;8;5;7;8;14;12;93
1505;18;7;15;17;13;20;11;12;14;24;29;20;200
3191E;4;0;3;13;3;1;4;7;7;10;21;13;86
3129;4;1;2;12;3;1;5;4;4;9;16;12;73
3196;5;1;2;12;1;1;6;3;6;12;19;13;81
3200;4;1;3;15;3;1;6;4;5;10;18;12;82
3195;5;1;2;13;1;1;3;4;5;10;17;12;74
3175;4;1;3;11;2;1;4;2;7;10;16;13;74
2462;2;1;3;7;5;4;9;7;11;8;11;9;77
6155A;3;1;6;11;0;0;0;0;3;4;7;7;42
6000A;9;3;8;9;4;1;0;1;4;2;8;7;56
7178I;2;0;8;12;4;2;0;3;5;6;8;6;56
7228;2;0;4;9;3;2;2;4;6;4;7;4;47
7031;4;1;6;5;0;2;1;3;7;4;7;4;44
9262;13;2;7;10;;7;8;4;8;12;25;;
9263D;16;4;8;16;14;8;13;6;11;14;26;11;147
1690A;15;8;9;18;8;16;7;8;13;20;29;17;168
1484C;15;9;13;16;9;16;8;6;14;20;29;17;172
1495;15;8;13;17;8;13;8;9;14;19;29;19;172
2867;6;2;4;15;4;5;5;5;7;12;20;11;96
C929I;5;5;9;6;0;5;1;0;2;7;7;5;52
C430E;2;3;3;4;0;0;0;2;1;4;4;0;23
C139E;13;4;9;5;1;6;4;1;5;10;13;10;81
C449C;9;4;10;10;2;8;2;0;1;5;9;8;68
C447A;14;6;16;15;11;10;9;4;3;8;19;17;132
C429I;2;1;3;2;0;0;0;0;3;4;2;0;17
2465;8;1;6;14;7;7;8;7;11;15;24;13;121
5796;4;3;5;13;0;1;1;1;7;3;17;7;62
5783;4;1;2;13;1;0;0;0;4;4;14;7;50
2030;5;1;;14;8;8;11;6;8;10;20;10;
0016A;5;1;2;10;10;3;8;4;7;8;6;8;72
9981A;6;1;2;13;10;4;6;6;9;4;9;9;79
9381I;6;1;;15;;;8;4;10;6;16;8;
8368U;6;1;3;16;6;5;3;2;9;4;8;8;71
8416;2;0;4;14;11;0;4;4;6;5;5;4;59
8414A;2;0;4;15;10;0;5;4;10;7;5;5;67
2422;5;3;5;14;6;6;10;5;6;14;26;12;112
2539;4;4;4;10;5;5;4;3;7;11;22;11;90
2614;4;3;5;13;5;5;2;4;5;11;19;9;85
9390;7;1;6;17;9;6;9;6;10;6;20;;
9434;10;3;4;13;7;7;9;4;7;10;21;11;106
