Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;0;0;0;0;0;0;0
1387E;0;0;0;0;0;0;0;0;0;0;0;0;0
1428;0;0;0;0;0;0;0;0;0;0;0;0;0
8175;0;0;0;0;0;0;0;0;0;0;0;0;0
8178D;0;0;0;0;0;0;0;0;0;0;0;0;0
8025;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;0;0;0;0;0;0;0;0;0;0;0;0;0
6325O;0;0;0;0;0;0;0;0;0;0;0;0;0
9091O;0;2;0;0;0;0;0;0;0;0;0;0;2
1212E;0;0;0;0;0;0;0;0;0;0;0;0;0
1208H;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;0;1;0;0;0;0;0;0;0;0;0;0;1
2444;1;1;0;4;0;0;0;0;0;0;4;0;10
4452;0;0;0;0;0;0;0;0;0;0;0;0;0
B954;0;0;0;0;0;0;0;0;0;0;0;0;0
B893;1;;0;0;0;0;0;0;0;0;0;0;
B228;0;0;0;0;0;0;0;0;0;0;0;0;0
B278;0;0;0;0;0;0;0;0;0;0;0;0;0
0200E;0;0;0;0;0;0;0;0;0;0;0;0;0
0076;0;0;0;0;0;0;0;0;0;0;0;0;0
1082;0;0;0;0;0;0;0;0;0;0;2;0;2
2331;7;3;1;3;0;0;0;0;0;0;3;0;17
3469A;0;0;0;0;0;0;0;0;0;0;0;0;0
5973;;;;0;0;;;0;;0;0;0;
5960;0;0;0;0;0;0;0;0;0;0;0;0;0
5910;0;0;0;0;0;0;0;0;0;0;0;0;0
1111;0;0;0;0;0;0;0;0;0;0;0;0;0
1109;0;0;0;1;0;0;0;0;0;0;0;0;1
8500A;0;0;0;0;0;0;0;0;0;0;0;0;0
5000C;;0;0;0;0;;;;;0;;;
4121;0;0;0;0;0;0;0;0;0;0;0;0;0
5402;0;0;0;0;0;0;0;0;0;0;0;0;0
8096;0;1;0;0;0;0;0;0;0;0;0;0;1
1014;0;0;0;0;0;0;0;0;0;0;0;0;0
1024E;0;1;0;0;0;0;0;0;0;0;0;0;1
0367;0;0;0;0;0;0;0;0;0;0;0;0;0
5530E;0;0;0;0;0;0;0;0;0;0;0;0;0
5514;0;0;0;0;0;0;0;0;0;0;0;0;0
3013;5;3;1;3;0;0;0;0;0;0;4;1;17
4642E;0;0;0;0;0;0;0;0;0;0;0;;
9898;0;0;0;0;0;0;0;0;0;0;0;0;0
5270B;0;0;0;0;0;0;0;;;0;1;0;
9170;0;2;0;0;0;0;0;0;0;0;0;0;2
C249I;0;0;0;0;0;0;0;0;0;0;0;0;0
C649I;0;0;0;0;0;0;0;0;0;0;0;0;0
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;3;2;0;1;0;0;0;0;0;0;1;0;7
1549;1;2;0;0;0;0;0;0;0;0;0;0;3
9771C;0;0;0;0;0;0;0;0;0;0;0;0;0
1505;0;2;0;0;0;0;0;0;0;0;0;0;2
3191E;1;2;0;1;0;0;0;0;0;0;0;0;4
3129;0;0;0;0;0;0;0;0;0;0;0;0;0
3196;0;0;0;0;0;0;0;0;0;0;0;0;0
3200;0;0;0;0;0;0;0;0;0;0;0;0;0
3195;0;0;0;0;0;0;0;0;0;0;0;0;0
3175;0;0;0;0;0;0;0;0;0;0;0;0;0
2462;9;2;5;13;3;1;0;0;0;5;17;9;64
6155A;0;0;0;0;0;0;0;0;0;0;0;0;0
6000A;0;0;0;0;0;0;0;0;0;0;0;0;0
7178I;0;0;0;0;0;0;0;0;0;0;0;0;0
7228;0;0;0;0;0;0;0;0;0;0;0;0;0
7031;0;0;0;0;0;0;0;0;0;0;0;0;0
9262;0;2;0;1;;0;0;0;0;0;0;;
9263D;2;2;0;0;0;0;0;0;0;0;0;0;4
1690A;0;0;0;0;0;0;0;0;0;0;0;0;0
1484C;0;0;0;0;0;0;0;0;0;0;0;0;0
1495;0;0;0;0;0;0;0;0;0;0;0;0;0
2867;0;1;0;0;0;0;0;0;0;0;0;0;1
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;2;1;4;1;0;0;0;0;0;0;0;4;12
C139E;0;0;0;0;0;0;0;0;0;0;0;0;0
C449C;0;0;0;0;0;0;0;0;0;0;0;0;0
C447A;0;0;0;0;0;0;0;0;0;0;0;0;0
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;4;2;0;1;0;0;0;0;0;0;3;0;10
5796;0;0;0;0;0;0;0;0;0;0;0;0;0
5783;0;0;0;0;0;0;0;0;0;0;0;0;0
2030;5;3;;6;0;0;0;0;0;0;5;0;
0016A;0;0;0;0;0;0;0;0;0;0;0;0;0
9981A;0;0;0;0;0;0;0;0;0;0;0;0;0
9381I;3;3;;3;;;0;0;0;1;3;0;
8368U;0;1;0;0;0;0;0;0;0;0;2;0;3
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;0;0;0;0;0;0;0;0;0;0;0;0
2422;2;2;0;1;0;0;0;0;0;0;0;0;5
2539;1;1;0;0;0;0;0;0;0;0;0;0;2
2614;0;0;0;0;0;0;0;0;0;0;1;1;2
9390;1;3;0;0;0;0;0;0;0;0;0;;
9434;0;0;0;0;0;0;0;0;0;0;0;0;0
