Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;14;17;14;17;16;21;28;24;16;22;16;13;218
1428;11;16;8;17;14;15;22;20;13;15;10;14;175
8175;15;16;18;15;24;15;12;10;21;19;25;18;208
8019;14;8;17;14;19;15;13;16;19;17;21;15;188
6325O;17;13;15;17;16;12;8;9;18;17;13;23;178
9091O;14;16;18;15;17;21;22;25;22;21;8;19;218
1212E;10;18;18;17;18;12;20;15;18;19;10;12;187
1208H;10;;;;;;;;;;;;
1249I;10;13;15;;;8;13;14;;12;;15;
4452;13;18;12;24;13;18;12;12;13;22;14;11;182
B954;23;21;19;15;22;13;12;20;24;24;26;21;240
B893;23;18;21;21;22;17;14;19;27;24;22;23;251
B278;22;17;18;19;21;14;13;16;22;23;23;26;234
0200E;16;13;20;16;22;16;16;18;22;16;23;21;219
0076;15;15;19;17;18;19;14;18;22;20;24;22;223
1082;8;9;18;7;17;14;18;19;19;17;8;17;171
2331;17;10;15;15;18;20;16;21;17;20;13;14;196
5960;11;9;15;18;14;12;16;10;14;19;17;13;168
5910;15;18;21;20;15;20;21;12;17;20;20;17;216
1111;13;16;20;16;15;19;18;21;19;17;7;19;200
1109;10;17;14;13;15;17;17;20;19;16;11;21;190
5402;;;;18;18;14;14;6;18;17;;15;
1014;9;14;15;15;11;19;17;19;21;19;10;17;186
1024E;7;14;17;;13;17;17;18;18;20;7;15;
0367;;11;14;20;16;19;19;18;15;;;;
5530E;11;12;16;13;19;10;9;10;20;22;22;20;184
5514;10;10;16;14;14;9;8;10;20;20;21;17;169
9170;16;13;20;18;19;23;21;19;20;26;15;22;232
C249I;24;16;28;27;19;20;26;19;22;24;28;28;281
C649I;24;14;25;28;21;25;27;26;21;22;26;27;286
C029O;25;13;;26;18;24;26;19;19;23;27;22;
2661;14;17;16;23;17;20;24;18;18;16;17;14;214
9771C;;7;6;;;;12;14;17;22;;14;
3191E;12;14;14;14;19;17;20;16;16;20;18;14;194
3129;12;9;19;18;20;17;19;12;18;14;17;15;190
3196;11;13;15;18;19;19;19;16;17;20;21;17;205
3200;15;13;16;19;22;21;21;16;19;21;19;18;220
3195;13;9;17;17;21;15;20;13;16;19;18;;
3175;14;13;17;17;22;19;20;18;17;23;17;18;215
2462;10;12;18;10;15;22;20;20;11;16;1;13;168
6155A;16;20;15;22;18;14;10;11;16;21;22;21;206
6000A;19;16;18;22;19;;15;17;23;23;23;22;
7178I;13;19;15;13;22;16;11;13;22;21;24;19;208
7228;14;19;17;14;22;16;13;14;23;21;25;17;215
9263D;7;12;14;16;17;18;24;20;23;23;8;19;201
1484C;5;18;6;15;10;17;19;14;12;13;12;10;151
1495;6;17;8;19;11;15;16;16;14;14;7;10;153
2867;11;18;18;18;16;23;17;17;14;19;13;14;198
C929I;25;17;29;29;30;18;29;29;25;27;28;23;309
C139E;22;17;24;26;24;22;27;22;25;25;19;20;273
C449C;20;16;20;;14;;;;;;21;;
C447A;20;;24;21;20;;24;23;;21;16;23;
C429I;26;10;19;26;17;22;16;9;16;17;20;19;217
5796;11;19;16;15;15;16;9;6;13;21;18;17;176
5783;13;11;17;17;12;13;14;7;14;16;18;19;171
0016A;17;18;20;23;18;18;13;18;21;25;27;21;239
9981A;19;13;20;19;21;18;14;16;21;21;27;17;226
9381I;17;14;;;;20;25;15;;;;;
8414A;13;12;19;21;20;18;13;11;21;18;23;21;210
2422;16;18;18;22;20;23;20;18;17;20;18;15;225
2539;13;17;16;19;20;19;20;16;17;15;16;15;203
9390;13;10;15;15;19;;22;14;16;22;23;21;
9434;18;15;18;14;18;22;20;13;19;22;20;14;213
