Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;1;0;0;0;2;0;0;0;0;3;0;6
1387E;0;0;0;0;0;0;1;1;0;0;1;0;3
1428;0;1;1;2;0;0;2;1;2;1;0;1;11
8175;0;0;0;1;1;1;5;0;3;0;0;0;11
8178D;0;0;0;1;2;1;2;1;4;0;0;0;11
8025;0;0;0;4;0;0;1;4;2;1;0;2;14
8019;0;0;0;2;0;0;0;2;2;1;0;1;8
6325O;1;0;0;1;0;0;0;0;2;0;0;0;4
9091O;0;1;0;2;0;0;5;4;3;2;2;0;19
1212E;0;1;0;3;0;0;4;1;0;0;4;0;13
1208H;0;2;0;3;1;0;2;2;0;0;8;0;18
1249I;0;1;0;4;0;0;3;4;1;0;1;0;14
2444;0;0;0;0;0;0;0;4;3;0;0;0;7
4452;0;0;0;1;0;1;0;1;0;2;0;0;5
B954;0;0;0;1;1;0;0;1;2;3;0;1;9
B893;0;;0;4;0;2;1;3;2;5;6;1;
B228;0;0;0;0;0;0;1;2;2;6;3;2;16
B278;0;0;0;2;0;0;0;1;2;6;2;2;15
0200E;0;1;0;4;1;0;4;2;1;3;1;0;17
0076;0;1;0;4;1;0;6;2;4;4;1;1;24
1082;2;1;0;2;0;0;4;3;3;0;4;0;19
2331;0;0;0;4;0;2;7;2;4;1;1;0;21
3469A;0;0;0;0;0;0;0;0;1;0;0;0;1
5973;;;;0;0;;;0;;0;0;0;
5960;0;0;1;1;0;0;1;0;2;0;0;0;5
5910;0;0;0;1;0;0;0;0;0;1;0;1;3
1111;1;0;0;2;0;1;6;3;0;2;4;1;20
1109;1;1;0;3;0;1;5;3;1;1;4;1;21
8500A;0;0;0;1;1;0;3;1;2;0;0;1;9
5000C;;0;0;0;0;;;;;0;;;
4121;0;0;0;2;2;0;1;1;5;1;0;0;12
5402;0;1;1;3;0;0;0;1;1;0;0;0;7
8096;0;0;0;2;1;0;1;0;2;0;0;0;6
1014;1;1;1;1;1;2;5;4;3;2;5;0;26
1024E;0;1;1;1;0;0;4;4;3;1;5;0;20
0367;0;0;0;4;2;0;2;2;3;3;0;0;16
5530E;0;0;0;0;1;0;0;1;7;0;0;0;9
5514;0;0;0;1;1;0;0;0;5;0;0;0;7
3013;0;0;1;3;2;2;9;3;5;0;0;0;25
4642E;0;1;1;3;0;0;0;0;0;0;0;;
9898;0;0;1;3;2;2;6;4;3;2;1;0;24
5270B;0;1;0;3;1;0;2;;;2;0;0;
9170;0;0;0;2;0;3;5;2;3;0;1;0;16
C249I;0;0;1;0;0;0;0;0;0;0;0;0;1
C649I;0;0;0;1;0;0;0;0;1;0;0;1;3
C029O;0;0;0;0;0;0;0;0;0;0;0;0;0
2661;0;0;0;2;0;1;7;1;1;1;0;0;13
1549;0;0;0;0;0;1;7;1;3;0;1;0;13
9771C;0;0;0;3;2;2;4;1;1;2;0;0;15
1505;0;0;1;1;0;0;3;2;2;1;3;1;14
3191E;0;0;0;3;0;0;4;1;3;1;0;0;12
3129;0;0;0;2;0;0;4;1;2;1;0;0;10
3196;0;0;1;3;0;0;3;2;3;1;0;0;13
3200;0;0;1;2;0;0;5;3;2;1;0;0;14
3195;0;0;1;2;0;0;5;3;2;0;0;0;13
3175;0;0;1;2;0;0;3;2;2;1;0;0;11
2462;1;0;0;1;0;0;2;3;3;1;1;0;12
6155A;0;0;0;1;0;0;0;0;1;0;0;0;2
6000A;0;1;0;0;0;1;0;1;1;0;2;1;7
7178I;0;0;0;2;2;0;1;3;3;1;0;1;13
7228;0;0;0;1;1;0;1;2;2;0;0;0;7
7031;0;0;0;0;0;0;0;1;0;0;0;1;2
9262;0;1;1;1;;0;1;2;1;1;0;;
9263D;0;1;1;4;3;1;10;3;2;2;1;1;29
1690A;0;0;0;2;0;0;3;1;3;1;0;2;12
1484C;0;1;1;2;0;0;1;0;1;0;2;2;10
1495;0;1;0;2;0;0;1;0;1;0;1;0;6
2867;0;0;0;3;0;1;3;3;2;1;0;0;13
C929I;0;0;0;0;0;0;0;0;0;0;0;0;0
C430E;0;0;0;0;0;0;0;0;1;1;0;0;2
C139E;0;0;0;0;0;0;0;0;0;1;0;0;1
C449C;0;0;0;1;0;0;0;0;0;1;0;0;2
C447A;0;0;0;0;0;0;0;0;1;1;0;0;2
C429I;0;0;0;0;0;0;0;0;0;0;0;0;0
2465;0;0;0;2;1;0;6;4;3;1;0;0;17
5796;0;0;1;2;0;0;0;0;3;1;1;0;8
5783;0;0;0;3;0;0;0;0;2;2;0;1;8
2030;0;0;;2;2;0;10;4;5;1;1;0;
0016A;0;0;0;2;0;0;1;3;2;2;0;0;10
9981A;1;1;0;2;0;0;6;2;2;1;1;0;16
9381I;0;0;;5;;;8;4;4;1;1;0;
8368U;0;0;0;0;3;0;6;2;7;0;0;0;18
8416;0;0;0;0;0;0;0;0;0;0;0;0;0
8414A;0;0;1;3;2;0;3;2;4;1;0;1;17
2422;0;0;0;2;0;0;5;2;2;1;1;0;13
2539;0;0;1;2;0;1;5;1;2;1;0;0;13
2614;0;0;0;1;0;0;5;2;0;0;0;0;8
9390;0;0;0;3;5;0;9;3;5;0;2;;
9434;0;0;0;3;3;1;7;1;2;1;0;0;18
