Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;PRINCIPADO DE ASTURIAS;286.6;66.2;46.1;101.5;63.2;72.1;41.2;34.0;61.7;163.2;441.5;222.5;1599.8
Precipitación;COMUNIDAD AUTÓNOMA DE BALEARES;42.2;4.9;12.3;29.8;24.9;0.4;4.2;18.7;64.5;89.9;99.2;70.1;461.1
Precipitación;COMUNIDAD AUTÓNOMA DE CANTABRIA;331.3;64.6;57.4;97.0;64.9;57.9;71.3;49.6;90.8;182.3;384.6;151.2;1602.9
Precipitación;CIUDAD AUTÓNOMA DE CEUTA;55.9;14.2;15.2;79.1;0.0;0.0;0.1;0.0;0.5;30.2;126.4;69.3;390.9
Precipitación;COMUNIDAD AUTÓNOMA DE LA RIOJA;62.8;26.2;13.7;83.8;42.7;33.7;52.3;19.2;46.1;42.4;115.3;56.1;594.3
Precipitación;COMUNIDAD DE MADRID;27.1;3.6;12.1;90.4;3.1;2.5;5.4;29.9;57.4;42.5;71.6;93.8;439.4
Precipitación;CIUDAD AUTÓNOMA DE MELILLA;13.5;7.6;51.0;28.0;0.0;10.4;0.0;1.5;24.0;34.6;56.0;30.8;257.4
Precipitación;REGIÓN DE MURCIA;0.7;1.3;18.4;117.9;5.6;2.0;1.4;17.6;158.0;31.3;18.1;49.1;421.4
Precipitación;COMUNIDAD FORAL DE NAVARRA;174.3;45.5;30.3;78.7;112.6;40.9;66.4;31.0;39.4;67.1;266.0;117.1;1069.3
Precipitación;COMUNIDAD AUTÓNOMA DE CANARIAS;13.4;14.3;27.0;21.3;0.8;4.1;1.6;0.3;4.5;21.1;19.7;31.1;159.2
Precipitación;COMUNIDAD AUTÓNOMA DE ANDALUCÍA;37.9;8.3;19.4;80.9;1.2;0.7;0.3;4.0;48.4;21.0;82.8;100.0;404.9
Precipitación;COMUNIDAD AUTÓNOMA DE ARAGÓN;32.4;7.5;14.4;76.4;45.0;16.4;38.4;41.1;29.5;60.8;72.6;62.0;496.5
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA-LA MANCHA;23.1;5.3;16.4;114.8;8.4;2.2;8.0;18.0;60.6;31.2;70.0;71.2;429.2
Precipitación;COMUNIDAD AUTÓNOMA DE CASTILLA Y LEÓN;56.1;17.7;22.8;79.4;16.1;27.3;32.3;21.6;37.7;70.3;130.9;122.2;634.4
Precipitación;COMUNIDAD AUTÓNOMA DE CATALUÑA;22.7;5.9;4.4;59.8;61.0;20.2;48.2;39.0;46.2;125.2;49.4;83.2;565.2
Precipitación;COMUNIDAD AUTÓNOMA DE EXTREMADURA;31.2;7.3;26.7;77.2;7.0;0.8;2.4;8.6;16.8;32.6;93.5;118.6;422.7
Precipitación;COMUNIDAD AUTÓNOMA DE GALICIA;153.1;55.8;86.9;174.5;40.3;61.3;29.1;39.5;50.2;185.0;375.9;273.5;1525.1
Precipitación;COMUNIDAD AUTÓNOMA DEL PAÍS VASCO;246.0;52.7;46.8;91.6;93.9;38.2;74.5;37.3;69.6;99.3;350.7;115.4;1316.0
Precipitación;COMUNITAT VALENCIANA;3.2;0.8;30.8;133.5;17.8;1.3;11.9;36.1;119.6;37.8;15.2;90.5;498.5
