Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1387;Min;8.4;7.2;0.0;3.1;5.4;2.7;1.0;1.0;1.0;9.5;2.3;7.3;28.2
1387;Q1;13.1;12.4;8.3;10.7;11.1;5.7;4.5;6.4;9.8;18.3;19.9;20.0;36.1
1387;Q2;19.4;17.9;12.0;14.5;14.9;12.9;10.1;10.7;15.3;23.9;22.2;23.9;39.4
1387;Q3;25.8;21.4;16.1;19.0;18.9;16.5;13.2;12.9;21.9;34.7;26.3;29.9;42.6
1387;Q4;30.5;24.8;23.6;21.8;23.1;23.0;27.3;26.8;29.7;38.6;40.1;37.3;54.8
1387;Max;42.7;37.7;132.7;34.0;41.6;35.2;49.1;65.4;39.2;64.1;95.6;66.6;132.7
1387;Mn;24.4;19.0;13.1;16.4;16.4;14.7;10.6;11.7;18.9;28.5;23.5;27.4;41.2
1387;Md;22.8;19.8;19.4;16.9;18.2;15.5;15.0;15.8;19.7;29.7;28.8;29.1;47.8
1387;S;8.80;7.66;23.69;7.42;8.57;9.46;12.58;13.58;10.63;12.95;17.77;12.99;21.15
1387;Cv;0.39;0.39;1.22;0.44;0.47;0.61;0.84;0.86;0.54;0.44;0.62;0.45;0.44
1387E;N;30;30;30;30;30;30;30;29;29;29;29;29;28
1387E;Min;11.1;5.1;0.0;4.4;6.0;5.2;1.0;0.9;2.0;5.1;1.1;8.0;31.8
1387E;Q1;18.4;13.5;8.6;11.2;11.1;6.9;4.1;5.3;11.4;19.9;18.2;22.0;38.2
1387E;Q2;20.3;21.4;13.1;16.0;15.3;10.9;9.5;11.1;14.5;23.4;25.1;26.2;42.5
1387E;Q3;26.4;26.8;18.1;21.5;18.2;15.3;13.2;14.6;20.9;30.3;29.2;32.1;48.4
1387E;Q4;31.8;35.0;30.3;26.8;28.5;21.7;20.4;21.3;39.5;46.8;34.8;37.0;56.0
1387E;Max;45.9;44.7;110.6;40.2;48.9;36.5;50.6;66.1;46.0;68.7;71.3;65.8;110.6
1387E;Mn;22.0;24.1;16.3;19.6;16.5;12.9;12.2;12.8;17.9;27.3;27.2;26.7;46.0
