Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;20.6(19);18.6(17);15.2(05);15.8(07);32.4(09);25.6(06);4.8(26);17.4(17);6.6(23);26.4(13);27.2(12);50.0(18);50.0(18/dic)
1387E;23.2(30);16.6(17);20.2(05);14.7(25);22.9(09);20.3(06);6.5(26);10.8(17);6.3(23);22.1(19);26.9(12);55.6(18);55.6(18/dic)
1428;28.4(19);24.0(09);60.4(05);24.1(07);18.2(09);19.5(06);4.5(27);32.5(08);21.5(23);58.5(16);35.7(26);56.0(18);60.4(05/mar)
8175;1.4(20);3.6(01);13.4(31);63.6(19);1.6(08);8.2(13);16.0(07);17.8(26);27.8(11);17.0(22);13.8(22);11.4(01);63.6(19/abr)
8178D;2.0(19);2.8(01);15.2(31);61.0(19);5.5(01);9.0(13);13.6(07);15.3(26);27.9(11);19.3(22);16.0(22);9.9(01);61.0(19/abr)
8025;2.4(17);0.6(01);12.2(31);46.8(19);0.6(03);0.2(14);0.1(08);86.8(20);52.8(12);29.8(21);14.4(22);24.4(02);86.8(20/ago)
8019;1.8(19);1.2(01);14.7(31);98.9(19);0.8(24);0.3(14);0.3(08);85.4(20);152.8(12);32.3(21);13.0(22);24.0(03);152.8(12/sep)
6325O;0.3(31);1.4(01);10.4(31);16.5(20);0.3(03);0.1(13);0.0(--);0.0(--);99.2(12);35.3(22);16.8(22);11.7(03);99.2(12/sep)
9091O;42.7(23);30.4(01);6.0(13);22.0(24);22.3(16);5.4(04);17.8(31);17.0(26);13.8(15);16.6(23);38.4(08);39.8(12);42.7(23/ene)
1212E;58.0(22);20.4(18);11.4(12);16.9(06);30.4(09);9.4(23);9.7(04);9.1(31);11.2(01);66.5(19);44.3(12);67.0(16);67.0(16/dic)
1208H;58.3(22);15.0(18);10.6(06);25.0(06);30.4(09);14.0(20);17.0(25);7.4(06);7.4(09);48.0(19);39.6(22);60.2(16);60.2(16/dic)
1249I;76.5(22);24.5(01);6.7(12);14.5(23);21.1(09);16.4(23);19.0(25);15.5(06);12.0(10);47.5(19);50.5(14);54.0(16);76.5(22/ene)
2444;9.6(19);1.4(01);10.6(06);10.2(18);2.2(16);4.2(06);1.0(22);11.4(25);19.0(15);18.0(22);7.4(12);14.4(16);19.0(15/sep)
4452;15.8(31);6.8(19);8.8(06);5.4(04);8.0(08);0.6(06);0.0(--);0.0(--);4.4(21);10.6(19);29.0(22);17.6(20);29.0(22/nov)
B954;4.0(10);1.8(01);5.4(18);6.2(21);6.3(24);0.0(--);0.0(--);58.5(27);76.9(11);54.5(22);9.2(22);34.1(03);76.9(11/sep)
B893;46.3(20);;4.6(19);28.4(22);4.1(03);0.2(08);10.5(27);7.8(27);68.1(10);27.9(21);74.2(10);35.1(04);
B228;9.8(19);1.5(02);5.0(19);7.2(05);7.7(03);0.0(--);1.4(08);14.4(27);20.1(10);59.3(22);27.6(10);36.2(03);59.3(22/oct)
B278;6.1(19);1.7(02);5.6(19);12.0(05);8.0(03);0.0(--);4.0(08);11.2(27);15.3(10);52.6(21);19.4(22);38.7(03);52.6(21/oct)
0200E;9.1(20);4.5(01);0.3(19);9.0(03);35.0(17);17.5(11);52.5(27);12.9(11);44.6(10);65.5(22);21.1(22);100.9(04);100.9(04/dic)
0076;13.2(20);0.1(01);0.2(06);10.5(09);36.7(17);30.7(11);44.3(27);52.5(11);72.9(02);43.6(22);8.3(22);68.9(04);72.9(02/sep)
1082;33.4(22);15.1(01);16.3(18);13.2(09);15.5(18);8.1(10);35.6(25);8.2(10);23.0(10);28.3(19);53.1(08);25.5(12);53.1(08/nov)
2331;10.8(31);4.8(01);8.4(06);26.2(24);7.8(16);9.4(04);35.0(03);1.8(10);16.6(17);17.6(23);16.0(12);46.4(19);46.4(19/dic)
3469A;13.6(31);1.2(10);5.6(05);15.0(24);4.2(08);1.2(06);0.0(--);0.2(07);18.6(21);6.2(16);23.4(22);38.6(19);38.6(19/dic)
5973;12.0(31);0.8(01);4.7(07);11.8(04);0.0(--);0.9(06);0.0(--);0.0(--);1.1(21);8.0(19);12.7(21);17.6(19);17.6(19/dic)
5960;14.8(31);0.5(01);6.4(06);10.2(04);0.0(--);1.2(06);0.1(12);0.0(--);3.0(13);12.2(19);25.0(21);30.5(19);30.5(19/dic)
5910;13.4(19);0.4(01);3.9(07);7.6(04);0.0(--);0.0(--);0.0(--);0.0(--);1.3(21);12.5(19);24.7(21);16.8(19);24.7(21/nov)
6001;19.6(19);17.6(01);;;;;;0.1(29);2.7(08);8.5(19);27.0(21);;
1111;35.4(22);17.3(01);5.4(07);35.4(03);19.8(18);17.5(10);23.7(26);21.1(11);14.0(10);76.8(23);31.9(06);45.8(01);76.8(23/oct)
1109;54.0(22);13.1(01);7.9(07);31.1(03);18.8(16);15.6(10);25.3(08);19.5(18);18.4(09);74.6(19);52.5(08);48.8(01);74.6(19/oct)
8500A;0.6(19);0.0(--);15.6(31);28.8(18);10.2(24);0.0(--);4.2(07);15.4(26);29.4(11);14.4(22);3.2(12);105.8(04);105.8(04/dic)
5000C;28.0(30);30.8(01);10.0(30);30.0(05);0.0(--);0.0(--);0.2(21);0.0(--);1.4(08);20.4(19);29.4(17);31.2(02);31.2(02/dic)
4121;9.4(31);6.0(01);6.6(06);10.8(19);2.2(01);0.0(--);10.9(23);0.1(07);18.6(08);22.0(19);22.6(22);21.8(19);22.6(22/nov)
5402;26.4(31);0.5(01);12.1(06);11.7(07);0.0(--);0.0(--);0.0(--);11.4(26);8.1(14);4.6(19);34.5(22);50.3(19);50.3(19/dic)
8096;10.0(19);1.4(01);10.6(31);24.2(19);39.2(01);1.1(04);1.6(08);10.4(21);13.4(20);19.6(22);14.8(22);38.4(20);39.2(01/may)
1014;51.3(22);23.5(01);13.7(18);25.6(15);91.8(18);27.1(04);37.9(27);24.7(10);19.8(09);23.2(14);64.7(23);64.2(11);91.8(18/may)
1024E;51.6(22);31.7(01);16.6(18);23.6(15);84.8(18);31.2(04);46.3(26);32.4(10);24.7(21);26.9(23);50.8(09);56.6(11);84.8(18/may)
0367;5.5(20);0.3(01);4.1(13);15.9(02);12.3(03);12.6(11);26.9(09);2.4(27);14.6(09);85.7(22);24.7(22);69.8(04);85.7(22/oct)
5530E;14.6(19);10.3(01);7.5(31);17.5(06);3.2(02);0.0(--);0.0(--);0.0(--);20.3(13);7.8(19);19.8(22);38.4(20);38.4(20/dic)
5514;10.5(20);7.9(01);7.0(30);19.2(06);0.1(02);0.0(--);0.0(--);0.0(--);45.0(08);10.7(19);16.0(22);16.7(20);45.0(08/sep)
3013;7.8(31);2.6(01);10.8(31);33.2(18);10.2(16);5.0(05);11.0(08);4.8(30);5.8(17);20.2(22);12.2(04);22.0(19);33.2(18/abr)
4642E;19.2(31);1.2(18);7.2(07);13.2(04);0.0(--);0.0(--);0.0(--);0.0(--);5.8(21);11.2(19);10.2(22);;
9898;7.0(31);0.4(01);5.0(06);15.2(23);20.2(16);4.4(06);24.0(14);72.4(19);16.0(19);37.2(22);16.0(22);18.6(12);72.4(19/ago)
5270B;26.6(31);10.8(01);10.6(30);13.0(06);0.2(03);0.0(--);3.0(23);;;9.8(19);39.6(22);46.8(19);
9170;12.7(30);11.7(02);3.0(06);21.7(18);21.2(16);10.7(20);13.2(13);14.7(26);20.0(15);7.6(22);10.5(12);9.3(12);21.7(18/abr)
C249I;1.7(17);0.8(01);3.2(25);1.9(05);0.0(--);0.0(--);0.0(--);0.0(--);0.5(16);1.2(26);0.6(15);6.0(04);6.0(04/dic)
C649I;10.6(17);4.1(01);7.6(26);11.4(03);0.0(--);0.2(11);0.0(--);0.1(10);1.4(15);2.0(20);4.0(15);6.1(04);11.4(03/abr)
C029O;2.8(17);4.6(15);18.6(26);2.0(05);0.9(20);0.1(11);0.2(29);0.0(--);0.6(23);1.0(26);3.4(20);6.6(05);18.6(26/mar)
2661;9.0(19);5.6(01);8.1(05);11.7(18);4.5(16);24.1(24);5.9(08);4.7(25);24.7(17);25.7(19);21.0(14);39.1(16);39.1(16/dic)
1549;21.6(30);14.4(01);7.6(06);13.0(07);13.6(09);20.0(20);13.8(03);8.4(25);14.8(21);33.8(19);25.0(22);38.4(19);38.4(19/dic)
9771C;6.0(31);3.2(01);0.6(06);7.6(05);14.6(23);2.8(10);25.2(08);14.2(20);3.4(20);78.4(22);8.2(22);15.0(04);78.4(22/oct)
1505;21.8(22);25.0(01);36.0(05);23.0(07);15.2(09);13.0(06);24.6(04);3.8(11);51.4(20);47.4(13);36.6(07);31.8(18);51.4(20/sep)
