Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1387;Min;32.9;17.8;0.0;5.1;19.6;5.1;2.2;1.0;3.4;19.2;2.4;21.2;672.3
1387;Q1;47.9;48.2;26.7;47.2;35.5;17.4;10.3;14.9;27.0;73.9;69.9;94.6;855.1
1387;Q2;78.0;68.9;49.4;66.5;60.2;25.1;20.9;21.7;45.8;92.5;113.5;125.4;963.0
1387;Q3;132.0;98.0;80.4;85.2;85.1;48.2;36.6;37.4;77.2;137.0;151.6;132.9;1080.4
1387;Q4;167.0;129.4;95.5;129.0;108.7;80.0;56.2;57.5;110.2;175.7;200.7;181.5;1146.7
1387;Max;222.6;211.2;262.3;231.9;172.8;121.2;97.3;91.7;138.6;309.3;296.9;245.5;1276.1
1387;Mn;119.3;84.0;69.2;72.5;70.4;34.5;33.0;31.1;49.1;116.7;128.1;130.3;1009.3
1387;Md;111.7;87.7;75.0;88.2;74.5;43.7;34.3;35.2;63.6;130.3;138.1;131.4;1013.8
1387;S;59.56;45.64;59.88;52.75;39.96;30.62;25.50;24.35;41.17;75.21;73.32;58.61;158.22
1387;Cv;0.53;0.52;0.80;0.60;0.54;0.70;0.74;0.69;0.65;0.58;0.53;0.45;0.16
1387E;N;30;30;30;30;30;30;30;29;29;29;29;29;28
1387E;Min;29.0;12.1;0.0;7.2;22.8;9.5;2.8;0.9;5.5;14.0;1.1;24.8;763.4
1387E;Q1;60.5;51.4;29.1;53.1;40.6;19.7;12.7;13.0;26.9;76.5;80.5;97.3;968.6
1387E;Q2;84.1;83.5;61.5;71.6;64.5;25.8;23.8;23.9;37.4;98.8;113.9;126.3;1095.6
1387E;Q3;132.4;109.3;89.4;100.1;87.2;41.0;30.2;44.1;83.5;134.5;149.4;167.3;1122.1
1387E;Q4;172.2;156.3;120.8;139.6;114.7;78.8;59.0;56.4;113.6;224.2;198.0;188.8;1211.4
1387E;Max;280.0;247.9;273.0;300.6;211.4;106.8;95.7;99.0;167.4;316.4;314.6;297.8;1506.3
1387E;Mn;111.5;103.3;74.6;80.3;79.3;30.0;26.7;35.3;54.4;129.4;134.3;151.1;1104.2
1387E;Md;120.6;102.3;85.0;99.0;82.3;44.6;34.8;36.3;72.0;139.1;140.1;143.9;1105.5
1387E;S;69.75;55.99;61.18;63.05;46.16;30.86;26.17;24.61;49.34;79.99;74.78;65.97;165.25
1387E;Cv;0.58;0.55;0.72;0.64;0.56;0.69;0.75;0.68;0.69;0.58;0.53;0.46;0.15
1428;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1428;Min;22.5;18.6;0.0;33.2;30.9;8.0;3.0;0.0;11.8;2.3;2.8;20.7;1092.7
1428;Q1;70.3;57.7;47.0;67.1;69.9;28.5;8.5;12.8;30.2;123.1;94.7;158.5;1524.5
1428;Q2;179.2;159.4;100.6;91.4;101.6;47.1;21.8;41.1;66.4;169.2;165.0;188.0;1717.6
1428;Q3;238.5;183.7;125.9;139.6;140.4;66.6;51.7;57.2;121.9;222.5;247.5;284.8;1865.7
1428;Q4;329.5;240.2;204.0;211.2;221.9;129.1;76.1;90.6;180.4;353.8;336.4;393.9;2046.7
1428;Max;505.3;429.9;682.9;441.8;305.9;177.4;126.3;214.9;291.8;729.0;444.8;649.8;2319.3
1428;Mn;197.2;173.9;105.9;114.8;121.8;53.3;40.8;50.7;85.3;190.5;208.1;225.2;1787.9
1428;Md;210.1;167.2;146.2;145.9;135.0;72.2;43.2;57.1;106.6;225.9;216.8;261.1;1787.2
1428;S;122.87;101.65;135.47;107.52;75.68;50.45;33.88;52.05;79.04;148.64;127.65;156.55;289.61
1428;Cv;0.58;0.61;0.93;0.74;0.56;0.70;0.78;0.91;0.74;0.66;0.59;0.60;0.16
8175;N;30;30;30;30;30;30;29;30;30;30;30;30;29
8175;Min;0.0;0.0;0.2;6.7;1.3;0.0;0.0;0.0;0.6;0.0;0.0;2.7;184.9
8175;Q1;4.4;9.1;7.4;18.4;16.5;2.9;0.0;0.1;6.5;9.0;8.6;6.8;264.6
8175;Q2;9.4;18.5;14.9;30.0;32.1;10.6;0.4;3.9;20.1;31.4;24.3;19.5;288.9
8175;Q3;17.5;26.7;22.5;46.8;40.8;31.3;7.5;6.0;26.4;48.5;35.2;27.9;374.3
8175;Q4;38.6;34.6;53.2;57.3;65.1;58.7;19.8;14.1;52.5;66.9;58.9;54.0;454.5
8175;Max;82.8;88.9;77.0;88.5;160.4;162.8;41.2;81.5;201.4;166.6;118.4;117.8;615.0
8175;Mn;12.8;23.8;20.9;40.2;35.8;14.8;5.0;4.9;22.6;37.4;29.4;25.0;332.3
8175;Md;20.6;24.9;26.7;40.4;43.4;34.6;9.3;10.6;33.7;41.8;34.4;31.2;352.6
8175;S;20.94;19.60;22.53;23.23;34.62;43.09;11.70;17.67;39.56;35.87;27.26;28.28;106.62
