Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;109.2;48.0;46.9;112.2;41.8;61.8;11.0;27.4;19.0;142.4;231.8;192.0;1043.5
1387E;106.9;45.3;42.9;113.3;38.2;71.7;12.3;22.4;20.4;123.4;230.8;195.5;1023.1
1428;105.5;58.6;108.8;171.9;44.5;58.2;14.7;65.4;60.0;233.7;424.7;276.5;1622.5
8175;3.8;3.6;21.0;138.8;3.6;8.2;17.0;23.6;74.4;31.6;43.6;29.0;398.2
8178D;5.0;2.8;22.3;148.5;9.6;9.0;14.5;21.3;64.8;35.8;50.7;28.6;412.9
8025;4.0;0.6;17.2;125.2;0.8;0.2;0.1;106.8;125.8;47.4;23.0;51.8;502.9
8019;2.7;1.2;19.6;185.9;1.9;0.3;0.3;98.8;235.5;43.3;25.3;52.6;667.4
6325O;0.3;1.4;18.3;37.8;0.3;0.1;0.0;0.0;104.6;40.9;18.8;29.9;252.4
9091O;196.3;52.0;19.2;70.0;50.0;14.6;53.6;25.5;42.1;48.9;253.0;86.4;911.6
1212E;205.0;48.3;39.9;93.1;67.9;41.1;41.5;31.0;31.5;169.7;333.1;223.1;1325.2
1208H;188.1;34.9;37.8;101.5;62.6;60.2;34.9;28.1;37.8;157.5;376.2;173.5;1293.1
1249I;233.3;50.9;23.7;78.5;57.1;88.5;54.6;52.0;48.2;133.4;365.4;158.1;1343.7
2444;19.6;1.6;13.0;33.8;3.0;4.2;1.2;26.2;34.8;46.4;48.8;47.0;279.6
4452;31.4;7.6;21.0;34.8;8.4;0.6;0.0;0.0;5.0;21.6;84.6;68.2;283.2
B954;12.2;2.1;13.9;20.8;9.0;0.0;0.0;60.4;94.9;82.4;17.3;49.0;362.0
B893;74.9;;7.0;52.3;4.5;0.3;12.0;7.8;74.3;58.5;186.4;39.4;
B228;23.9;2.8;9.3;19.4;11.2;0.0;1.4;14.6;44.0;139.2;103.5;63.8;433.1
B278;15.9;2.9;9.8;22.1;10.3;0.0;6.2;11.5;41.9;126.2;73.3;77.1;397.2
0200E;18.2;4.6;0.3;36.2;109.0;19.3;75.8;23.1;71.5;83.2;39.4;119.2;599.8
0076;32.6;0.1;0.2;24.3;89.2;37.4;53.1;80.7;158.6;80.7;25.5;90.4;672.8
1082;230.4;37.0;51.9;72.6;69.5;26.5;64.1;26.5;85.2;114.5;371.0;117.4;1266.6
2331;39.9;7.6;12.2;85.2;24.0;21.4;100.8;4.4;42.8;66.2;103.2;64.0;571.7
3469A;16.4;2.2;12.6;57.0;6.6;1.2;0.0;0.2;20.0;27.8;89.4;101.8;335.2
5973;29.0;0.9;9.4;41.1;0.0;0.9;0.0;0.0;1.8;12.7;44.1;43.3;183.2
5960;35.0;0.8;13.7;47.0;0.0;1.2;0.1;0.0;8.0;25.8;67.4;50.9;249.9
5910;31.1;0.4;8.1;38.7;0.0;0.0;0.0;0.0;1.6;14.8;63.7;35.1;193.5
6001;55.4;23.9;;;;;;0.1;3.0;24.9;114.9;;
1111;210.1;39.2;21.7;104.7;60.6;54.6;64.0;46.6;33.4;201.8;332.6;137.0;1306.3
1109;219.0;33.4;44.0;105.8;63.2;58.1;83.9;44.5;58.5;238.0;397.2;144.5;1490.1
8500A;0.6;0.0;16.2;39.4;14.2;0.0;7.6;29.4;57.0;18.8;3.6;144.4;331.2
5000C;53.2;37.2;17.8;82.0;0.0;0.0;0.2;0.0;2.4;28.8;132.2;75.4;429.2
4121;14.6;6.4;7.0;86.0;3.0;0.0;10.9;0.1;51.2;27.0;65.9;54.4;326.5
5402;37.2;0.5;16.0;51.9;0.0;0.0;0.0;11.4;12.3;6.4;73.0;130.8;339.5
8096;23.4;1.4;16.6;109.0;39.6;1.5;2.4;18.8;38.9;37.6;83.8;80.6;453.6
1014;252.9;51.9;68.7;116.5;227.3;110.2;132.1;71.7;56.6;164.3;548.0;163.7;1963.9
1024E;246.9;60.8;62.4;118.1;201.1;81.5;148.1;87.6;81.4;179.6;481.1;151.5;1900.1
0367;11.7;0.8;5.6;47.0;66.8;14.6;56.2;7.2;53.7;108.1;34.8;81.5;488.0
5530E;45.5;10.3;17.1;78.8;3.2;0.0;0.0;0.0;70.6;16.9;56.2;52.2;350.8
5514;30.5;7.9;18.7;87.0;0.1;0.0;0.0;0.0;98.7;21.8;55.8;38.7;359.2
3013;19.2;3.0;21.4;85.2;23.6;11.2;17.0;11.8;12.6;31.4;61.6;62.4;360.4
4642E;30.0;1.6;9.4;43.6;0.0;0.0;0.0;0.0;7.0;16.0;31.8;;
9898;20.0;0.4;6.0;52.8;31.8;10.8;45.6;78.0;41.6;60.6;52.6;57.8;458.0
5270B;42.6;10.8;22.2;87.2;0.2;0.0;3.6;;;16.0;98.2;92.8;
9170;35.9;25.2;4.9;53.9;33.5;27.8;42.6;17.4;47.3;24.8;96.6;24.8;434.7
C249I;2.0;0.9;6.3;1.9;0.0;0.0;0.0;0.0;0.5;1.4;1.8;9.8;24.6
C649I;13.2;6.9;16.9;12.0;0.0;0.4;0.0;0.1;1.6;2.9;6.8;16.8;77.6
C029O;4.0;4.6;19.0;2.1;0.9;0.1;0.2;0.0;0.6;1.8;4.7;14.3;52.3
2661;25.2;12.6;14.2;55.2;8.5;32.1;23.7;8.0;31.4;59.1;97.9;128.6;496.5
1549;58.6;22.4;19.4;82.4;15.2;62.2;25.4;20.4;22.7;85.0;169.0;164.2;746.9
9771C;12.1;3.2;0.6;28.7;34.4;5.6;26.4;23.4;5.8;93.2;17.2;40.4;291.0
1505;100.0;58.8;71.9;150.0;33.0;50.4;48.8;22.0;72.4;154.4;333.4;180.3;1275.4
3191E;34.7;2.2;16.3;97.0;0.8;2.1;2.0;13.2;42.5;30.0;60.1;112.4;413.3
3129;18.2;0.5;12.7;81.5;0.0;2.4;17.1;44.4;37.9;33.1;30.7;57.7;336.2
3196;19.3;0.7;7.5;71.7;0.5;0.7;9.6;52.3;47.9;39.1;38.2;81.6;369.1
3200;14.0;1.8;9.1;70.4;1.1;1.0;2.5;33.2;31.3;40.3;39.9;101.6;346.2
3195;18.6;1.0;9.8;83.2;0.1;2.0;8.6;58.4;33.1;42.6;44.0;90.1;391.5
3175;14.6;0.5;10.2;75.2;0.0;2.1;9.6;15.7;45.9;26.8;29.4;52.9;282.9
2462;153.3;14.2;44.0;153.4;5.6;8.3;11.2;45.6;71.6;103.6;313.5;229.1;1153.4
6155A;3.8;5.6;20.4;37.2;0.0;0.0;0.0;0.0;60.3;5.1;30.2;42.0;204.6
6000A;13.8;8.0;52.0;27.6;0.0;10.6;0.0;1.6;22.9;34.4;56.8;31.0;258.7
7178I;1.2;0.0;17.9;123.1;5.0;1.2;0.0;37.6;217.5;21.9;13.6;37.0;476.0
7228;1.3;0.0;14.7;121.2;4.2;1.4;0.0;11.9;240.4;25.1;10.2;47.3;477.7
