Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;46;58;60;50;64;;63;61;64;40;19;35;
1428;51;55;55;42;63;38;59;57;57;28;18;35;47
8175;70;80;74;52;72;79;80;76;64;70;50;46;68
8178D;;;;;;;83;;;;;;
8025;71;87;75;63;78;83;80;83;71;76;74;61;75
8019;71;86;74;62;76;85;81;81;71;76;74;58;75
6325O;77;81;71;70;78;83;80;81;69;76;68;59;74
9091O;27;61;61;41;47;57;52;61;53;51;22;28;47
1212E;33;65;59;42;52;27;44;38;51;36;19;34;42
1208H;30;64;56;46;53;36;48;;51;39;24;32;
1249I;37;65;61;45;50;27;39;37;51;38;23;37;43
2444;52;76;78;50;77;76;82;78;72;64;33;41;65
4452;61;72;83;63;81;83;82;86;82;65;39;43;70
B954;69;74;71;57;73;73;75;73;59;67;68;53;68
B893;54;;67;;71;79;78;78;67;66;48;58;
B228;64;74;63;54;66;76;74;76;64;66;49;58;65
B278;61;73;67;57;65;74;72;78;59;64;46;55;64
0200E;73;84;70;47;63;75;74;73;62;51;67;56;66
0076;45;73;74;47;59;67;67;67;62;48;46;29;57
1082;18;58;50;31;42;39;43;42;47;36;14;34;38
2331;40;73;68;43;60;64;67;71;63;51;20;38;55
3469A;70;79;83;62;84;85;86;86;79;67;42;49;73
5960;70;84;74;62;84;85;82;86;75;70;54;59;74
5910;69;79;76;68;82;83;78;86;76;73;54;57;73
1111;25;64;63;45;52;45;52;49;58;42;19;40;46
1109;22;59;57;40;48;40;50;44;51;40;15;30;41
8500A;78;84;82;58;72;81;79;75;69;72;69;54;73
5000C;59;52;61;65;77;79;73;73;61;65;56;40;63
4121;75;82;81;54;80;87;86;88;71;73;38;34;71
5402;76;83;87;69;87;88;89;92;82;81;59;67;80
8096;65;80;71;42;57;65;67;69;63;62;33;43;60
1014;16;60;55;39;46;47;42;47;53;35;12;26;40
1024E;20;65;56;39;47;47;43;49;57;42;18;40;44
0367;70;77;75;49;61;73;;75;67;58;60;63;
5530E;68;84;78;53;87;90;85;88;73;80;41;61;74
5514;65;76;69;56;88;89;83;87;70;75;43;61;72
3013;54;74;73;;66;76;73;74;64;62;28;37;
4642E;75;87;83;70;88;87;89;92;82;74;58;60;79
9898;60;84;83;57;74;74;76;75;76;65;53;37;68
5270B;62;79;77;55;86;86;85;88;67;;39;50;
9170;42;71;75;51;57;70;72;76;71;56;29;39;59
C249I;;;;60;;;;;;70;60;;
C649I;;83;71;;;;;;;;;;
C029O;;;;76;;;73;;;;72;;
2661;70;77;80;59;78;70;81;78;76;54;43;42;67
1549;54;64;75;52;74;54;73;72;69;47;17;27;57
9771C;49;85;84;59;77;;78;82;80;64;57;26;
1505;34;59;55;46;57;37;50;54;57;35;12;20;43
3191E;68;78;79;49;73;77;77;76;63;59;37;46;65
3129;70;82;81;48;77;80;80;;68;64;39;42;
3196;75;85;78;55;82;82;82;82;68;67;47;50;71
3200;74;84;79;55;80;81;81;84;70;68;46;48;71
3175;75;86;75;;81;84;83;82;66;64;45;37;
2462;46;68;71;36;65;74;76;74;61;51;7;41;56
6155A;61;;72;;84;83;78;80;67;76;55;55;
6000A;73;63;59;64;74;75;67;71;60;73;60;54;66
7178I;75;77;74;64;77;86;81;82;67;72;72;55;74
7228;76;78;64;59;74;82;77;79;58;68;72;56;70
7031;71;82;62;55;75;81;78;76;;;71;;
9263D;37;69;66;42;49;59;67;69;71;48;19;37;53
1690A;37;52;60;45;69;46;64;62;60;33;16;26;48
1484C;57;60;62;48;70;47;66;66;63;35;17;36;52
2867;54;81;83;57;85;77;79;79;76;61;35;38;67
C929I;58;76;59;62;61;68;65;63;70;;57;59;
C430E;88;91;83;86;99;99;99;92;95;79;87;79;90
C139E;43;62;46;53;51;41;52;64;43;47;41;55;50
C449C;66;79;68;72;83;71;84;86;87;71;59;64;74
C447A;36;61;49;49;59;39;45;69;69;53;31;33;49
C429I;70;85;78;69;80;;;84;78;71;77;79;
2465;50;76;78;45;74;74;79;79;69;57;15;46;62
5796;71;82;69;60;83;85;80;87;67;76;49;62;73
5783;77;85;82;68;;91;;91;77;81;52;64;
2030;62;79;76;46;66;65;67;69;71;62;30;49;62
0016A;76;82;79;52;64;73;;72;64;60;62;54;
9981A;72;83;79;52;66;71;77;72;69;66;58;53;68
9381I;60;83;75;41;62;67;65;69;68;64;42;53;62
8368U;60;81;;47;67;74;76;77;63;62;49;47;
3260B;;85;84;;81;86;83;85;;;45;40;
8416;68;73;72;51;62;66;69;;;66;62;49;
8414A;79;80;78;56;70;78;77;74;62;72;68;55;71
2422;50;75;79;56;70;70;67;73;72;56;30;31;61
2539;55;73;70;55;78;74;74;77;67;54;30;37;62
2614;40;63;72;58;80;;79;75;70;52;28;;
9390;51;77;74;46;66;73;71;76;68;59;44;44;62
9434;62;82;84;56;76;77;76;81;78;66;54;;
