Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;29;29
1387;Min;14.8;15.0;17.2;18.0;16.0;22.0;24.6;24.4;24.4;20.0;17.4;16.0;28.0
1387;Q1;16.4;16.6;19.0;19.7;21.0;23.7;25.8;26.7;25.5;22.2;19.3;17.2;29.6
1387;Q2;17.5;18.0;20.2;22.0;23.2;25.8;27.0;27.4;26.5;24.3;20.5;17.9;30.0
1387;Q3;18.3;19.2;22.2;23.0;24.7;28.4;28.1;28.4;28.1;25.7;21.5;19.0;31.6
1387;Q4;19.2;20.9;24.2;24.4;28.7;30.6;31.2;29.8;30.0;26.4;22.5;19.7;33.6
1387;Max;21.2;24.6;27.0;28.0;30.6;34.4;34.5;35.2;31.0;28.0;25.0;25.6;35.2
1387;Mn;17.7;18.5;21.3;22.3;24.3;27.3;27.4;27.9;27.2;25.1;21.0;18.2;30.6
1387;Md;17.8;18.8;21.6;22.3;24.3;27.2;28.1;28.5;27.7;24.5;21.0;18.6;31.1
1387;S;1.66;2.38;2.64;2.34;3.69;3.39;2.65;2.52;2.05;2.28;2.03;1.93;2.12
1387;Cv;0.09;0.13;0.12;0.10;0.15;0.12;0.09;0.09;0.07;0.09;0.10;0.10;0.07
1387E;N;29;29;30;30;30;30;29;28;29;29;27;29;25
1387E;Min;15.0;15.3;18.2;18.6;18.0;23.0;25.7;27.0;25.3;20.6;18.2;15.6;29.3
1387E;Q1;16.6;16.5;19.6;21.7;23.3;26.0;28.4;28.0;27.0;22.1;19.1;17.2;31.3
1387E;Q2;17.6;18.0;21.0;23.4;24.7;28.7;29.8;29.6;28.1;24.8;20.2;17.8;32.6
1387E;Q3;18.2;18.8;22.5;24.6;27.0;29.9;31.0;30.2;30.0;26.0;21.9;18.2;33.9
1387E;Q4;19.8;20.4;25.0;26.3;29.8;32.8;33.0;32.5;31.5;27.5;23.5;20.0;34.9
1387E;Max;20.8;23.4;28.0;29.2;32.5;37.2;36.0;37.7;34.4;28.8;26.0;25.4;37.7
1387E;Mn;17.8;18.6;21.9;24.1;25.6;29.0;30.4;30.0;29.0;25.4;20.9;18.0;33.4
1387E;Md;17.9;18.7;22.2;24.0;26.1;29.2;30.5;30.4;29.2;25.1;21.3;18.4;33.3
1387E;S;1.63;2.25;2.79;2.65;3.65;3.47;2.70;2.64;2.51;2.45;2.21;2.03;2.11
1387E;Cv;0.09;0.12;0.13;0.11;0.14;0.12;0.09;0.09;0.09;0.10;0.10;0.11;0.06
1428;N;29;30;28;28;29;28;30;29;28;27;28;27;24
1428;Min;12.0;12.6;16.6;19.6;22.0;23.4;27.2;27.6;27.1;19.8;16.0;13.8;32.6
1428;Q1;13.6;15.5;20.5;21.6;25.0;28.1;30.4;30.6;28.8;22.0;17.5;15.2;33.2
1428;Q2;15.5;17.1;22.0;24.2;26.8;30.8;32.4;32.2;30.2;24.4;19.1;15.6;34.0
1428;Q3;16.4;18.5;23.4;26.5;28.5;32.3;33.5;33.4;31.0;25.5;20.9;16.4;35.2
1428;Q4;18.4;20.6;24.9;28.8;30.4;34.1;35.2;35.6;33.0;27.0;22.2;18.2;37.2
1428;Max;19.0;23.0;27.6;29.8;34.0;36.0;39.4;39.0;37.6;29.6;23.8;23.4;39.4
1428;Mn;16.0;17.9;23.0;25.1;27.2;31.2;33.0;33.0;30.8;25.2;20.0;16.0;34.9
1428;Md;15.9;18.0;22.6;25.0;27.7;31.1;32.9;33.0;31.0;24.7;19.9;16.7;35.0
1428;S;2.08;2.63;2.66;3.14;2.94;3.03;2.95;2.91;2.50;2.61;2.19;2.20;1.94
1428;Cv;0.13;0.15;0.12;0.13;0.11;0.10;0.09;0.09;0.08;0.11;0.11;0.13;0.06
8175;N;30;30;30;30;30;30;30;30;30;30;30;29;29
8175;Min;12.2;14.8;20.0;20.6;22.0;29.0;34.4;33.2;28.6;24.0;16.4;13.0;36.0
8175;Q1;15.0;17.6;21.6;24.2;28.2;33.4;36.8;35.5;31.4;25.4;18.6;14.6;37.5
8175;Q2;15.8;18.7;23.1;25.8;29.4;34.6;38.0;37.0;33.0;26.6;20.3;15.6;38.4
8175;Q3;16.8;19.5;24.2;26.3;31.2;35.8;38.8;37.5;33.9;28.1;21.3;16.8;39.0
8175;Q4;18.6;20.7;25.6;27.8;33.1;37.3;39.9;38.5;35.0;29.0;23.1;18.6;40.0
8175;Max;20.0;23.6;30.0;29.4;35.8;39.6;41.0;39.4;37.6;33.4;29.0;21.0;41.0
8175;Mn;16.1;19.0;23.7;26.1;30.5;35.4;38.4;37.4;33.6;27.0;20.9;16.0;38.6
8175;Md;16.5;19.2;23.8;25.9;30.3;35.2;38.3;37.1;33.3;27.4;21.0;16.4;38.7
8175;S;2.01;2.13;2.23;2.15;2.86;2.39;1.59;1.55;2.13;2.20;2.61;2.10;1.23
8175;Cv;0.12;0.11;0.09;0.08;0.09;0.07;0.04;0.04;0.06;0.08;0.12;0.13;0.03
8178D;N;28;28;28;28;28;26;28;28;28;28;28;26;24
8178D;Min;13.3;15.6;20.6;20.4;22.4;29.7;35.2;33.4;29.8;25.2;18.3;14.0;36.8
8178D;Q1;16.1;18.4;22.6;25.5;28.2;34.2;37.6;36.7;32.7;26.3;19.9;15.3;38.4
8178D;Q2;16.8;20.0;24.3;26.4;30.0;35.0;38.3;37.8;34.2;27.5;21.2;17.0;38.8
8178D;Q3;18.1;20.7;24.9;27.4;32.1;36.4;39.3;38.4;35.2;28.7;22.5;18.0;40.0
8178D;Q4;20.0;21.4;26.0;29.0;33.7;37.9;40.2;39.8;36.0;30.5;24.8;19.5;40.6
8178D;Max;21.6;24.2;31.2;30.2;36.6;39.4;41.4;40.8;39.6;33.0;28.8;21.0;41.4
8178D;Mn;17.3;20.3;24.5;26.7;31.7;35.9;38.7;38.1;34.7;28.1;21.8;17.4;39.3
8178D;Md;17.6;20.1;24.7;26.7;31.1;35.7;38.8;38.0;34.5;28.5;22.2;17.4;39.4
8178D;S;2.04;2.02;2.23;2.32;3.17;2.41;1.60;1.81;2.09;2.23;2.51;1.97;1.26
8178D;Cv;0.12;0.10;0.09;0.09;0.10;0.07;0.04;0.05;0.06;0.08;0.11;0.11;0.03
8025;N;30;29;30;30;30;30;30;30;30;30;30;30;29
8025;Min;18.4;20.5;22.6;23.0;25.0;29.6;32.2;31.0;29.0;27.2;22.6;19.6;32.2
8025;Q1;20.9;21.8;24.6;25.6;27.3;31.4;33.0;34.1;32.0;28.4;24.4;21.7;34.8
8025;Q2;22.0;23.6;26.1;26.3;28.5;32.3;33.8;34.6;32.8;29.2;25.3;22.6;35.6
8025;Q3;23.4;25.2;27.0;27.4;29.8;33.2;34.7;35.6;34.4;30.5;26.4;23.4;36.6
8025;Q4;23.8;26.2;29.1;28.5;30.8;34.2;36.1;36.6;35.2;31.8;27.8;24.9;38.2
8025;Max;29.2;29.4;32.6;30.6;33.5;36.7;41.4;40.4;38.2;33.6;30.6;26.6;41.4
8025;Mn;23.0;24.4;26.8;27.0;29.4;32.6;34.6;34.9;33.3;30.0;25.9;23.2;36.4
8025;Md;22.6;24.4;26.9;27.0;29.2;32.9;34.7;35.2;33.5;30.0;26.0;23.2;36.4
8025;S;2.27;2.36;2.46;1.98;1.95;1.67;2.06;2.12;1.96;1.77;1.89;1.60;1.96
8025;Cv;0.10;0.10;0.09;0.07;0.07;0.05;0.06;0.06;0.06;0.06;0.07;0.07;0.05
8019;N;30;29;30;29;29;28;29;30;29;29;30;29;24
8019;Min;17.8;20.3;21.8;23.4;26.0;30.2;31.4;32.4;28.8;26.6;21.7;20.0;34.0
8019;Q1;20.6;21.2;24.2;25.6;27.6;31.3;33.0;33.0;32.0;28.0;24.2;21.8;35.2
8019;Q2;21.9;23.7;25.4;26.2;28.6;32.5;34.6;34.5;33.0;28.8;25.2;22.1;35.8
8019;Q3;22.5;25.0;26.7;27.0;30.0;33.6;35.2;35.5;34.0;30.4;26.2;23.6;37.6
8019;Q4;24.0;26.4;29.0;28.6;30.8;35.0;37.6;36.9;36.2;31.8;26.9;24.2;38.6
8019;Max;26.8;29.2;33.0;32.0;32.6;35.8;41.4;39.8;37.6;34.2;31.0;27.0;41.4
8019;Mn;22.3;24.2;26.3;26.6;29.9;33.0;34.9;35.3;33.5;29.8;25.5;23.6;36.8
