Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;14.4(04);24.2(26);20.3(24);22.5(14);33.5(31);26.5(01);26.2(13);30.3(23);26.3(03);23.2(27);20.9(01);19.5(24);33.5(31/may)
1387E;14.2(01);;21.6(24);22.3(14);33.6(31);26.0(01);28.7(22);32.3(23);28.9(03);23.2(07);21.9(01);19.2(29);
1428;15.5(01);22.2(26);23.0(24);24.1(20);32.6(31);29.9(01);32.1(22);31.9(22);31.1(03);23.6(07);16.9(01);20.1(29);32.6(31/may)
8175;15.9(01);21.5(28);24.7(16);25.8(15);31.0(15);38.2(29);38.7(12);38.2(06);34.3(01);32.9(01);21.7(01);17.8(24);38.7(12/jul)
8178D;16.9(01);22.9(27);26.1(16);26.0(30);31.6(15);38.8(29);38.9(12);38.5(18);34.7(01);31.4(09);22.3(01);19.2(24);38.9(12/jul)
8025;21.9(25);23.0(28);29.2(17);29.9(14);31.3(10);34.9(29);36.6(27);36.5(09);32.8(25);31.5(01);28.7(01);25.0(24);36.6(27/jul)
8019;22.4(31);24.0(28);;;30.5(10);;36.5(27);;32.1(01);29.8(01);27.5(01);22.4(22);
6325O;23.9(24);20.9(24);24.8(25);26.8(28);29.3(31);38.8(29);41.6(06);34.5(23);34.6(03);31.1(02);26.6(01);24.7(24);41.6(06/jul)
9091O;13.4(26);22.6(27);23.6(16);22.3(15);29.1(31);39.7(29);38.9(25);34.7(24);29.4(29);27.6(13);21.9(01);17.3(21);39.7(29/jun)
1212E;15.2(31);;25.3(03);21.0(14);28.7(31);;;33.0(23);26.8(29);;24.2(01);19.2(24);
1208H;17.2(31);20.8(15);23.8(03);23.5(17);22.4(08);26.2(01);26.1(29);27.1(08);27.5(21);23.8(08);25.2(01);21.1(24);27.5(21/sep)
1249I;16.0(31);22.7(26);23.6(03);23.7(17);30.8(31);29.8(01);29.1(24);33.9(23);27.6(20);24.3(08);22.4(01);17.8(23);33.9(23/ago)
2444;15.4(26);19.2(25);21.3(16);22.6(29);29.6(31);36.9(29);36.2(12);33.2(04);29.5(04);28.5(08);17.9(01);19.4(25);36.9(29/jun)
4452;20.0(24);25.2(26);27.6(26);30.7(30);36.3(31);38.2(29);40.2(11);39.2(15);38.7(04);34.6(08);24.7(01);19.6(28);40.2(11/jul)
B954;18.4(14);20.1(23);21.1(05);21.9(14);28.5(11);33.9(29);34.4(08);32.8(07);29.0(03);27.7(14);24.4(02);20.2(24);34.4(08/jul)
B893;18.9(31);20.2(23);21.1(17);21.2(14);26.1(10);33.5(30);35.3(08);32.4(04);30.5(04);26.8(14);24.0(02);19.6(17);35.3(08/jul)
B228;;21.9(23);22.8(04);23.6(27);26.4(11);36.1(30);37.9(07);33.7(01);33.8(01);29.8(14);25.6(02);;
B278;20.2(06);23.5(23);24.1(15);23.3(17);27.5(11);39.2(26);38.4(08);36.3(01);34.1(01);31.6(14);24.4(02);21.9(26);39.2(26/jun)
0200E;15.5(31);22.2(22);23.6(25);21.5(26);23.8(31);37.7(28);33.7(23);32.7(05);29.6(04);26.7(01);23.0(02);17.8(13);37.7(28/jun)
0076;17.3(01);19.3(10);22.4(04);24.5(26);24.4(26);35.0(29);31.8(26);31.9(05);30.6(01);26.8(01);24.7(04);21.0(13);35.0(29/jun)
1082;18.3(31);26.9(27);26.3(16);26.0(15);30.1(31);40.7(27);38.6(23);35.5(08);31.7(20);30.4(11);24.1(01);22.8(21);40.7(27/jun)
2331;12.8(01);21.2(26);21.3(16);21.8(15);28.8(31);38.8(27);35.6(22);33.9(24);27.2(17);27.7(08);17.2(01);15.5(25);38.8(27/jun)
