Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;29;29
1387;Min;-0.5;0.2;0.6;3.0;5.8;6.6;11.6;11.4;9.4;5.6;2.6;0.6;-0.5
1387;Q1;1.4;2.0;3.4;4.9;7.4;10.4;12.6;13.0;10.5;7.8;4.8;2.9;0.6
1387;Q2;2.9;2.6;4.2;5.8;8.3;10.9;13.2;13.5;11.5;8.5;5.4;3.6;1.6
1387;Q3;3.6;3.3;5.2;6.3;9.0;11.5;13.7;14.0;12.0;9.4;6.2;4.4;2.0
1387;Q4;5.0;5.6;6.4;7.0;9.2;12.2;14.4;14.6;12.6;10.4;7.3;5.4;3.0
1387;Max;6.1;7.8;8.4;7.9;11.4;13.0;15.0;16.0;13.8;11.3;8.0;7.8;4.4
1387;Mn;3.2;3.1;4.7;6.2;8.5;11.2;13.5;13.8;11.7;8.9;5.8;4.2;1.8
1387;Md;3.1;3.6;4.7;5.9;8.5;11.0;13.5;13.8;11.7;8.9;5.8;4.2;1.8
1387;S;1.85;1.89;1.79;1.16;1.31;1.33;0.91;0.99;1.13;1.35;1.44;1.76;1.19
1387;Cv;0.59;0.53;0.38;0.20;0.15;0.12;0.07;0.07;0.10;0.15;0.25;0.42;0.66
1387E;N;29;29;30;30;30;30;29;28;29;29;27;29;25
1387E;Min;-4.8;-4.3;-3.3;0.0;0.6;4.6;6.8;5.2;3.0;0.6;-4.0;-4.7;-4.8
1387E;Q1;-2.7;-2.8;-1.6;1.0;4.1;6.4;8.8;8.1;6.0;2.8;-0.1;-2.0;-3.8
1387E;Q2;-1.4;-1.6;-1.0;1.5;4.8;7.4;9.3;9.5;6.7;3.5;1.0;-0.6;-3.2
1387E;Q3;-0.6;-0.8;0.4;2.1;5.4;8.0;10.0;10.2;8.0;4.2;1.8;0.0;-2.2
1387E;Q4;0.8;0.0;1.7;3.3;6.2;8.9;10.5;11.0;8.8;6.2;2.6;0.8;-1.4
1387E;Max;3.3;5.8;3.7;5.0;8.2;10.5;12.0;12.9;11.0;8.0;5.0;4.5;0.0
1387E;Mn;-1.0;-1.4;-0.2;1.7;5.2;7.6;9.6;9.8;7.6;4.0;1.4;-0.4;-2.7
1387E;Md;-1.0;-1.0;-0.1;2.0;5.0;7.6;9.7;9.6;7.3;4.4;1.2;-0.5;-2.6
1387E;S;1.92;2.12;1.76;1.22;1.62;1.48;1.04;1.86;1.88;1.98;1.88;1.96;1.37
1387E;Cv;-1.96;-2.05;-32.95;0.62;0.33;0.19;0.11;0.19;0.26;0.45;1.52;-3.85;-0.53
1428;N;29;30;28;28;29;28;30;29;28;27;28;27;24
1428;Min;-6.2;-4.6;-4.6;-3.0;0.0;4.6;3.8;6.0;3.0;-1.6;-3.1;-5.8;-6.2
1428;Q1;-4.4;-2.9;-2.0;0.3;2.6;5.8;7.4;7.6;5.0;1.7;-1.6;-2.6;-4.6
