Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;3.3(04);4.2(03);5.8(16);5.8(05);9.0(20);10.3(06);14.0(31);13.8(13);12.9(28);8.3(22);8.0(14);4.5(04);3.3(04/ene)
1387E;-3.3(06);;0.7(16);2.5(12);4.4(04);6.3(14);9.9(31);9.1(13);8.6(28);2.9(22);4.4(18);-0.3(27);
1428;-3.1(05);-2.1(03);0.8(13);0.2(04);3.9(19);4.5(14);9.4(28);8.9(12);7.1(28);3.3(22);1.6(16);0.0(04);-3.1(05/ene)
8175;-8.6(11);-3.2(05);-3.0(22);-0.2(11);3.6(04);6.6(12);14.6(04);12.8(27);10.0(23);2.6(21);-1.9(19);-2.5(31);-8.6(11/ene)
8178D;-5.6(11);-1.5(17);-0.6(28);2.5(04);4.3(04);8.1(12);16.5(28);13.6(27);11.9(23);5.3(21);0.6(20);-1.0(31);-5.6(11/ene)
8025;0.0(12);3.2(04);5.4(28);8.1(13);10.4(04);12.9(01);19.2(03);18.2(28);15.9(11);10.6(24);6.1(20);5.2(11);0.0(12/ene)
8019;0.8(11);3.5(05);;;10.3(04);;19.4(03);;15.1(11);9.3(24);3.4(17);6.0(19);
6325O;4.8(06);6.1(10);8.1(22);7.7(06);13.6(05);15.7(15);18.1(09);20.8(12);16.2(13);11.0(23);7.2(17);7.0(26);4.8(06/ene)
9091O;-7.7(06);-3.0(23);-2.9(22);-3.5(13);-1.6(06);1.6(12);7.1(31);7.3(23);3.6(09);2.2(21);-0.4(16);-2.6(28);-7.7(06/ene)
1212E;-1.4(04);;2.4(28);3.8(04);4.1(06);;;12.2(13);9.6(07);;3.9(19);1.6(04);
1208H;3.2(05);4.1(03);6.0(18);4.9(04);7.1(06);10.2(06);14.5(31);13.5(12);13.5(10);8.5(22);5.6(19);2.6(30);2.6(30/dic)
1249I;-1.5(07);1.0(03);2.4(27);2.0(04);5.3(06);6.6(06);11.8(31);11.0(13);9.4(07);5.7(22);3.0(19);0.3(04);-1.5(07/ene)
