Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;29;29
1387;Min;4.6;4.6;6.6;9.4;12.0;13.8;16.0;16.2;15.4;11.8;9.0;7.1;4.6
1387;Q1;8.0;8.4;10.4;10.4;12.6;14.7;17.2;18.8;16.4;13.7;10.6;9.0;6.6
1387;Q2;9.0;9.4;11.0;11.4;13.6;16.0;18.1;19.4;17.4;15.0;11.6;9.8;8.4
1387;Q3;9.8;10.0;11.4;12.4;14.1;17.0;19.0;19.8;18.1;15.7;12.8;10.2;8.8
1387;Q4;11.0;12.1;11.8;13.4;15.2;17.4;19.7;20.2;19.2;16.6;13.4;11.4;9.4
1387;Max;12.2;12.8;14.6;14.4;17.0;18.2;21.2;21.5;19.7;17.6;14.0;12.6;10.2
1387;Mn;9.8;9.6;11.4;12.0;13.8;16.5;18.6;19.7;17.6;15.5;11.8;9.9;8.6
1387;Md;9.3;9.8;11.2;11.9;14.0;16.2;18.5;19.5;17.7;15.2;11.9;10.1;8.2
1387;S;1.92;1.89;1.46;1.37;1.31;1.32;1.33;1.12;1.26;1.56;1.47;1.35;1.54
1387;Cv;0.21;0.19;0.13;0.12;0.09;0.08;0.07;0.06;0.07;0.10;0.12;0.13;0.19
1387E;N;29;29;30;30;30;30;29;28;29;29;27;29;25
1387E;Min;2.9;4.6;6.4;7.8;11.4;13.4;15.2;16.6;14.5;10.9;8.4;6.9;4.6
1387E;Q1;7.1;8.0;9.9;10.0;12.2;15.1;17.7;18.6;16.4;13.2;9.4;8.4;5.6
1387E;Q2;8.2;8.6;10.6;10.8;13.0;16.0;18.2;19.2;16.9;14.5;11.3;9.0;7.4
1387E;Q3;9.0;9.4;11.0;11.8;13.7;16.4;18.8;19.9;18.0;15.2;11.8;9.4;8.2
1387E;Q4;10.6;11.1;11.7;12.8;14.9;17.2;19.4;20.8;18.6;16.0;12.8;10.6;9.0
1387E;Max;11.8;12.6;14.2;14.6;17.0;18.7;20.5;21.4;19.6;17.6;14.2;11.6;9.2
1387E;Mn;8.4;9.0;10.8;11.1;13.3;16.2;18.6;19.6;17.2;14.9;11.4;9.2;7.8
1387E;Md;8.5;9.1;10.7;11.3;13.5;16.1;18.4;19.5;17.4;14.7;11.3;9.3;7.5
1387E;S;2.09;1.95;1.40;1.58;1.46;1.29;1.12;1.24;1.34;1.69;1.53;1.29;1.42
1387E;Cv;0.25;0.21;0.13;0.14;0.11;0.08;0.06;0.06;0.08;0.12;0.13;0.14;0.19
1428;N;29;30;28;28;29;28;30;29;28;27;28;27;24
1428;Min;1.6;2.6;4.2;5.0;10.0;11.0;15.2;15.2;12.4;9.8;4.4;2.7;1.8
1428;Q1;3.0;5.3;8.4;8.4;10.6;13.4;16.0;17.2;14.5;11.8;7.7;6.0;4.2
1428;Q2;5.6;6.6;8.8;9.3;11.2;14.4;16.8;18.2;15.4;12.8;9.0;7.1;5.0
1428;Q3;6.6;8.0;9.5;10.0;12.4;15.5;17.2;19.0;17.0;13.5;9.6;7.8;5.4
1428;Q4;8.5;9.4;10.0;11.4;13.4;16.8;18.0;19.6;18.0;14.7;10.8;8.5;7.1
1428;Max;10.4;10.0;14.4;14.0;15.4;19.0;20.6;21.1;20.8;16.0;13.6;10.6;7.8
1428;Mn;6.4;7.6;9.4;9.8;11.6;15.4;17.2;18.4;16.3;13.2;9.3;7.6;5.0
1428;Md;6.1;7.2;9.2;9.7;12.1;15.1;17.1;18.4;16.2;13.1;9.3;7.4;5.2
1428;S;2.48;1.92;1.71;1.94;1.53;1.87;1.19;1.44;2.04;1.50;2.10;1.75;1.64
1428;Cv;0.41;0.27;0.19;0.20;0.13;0.12;0.07;0.08;0.13;0.11;0.23;0.24;0.32
8175;N;30;30;30;30;30;30;30;30;30;30;30;29;29
8175;Min;-4.4;-4.2;3.4;4.6;8.4;12.4;22.4;20.4;14.4;8.6;3.6;-0.6;-4.2
8175;Q1;1.2;4.0;6.4;8.8;10.6;18.3;23.8;22.4;16.4;10.6;5.4;3.0;1.0
8175;Q2;3.3;5.0;7.4;10.0;12.4;20.0;25.2;23.6;18.0;13.6;7.7;4.6;3.0
8175;Q3;6.1;6.1;8.4;10.9;14.7;21.6;27.6;25.8;18.6;14.6;9.4;5.8;3.4
8175;Q4;7.4;9.0;11.3;12.0;16.0;23.9;29.2;28.0;21.2;15.6;10.4;6.4;4.6
8175;Max;9.2;14.6;12.6;14.6;19.2;26.5;32.0;30.0;25.2;18.2;12.2;9.0;7.4
8175;Mn;4.8;5.4;7.7;10.2;13.2;20.6;25.7;24.5;18.2;14.2;9.0;5.0;3.0
8175;Md;4.3;6.0;8.2;10.3;13.5;20.8;26.4;25.0;18.8;13.7;8.2;4.9;2.7
8175;S;3.40;3.50;2.55;2.18;2.83;3.26;2.51;2.78;2.95;2.62;2.49;2.15;2.33
8175;Cv;0.79;0.59;0.31;0.21;0.21;0.16;0.10;0.11;0.16;0.19;0.30;0.44;0.85
8178D;N;28;28;28;28;28;26;28;28;28;28;28;26;24
8178D;Min;-3.6;-4.0;3.6;4.3;8.4;12.8;23.6;21.0;14.5;9.0;3.6;1.4;-3.6
8178D;Q1;1.3;4.2;6.9;9.0;11.2;18.7;24.4;22.8;17.3;11.2;5.8;3.6;1.4
8178D;Q2;4.2;5.4;7.8;9.8;13.0;20.4;25.6;23.6;18.4;13.6;7.9;4.6;3.3
8178D;Q3;6.2;6.6;8.5;11.3;15.5;22.0;27.6;27.6;19.3;15.3;9.7;5.7;4.1
8178D;Q4;7.8;9.6;11.2;12.8;16.3;24.9;29.6;29.0;22.3;16.1;10.8;7.6;5.0
8178D;Max;9.8;14.0;12.2;15.2;21.4;27.0;33.2;30.2;26.6;18.6;12.8;9.2;7.4
8178D;Mn;5.4;5.9;8.0;10.5;14.1;21.5;26.1;25.0;19.0;14.5;9.3;5.1;3.6
8178D;Md;4.7;6.4;8.3;10.7;14.3;21.2;27.0;25.6;19.4;14.0;8.6;5.3;3.2
8178D;S;3.40;3.49;2.43;2.44;3.18;3.56;2.71;3.02;3.18;2.69;2.46;2.07;2.40
8178D;Cv;0.72;0.55;0.29;0.23;0.22;0.17;0.10;0.12;0.16;0.19;0.29;0.39;0.75
8025;N;30;29;30;30;30;30;30;30;30;30;30;30;29
8025;Min;6.5;6.4;9.4;11.2;14.3;20.2;25.2;25.3;19.6;16.4;9.8;9.0;6.4
8025;Q1;9.1;10.0;12.2;15.1;17.0;21.7;26.0;26.4;22.8;18.0;12.5;10.6;8.5
8025;Q2;10.5;11.8;13.4;16.0;18.2;23.3;26.6;27.3;23.8;18.8;14.0;12.2;9.8
8025;Q3;12.6;13.4;14.1;16.6;19.0;24.6;27.5;28.5;24.3;21.0;15.4;13.5;10.4
8025;Q4;14.0;14.2;15.6;17.8;21.0;25.0;28.4;29.4;25.8;21.8;17.0;14.4;11.6
8025;Max;14.6;16.4;16.8;19.4;22.2;25.8;29.8;30.0;28.4;24.4;19.4;15.4;13.8
8025;Mn;11.8;12.0;13.6;16.5;18.5;24.1;27.1;28.0;24.0;20.0;14.9;13.1;10.0
8025;Md;11.4;12.2;13.6;16.3;18.7;23.5;27.2;27.9;24.1;20.0;14.7;12.7;10.1
8025;S;2.47;2.32;1.85;1.74;2.06;1.71;1.32;1.39;2.08;2.23;2.31;1.83;1.77
8025;Cv;0.22;0.19;0.14;0.11;0.11;0.07;0.05;0.05;0.09;0.11;0.16;0.14;0.18
8019;N;30;29;30;29;29;28;29;30;29;29;30;29;24
8019;Min;5.6;8.0;9.3;9.8;14.2;19.9;24.4;25.0;19.1;17.0;10.3;8.7;5.6
8019;Q1;8.9;9.8;12.2;15.2;17.2;22.1;25.4;26.6;22.2;17.6;13.0;10.7;8.4
8019;Q2;10.6;12.0;13.1;16.0;18.2;23.3;26.2;27.4;23.6;19.3;14.2;11.7;9.5
8019;Q3;12.3;12.4;14.2;16.6;18.4;24.2;27.3;28.2;25.0;20.6;15.6;13.6;10.4
8019;Q4;13.8;14.2;15.6;18.0;20.5;24.6;28.6;29.0;26.0;22.0;17.0;14.6;11.3
8019;Max;15.2;16.4;17.2;19.0;21.3;25.8;30.5;29.8;28.2;23.8;19.0;16.0;14.2
8019;Mn;11.8;12.1;13.3;16.2;18.4;23.7;27.0;27.8;24.5;20.2;15.3;12.4;9.8
8019;Md;11.3;12.1;13.6;16.2;18.4;23.4;27.0;27.7;24.2;20.0;14.8;12.6;9.8
8019;S;2.43;2.21;2.01;1.93;1.78;1.56;1.64;1.30;2.24;2.11;2.21;1.89;1.89
8019;Cv;0.22;0.18;0.15;0.12;0.10;0.07;0.06;0.05;0.09;0.11;0.15;0.15;0.19
6325O;N;30;30;29;30;29;29;30;29;29;30;29;29;27
6325O;Min;8.2;8.3;11.0;13.0;15.2;18.4;22.6;22.1;20.6;16.0;11.9;11.4;8.2
6325O;Q1;10.0;11.1;13.6;15.6;17.6;21.8;25.1;25.4;22.4;19.3;15.1;12.5;9.8
6325O;Q2;11.7;12.8;14.4;16.6;19.0;23.0;25.4;26.5;23.7;20.2;16.0;14.0;11.3
6325O;Q3;13.5;14.0;15.6;17.6;19.8;23.8;25.8;27.2;24.6;21.0;16.5;15.2;12.0
6325O;Q4;15.0;15.2;16.6;18.6;20.4;24.5;27.0;28.0;25.6;21.8;17.8;15.6;12.9
6325O;Max;16.0;17.0;18.0;19.2;21.5;25.2;28.0;29.8;26.6;23.4;20.0;16.6;14.0
6325O;Mn;12.5;13.6;14.8;17.2;19.5;23.4;25.6;27.0;24.0;20.6;16.4;14.4;11.6
6325O;Md;12.6;13.2;14.9;17.0;19.2;23.1;25.7;26.7;24.0;20.3;16.2;14.2;11.4
6325O;S;2.26;2.27;1.84;1.56;1.51;1.57;1.27;1.56;1.60;1.70;1.73;1.57;1.54
6325O;Cv;0.18;0.17;0.12;0.09;0.08;0.07;0.05;0.06;0.07;0.08;0.11;0.11;0.14
9091O;N;30;30;30;30;30;30;30;30;30;30;30;30;30
9091O;Min;-4.6;-2.6;0.8;2.4;6.5;12.2;14.2;15.4;11.8;7.0;0.4;-0.5;-4.6
9091O;Q1;-0.2;0.4;3.1;6.0;8.7;13.2;16.0;16.8;13.2;9.2;4.0;0.5;-0.5
9091O;Q2;1.2;1.8;5.1;7.1;9.9;13.8;17.3;17.7;14.8;11.3;5.4;2.0;0.1
9091O;Q3;3.2;4.6;6.2;7.8;11.4;15.1;17.9;18.4;15.8;11.9;7.3;2.7;0.8
9091O;Q4;4.7;7.5;7.7;8.9;13.2;16.5;18.8;19.3;17.0;13.2;8.9;4.4;1.8
9091O;Max;7.2;10.0;11.0;11.0;15.6;18.8;21.8;20.8;19.2;16.3;11.5;8.4;4.5
9091O;Mn;2.1;3.2;5.6;7.8;10.6;14.1;17.6;18.1;15.0;11.6;6.5;2.3;0.6
9091O;Md;2.1;3.5;5.6;7.5;10.8;14.8;17.5;18.0;15.0;11.4;6.3;2.7;0.5
9091O;S;2.77;3.30;2.44;1.85;2.35;1.80;1.72;1.41;2.01;2.33;2.66;2.20;1.83
9091O;Cv;1.34;0.95;0.44;0.25;0.22;0.12;0.10;0.08;0.13;0.20;0.42;0.82;3.89
1212E;N;30;30;30;30;30;30;30;29;29;29;29;29;29
1212E;Min;2.8;2.0;6.0;7.6;9.8;13.4;15.6;16.0;14.4;9.9;6.5;5.2;2.0
1212E;Q1;5.2;5.1;8.0;9.2;11.3;14.3;17.0;18.0;15.8;13.0;7.6;6.2;4.4
1212E;Q2;6.7;6.7;9.0;10.0;12.3;15.5;17.8;18.6;16.9;14.0;9.8;7.9;5.3
1212E;Q3;8.4;8.0;9.9;10.5;13.0;16.0;18.0;19.4;17.2;14.4;11.4;8.8;6.2
1212E;Q4;9.6;10.2;10.9;11.9;13.7;16.5;19.0;20.0;18.0;16.0;12.4;9.7;7.2
1212E;Max;12.4;13.2;14.0;13.0;15.2;18.0;19.8;20.6;19.2;16.8;14.0;12.6;9.0
1212E;Mn;7.7;7.1;9.5;10.4;12.8;15.8;18.0;19.2;17.0;14.3;10.4;8.2;5.5
1212E;Md;7.4;7.5;9.6;10.4;12.6;15.6;17.9;18.9;16.9;14.1;10.3;8.2;5.8
1212E;S;2.43;2.62;1.78;1.31;1.27;1.18;0.97;1.13;1.14;1.81;2.16;1.78;1.75
