Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;11.2;10.7;12.5;11.0;14.3;15.8;18.4;20.3;18.6;14.0;11.5;10.5;10.5
1387E;10.5;;11.8;10.4;14.1;16.4;20.4;20.6;19.0;13.8;10.8;9.1;
1428;7.1;8.0;10.1;7.3;13.2;13.0;20.3;18.6;16.7;11.9;8.1;6.9;6.9
8175;6.7;8.1;9.2;9.6;18.2;23.4;29.1;23.3;18.2;9.2;8.1;7.6;6.7
8178D;8.6;8.5;9.0;9.9;18.6;23.3;28.9;22.5;18.0;9.6;9.0;6.7;6.7
8025;13.0;14.6;14.1;14.7;19.6;23.7;28.4;28.0;21.4;15.3;14.1;13.7;13.0
8019;13.1;14.8;;;20.2;;28.8;;22.2;15.1;13.7;13.8;
6325O;15.1;16.3;15.2;17.2;20.7;23.5;24.7;27.4;24.0;15.6;16.7;16.1;15.1
9091O;4.5;5.2;8.1;9.0;11.5;14.9;17.0;19.2;14.8;11.4;4.8;1.4;1.4
1212E;8.9;;12.1;10.8;13.2;;;20.1;18.4;;9.7;9.6;
1208H;9.8;11.2;13.0;11.6;14.4;15.6;20.8;21.0;18.8;15.3;11.9;11.3;9.8
1249I;7.4;6.1;9.8;8.5;11.7;14.0;17.8;19.1;15.0;11.0;5.6;8.4;5.6
2444;2.0;3.3;9.4;5.5;13.2;16.8;22.7;21.6;16.7;6.5;4.5;5.9;2.0
4452;11.9;12.6;15.5;14.4;19.7;23.5;28.2;28.1;25.0;16.7;12.2;12.0;11.9
B954;11.5;12.1;12.9;15.4;19.6;23.1;28.6;25.8;24.1;18.2;13.9;14.5;11.5
B893;8.3;11.8;12.7;15.6;17.3;21.3;26.6;26.9;25.0;19.9;13.2;13.1;8.3
B228;;12.5;13.0;16.4;18.5;22.6;28.8;26.6;26.2;19.7;14.7;;
B278;10.6;13.0;13.8;16.4;20.1;24.8;30.3;26.6;22.9;20.0;14.0;15.9;10.6
0200E;7.1;11.0;11.8;12.4;12.9;16.1;24.4;24.5;20.6;15.8;11.4;10.4;7.1
0076;10.3;13.5;14.1;16.0;16.0;20.1;27.3;27.5;23.8;18.8;14.1;14.5;10.3
1082;7.2;10.1;12.5;9.8;12.5;16.6;20.3;19.9;19.4;13.6;10.1;10.1;7.2
