Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;29;29
1387;Min;11.3;11.8;12.8;12.9;14.4;18.6;20.7;21.3;19.7;16.0;14.7;12.2;16.6
1387;Q1;12.7;12.6;14.6;14.9;17.1;19.1;21.3;21.9;21.2;17.9;15.0;13.5;17.3
1387;Q2;13.0;13.5;15.2;15.6;17.8;20.2;21.5;22.8;21.8;18.8;15.4;13.9;17.6
1387;Q3;13.7;14.6;15.6;16.6;18.6;21.0;22.1;23.1;22.3;19.4;16.2;14.3;18.0
1387;Q4;14.5;14.9;16.2;17.3;19.6;21.7;23.1;23.5;23.0;20.5;17.3;14.9;18.3
1387;Max;15.0;17.9;19.4;19.1;20.2;22.8;24.5;25.0;23.6;21.9;18.4;16.1;18.9
1387;Mn;13.4;14.3;15.6;15.8;18.1;20.6;21.9;22.9;22.1;19.0;15.7;14.1;17.9
1387;Md;13.5;14.1;15.5;16.2;18.1;20.6;22.1;22.8;22.0;19.1;16.0;14.2;17.8
1387;S;0.89;1.43;1.33;1.38;1.32;1.21;1.01;0.82;1.04;1.49;1.13;0.82;0.60
1387;Cv;0.07;0.10;0.09;0.09;0.07;0.06;0.05;0.04;0.05;0.08;0.07;0.06;0.03
1387E;N;29;29;30;30;30;30;29;28;29;29;27;29;25
1387E;Min;11.1;11.0;13.6;12.5;15.0;19.1;21.3;22.4;19.9;16.2;14.2;12.2;17.1
1387E;Q1;12.3;12.4;14.6;15.2;17.3;20.2;22.1;22.9;21.8;17.3;14.7;13.1;17.7
1387E;Q2;12.8;12.9;15.3;15.7;18.2;21.0;22.5;23.3;22.3;18.9;15.1;13.6;17.8
1387E;Q3;13.3;14.3;15.7;16.9;19.0;21.7;23.2;23.8;22.8;19.5;15.8;13.9;18.1
1387E;Q4;14.1;14.9;16.6;18.3;20.1;22.8;23.9;24.7;23.5;21.1;17.3;14.6;18.3
1387E;Max;14.8;16.7;20.5;20.4;21.7;23.6;25.6;25.6;25.5;21.8;19.1;15.4;19.2
1387E;Mn;12.9;13.9;15.6;16.1;18.6;21.4;23.0;23.5;22.4;19.2;15.2;13.7;17.9
1387E;Md;13.1;13.7;15.7;16.5;18.6;21.4;23.1;23.7;22.5;19.2;15.8;13.8;18.0
1387E;S;0.97;1.37;1.44;1.77;1.52;1.27;1.12;0.95;1.25;1.62;1.35;0.76;0.50
1387E;Cv;0.07;0.10;0.09;0.11;0.08;0.06;0.05;0.04;0.06;0.08;0.09;0.05;0.03
1428;N;29;30;28;28;29;28;30;29;28;27;28;27;24
1428;Min;9.1;9.3;11.7;11.1;14.0;19.0;21.8;21.3;19.0;15.0;12.6;10.4;16.2
1428;Q1;10.5;10.9;13.7;14.1;16.9;20.6;22.6;23.3;21.3;16.4;13.1;11.5;16.9
1428;Q2;11.0;12.0;14.3;15.5;17.7;21.4;23.6;24.1;22.3;17.4;13.4;11.6;17.4
1428;Q3;11.4;13.1;15.2;16.4;19.6;22.6;24.7;25.4;23.2;18.7;14.4;11.9;17.7
1428;Q4;12.3;13.9;16.9;18.5;20.5;23.9;25.4;26.1;24.2;20.0;15.7;12.9;18.1
1428;Max;13.4;16.3;22.2;21.6;22.7;25.8;27.6;28.4;27.6;21.2;18.8;13.7;18.9
1428;Mn;11.1;12.5;14.7;16.0;19.0;22.2;24.4;24.3;22.8;18.1;13.7;11.6;17.6
1428;Md;11.2;12.5;15.1;16.1;18.6;22.2;24.3;24.8;22.7;18.0;14.3;12.0;17.6
1428;S;1.11;1.75;2.14;2.52;2.08;1.85;1.56;1.70;1.88;1.84;1.48;0.91;0.64
1428;Cv;0.10;0.14;0.14;0.16;0.11;0.08;0.06;0.07;0.08;0.10;0.10;0.08;0.04
8175;N;30;30;30;30;30;30;30;30;30;30;30;29;29
8175;Min;8.1;9.2;11.8;14.0;15.8;22.1;30.0;29.3;22.5;16.0;12.1;9.2;19.0
8175;Q1;9.0;10.2;14.5;16.8;21.2;27.4;31.9;31.0;25.9;18.9;12.9;10.3;19.9
8175;Q2;10.0;11.5;15.7;17.7;22.2;28.9;33.0;32.1;26.7;19.9;13.9;10.5;20.6
8175;Q3;11.0;12.7;17.0;19.2;23.3;29.9;33.8;32.8;27.5;21.0;14.7;11.0;21.0
8175;Q4;11.8;14.4;17.9;20.2;25.2;30.7;34.3;33.6;28.3;22.6;15.8;11.6;21.2
8175;Max;13.3;18.0;20.3;21.2;26.2;32.9;35.6;34.5;30.1;24.1;17.9;12.7;21.7
8175;Mn;10.7;12.5;16.4;18.4;22.9;29.4;33.2;32.6;27.1;20.6;14.4;10.7;20.8
8175;Md;10.5;12.5;16.3;18.4;22.8;29.1;33.2;32.3;27.0;20.6;14.5;10.9;20.7
8175;S;1.36;2.32;1.88;1.76;2.27;2.28;1.36;1.32;1.77;1.96;1.47;0.90;0.74
8175;Cv;0.13;0.19;0.12;0.10;0.10;0.08;0.04;0.04;0.07;0.10;0.10;0.08;0.04
8178D;N;28;28;28;28;28;26;28;28;28;28;28;26;24
8178D;Min;8.9;10.3;12.9;14.4;16.2;22.0;30.0;29.4;23.6;17.1;12.9;9.7;19.8
8178D;Q1;9.7;10.9;14.8;17.1;21.5;27.7;32.5;31.8;26.8;20.0;13.7;10.9;20.7
8178D;Q2;10.7;12.4;16.3;18.3;22.6;29.7;33.5;33.1;27.5;21.0;14.9;11.3;21.4
8178D;Q3;11.5;14.0;17.7;20.3;24.4;30.3;34.1;33.5;28.4;21.9;15.4;11.6;21.7
8178D;Q4;12.2;15.2;18.1;20.7;25.9;31.5;35.3;34.2;29.2;23.1;16.6;12.2;22.1
8178D;Max;14.2;18.3;20.4;22.3;27.3;33.8;36.3;35.3;31.4;25.4;18.7;13.0;22.8
8178D;Mn;11.3;13.4;17.2;19.5;23.1;30.1;33.8;33.4;27.9;21.3;15.1;11.5;21.5
8178D;Md;11.2;13.4;16.9;19.0;23.4;29.6;33.8;33.1;27.9;21.5;15.2;11.5;21.4
8178D;S;1.41;2.29;1.86;1.96;2.52;2.56;1.49;1.43;1.80;2.02;1.43;0.85;0.77
8178D;Cv;0.13;0.17;0.11;0.10;0.11;0.09;0.04;0.04;0.06;0.09;0.09;0.07;0.04
8025;N;30;29;30;30;30;30;30;30;30;30;30;30;29
8025;Min;14.8;15.4;17.7;19.4;21.4;25.6;28.3;28.9;27.1;22.6;18.2;15.9;22.5
8025;Q1;16.0;16.4;18.6;20.3;23.2;27.1;29.6;29.8;27.7;23.9;19.5;17.0;22.9
8025;Q2;16.6;17.3;19.1;21.1;23.8;27.5;30.1;30.8;28.3;24.4;20.2;17.4;23.3
8025;Q3;17.4;17.6;19.8;21.6;24.5;28.1;30.7;31.3;28.6;25.2;20.7;17.8;23.6
8025;Q4;17.9;18.9;20.4;22.2;25.0;28.5;31.2;31.5;29.2;26.0;21.8;18.4;23.7
8025;Max;19.8;20.7;23.2;23.0;27.0;30.3;32.0;33.0;30.5;27.1;22.6;19.7;24.0
8025;Mn;16.9;17.4;19.4;21.4;24.1;28.0;30.3;31.0;28.4;24.9;20.3;17.7;23.4
8025;Md;17.0;17.7;19.6;21.3;24.1;27.8;30.3;30.8;28.5;24.9;20.5;17.7;23.3
