Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;12.8;16.5;16.2;16.2;18.8;19.4;22.1;23.3;22.2;19.5;15.0;14.8;18.1
1387E;12.5;;16.5;16.5;19.7;19.7;23.5;24.2;23.6;19.3;14.5;14.2;
1428;11.7;14.5;15.9;15.7;20.7;19.3;24.9;24.5;22.9;17.2;12.2;12.6;17.7
8175;11.7;15.8;18.5;17.0;24.7;30.6;34.2;33.5;27.3;23.0;13.4;12.6;21.9
8178D;12.8;16.9;19.3;17.1;25.1;31.2;34.6;33.9;27.6;23.6;13.9;13.2;22.4
8025;17.3;18.2;19.9;20.5;23.8;27.9;31.7;30.9;28.0;25.3;20.6;18.9;23.6
8019;17.3;18.4;;;24.1;;32.0;;27.6;24.9;19.8;18.1;
6325O;17.8;18.4;20.0;20.7;24.5;27.4;31.2;30.8;28.9;24.6;19.8;18.9;23.6
9091O;8.7;14.2;15.6;15.9;18.8;26.6;28.0;27.9;23.9;20.6;12.2;11.2;18.6
1212E;11.4;;15.5;15.9;17.5;;;23.2;21.6;;14.8;14.5;
1208H;12.4;15.4;16.3;16.3;17.6;19.7;23.5;23.8;22.5;20.4;16.2;15.6;18.3
1249I;9.9;15.9;16.3;17.1;18.8;20.0;23.7;24.2;22.3;19.3;13.4;13.3;17.9
2444;8.4;12.8;15.0;14.1;21.8;25.9;30.2;29.0;23.8;19.0;10.3;11.7;18.5
4452;14.9;18.4;21.9;21.7;29.6;30.6;34.4;34.9;31.7;25.8;17.8;16.5;24.9
B954;15.4;16.4;17.9;18.7;22.8;26.9;30.5;30.0;26.9;24.2;18.3;17.2;22.1
B893;13.8;15.8;17.3;18.2;21.6;26.8;30.9;29.9;27.0;23.6;17.8;17.1;21.7
B228;;17.4;18.4;19.0;22.3;27.5;31.8;30.7;28.5;25.1;19.1;;
B278;15.3;17.4;18.9;19.7;23.7;29.3;33.7;32.2;28.3;25.2;18.3;17.8;23.3
0200E;11.7;16.3;18.3;17.6;19.8;26.6;30.2;29.6;26.0;22.1;15.4;13.9;20.6
0076;14.1;16.0;18.0;18.5;20.4;26.0;29.8;29.8;27.0;23.6;18.0;16.6;21.5
1082;11.1;18.1;17.7;18.3;19.4;24.3;26.9;26.8;24.9;22.2;15.5;16.4;20.1
2331;7.1;12.9;14.5;14.3;18.5;26.3;28.3;28.5;22.6;19.0;9.9;10.6;17.7
3469A;13.1;16.3;19.7;19.1;27.3;29.2;33.7;34.0;29.9;23.9;15.2;14.3;23.0
5973;16.3;17.6;19.8;20.0;24.0;24.1;;27.9;26.6;;18.4;17.8;
5960;17.2;20.3;22.9;;29.4;;32.1;35.4;31.9;;19.3;18.5;
5910;16.4;18.9;21.3;21.6;26.4;26.3;28.4;31.1;28.8;24.8;18.8;18.4;23.4
6001;14.8;;;18.3;;;;25.2;24.9;21.2;17.0;;
1111;11.3;15.6;15.2;16.0;16.4;19.6;23.0;23.7;22.4;20.5;15.7;15.3;17.9
1109;11.7;16.8;16.5;17.9;18.7;22.0;24.7;25.0;23.6;21.0;15.9;15.9;19.1
8500A;16.0;17.5;20.0;20.4;23.7;28.2;32.1;31.2;28.2;24.7;19.9;17.3;23.3
5000C;16.9;16.8;18.7;19.7;23.6;25.1;28.6;29.5;25.9;24.1;19.3;17.9;22.2
4121;12.5;16.8;19.7;18.7;27.5;32.0;35.8;34.9;28.5;23.7;13.8;12.3;23.0
5402;16.1;20.1;;22.4;31.5;32.9;36.4;;32.5;27.7;17.7;17.5;
8096;12.2;16.2;18.1;15.5;23.6;29.5;33.6;32.5;26.8;21.9;11.3;13.1;21.2
1014;10.6;17.3;17.8;17.9;18.6;23.6;25.4;25.8;24.2;21.9;15.3;15.7;19.5
1024E;8.7;15.5;15.0;15.5;15.9;21.6;22.8;23.1;21.5;20.0;13.3;14.2;17.3
0367;13.5;;;18.8;22.2;;32.5;;28.2;;16.7;15.7;
5530E;14.3;18.3;20.7;19.7;28.9;33.0;36.3;36.1;30.3;26.1;15.0;16.1;24.6
5514;13.5;17.5;19.8;18.8;27.4;31.1;35.1;34.8;28.8;25.1;14.5;15.9;23.5
3013;9.9;15.5;16.4;14.7;20.9;27.5;31.3;29.7;24.9;20.5;10.1;10.7;19.3
