Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10.2;12.8;12.8;13.0;15.5;16.6;19.3;20.3;19.0;16.8;12.9;12.1;15.1
1387E;8.0;;11.1;11.9;14.7;15.6;19.3;19.5;18.7;15.5;11.7;10.4;
1428;7.3;9.7;10.4;10.8;14.7;14.7;19.2;19.0;17.8;13.6;9.5;9.1;13.0
8175;4.9;7.8;10.2;11.2;17.0;21.9;26.1;25.2;21.0;16.1;9.2;8.0;14.9
8178D;6.4;9.3;11.8;11.8;17.9;23.0;26.9;26.1;21.7;17.3;10.0;8.8;15.9
8025;11.6;11.9;14.0;16.0;19.2;22.8;27.0;26.3;23.8;20.0;16.0;13.9;18.5
8019;12.0;12.5;;;19.1;;27.1;;23.5;19.9;15.0;13.7;
6325O;13.1;13.3;15.4;16.5;20.4;23.0;26.8;26.9;25.1;20.3;15.8;14.6;19.3
9091O;4.8;7.2;8.7;10.1;12.1;18.2;20.6;20.7;17.2;14.6;8.7;6.8;12.5
1212E;8.0;;10.9;11.7;13.3;;;19.6;17.7;;11.9;10.9;
1208H;9.8;11.5;12.6;12.9;14.6;17.1;20.7;21.0;19.5;17.3;13.2;12.0;15.2
1249I;6.6;10.6;11.0;12.1;13.8;16.0;19.6;19.9;17.9;15.5;10.5;9.6;13.6
2444;3.2;6.6;8.5;8.9;14.3;18.8;23.0;21.9;17.3;13.3;6.9;6.8;12.5
4452;8.4;11.1;13.9;15.3;21.4;22.5;25.9;26.3;24.0;18.9;13.7;11.8;17.8
B954;10.5;11.4;12.9;14.7;17.9;22.4;26.4;26.0;23.4;19.9;14.9;13.1;17.8
B893;10.2;11.1;12.6;13.9;16.7;21.8;26.0;25.5;23.0;19.7;13.9;13.1;17.3
B228;;12.7;13.9;15.6;18.3;23.5;27.9;27.1;24.9;21.3;15.4;;
B278;9.0;10.2;12.2;14.6;17.3;22.8;27.2;26.3;23.0;19.7;13.5;13.1;17.4
0200E;8.1;11.9;13.5;13.4;15.7;22.0;25.4;25.2;21.8;18.5;11.9;11.3;16.6
0076;9.4;11.2;13.5;14.9;16.8;22.1;26.2;26.3;23.2;19.8;13.5;12.8;17.5
1082;7.7;11.9;11.9;13.1;14.3;18.8;21.9;21.7;19.6;17.5;11.9;11.5;15.2
2331;3.0;5.7;7.4;8.7;11.4;17.7;20.6;20.2;16.1;13.1;6.7;6.1;11.4
3469A;7.7;10.2;12.9;13.6;20.1;22.0;26.3;26.5;23.1;18.2;12.1;10.6;16.9
5973;12.8;14.4;16.5;16.9;20.8;21.4;;24.8;23.6;;16.2;15.3;
5960;10.1;12.1;15.0;;21.1;;24.8;26.3;23.9;;14.2;12.7;
5910;11.0;13.0;15.5;16.3;21.0;21.5;24.0;25.4;23.4;19.4;15.3;13.9;18.3
6001;11.8;;;15.0;;;;22.4;21.7;18.5;14.6;;
1111;9.3;12.0;12.1;12.8;13.8;17.0;20.5;20.8;19.3;17.4;12.8;12.4;15.0
1109;8.8;11.2;12.0;13.2;14.8;17.9;21.2;21.2;19.7;17.1;12.6;11.6;15.1
8500A;10.9;12.2;14.6;15.9;18.8;23.0;27.2;26.7;24.1;20.3;15.6;13.5;18.6
5000C;14.3;14.4;16.1;16.5;20.1;21.5;24.6;25.6;22.9;20.8;16.7;15.8;19.1
4121;6.2;9.2;12.4;13.0;20.0;24.2;28.4;27.2;22.0;17.5;10.5;8.6;16.6
5402;8.9;11.7;;15.5;22.6;24.4;28.1;;25.2;20.1;13.1;12.6;
8096;5.4;8.1;10.3;10.2;16.0;21.7;26.1;24.6;20.2;15.5;7.9;8.0;14.5
1014;7.7;11.5;12.6;13.5;14.6;19.2;21.9;21.8;20.0;17.7;11.9;11.6;15.3
1024E;6.5;11.9;11.3;11.9;12.9;17.5;20.0;20.0;18.4;16.9;10.8;11.2;14.1
0367;6.1;;;12.8;15.3;;25.6;;21.4;;10.4;9.8;
5530E;6.0;8.9;11.4;12.7;19.5;22.8;27.0;26.4;22.2;17.1;9.9;9.2;16.1
5514;6.3;8.9;11.4;12.4;18.9;22.2;26.5;26.2;21.6;17.2;9.8;9.7;15.9
3013;2.1;5.4;6.9;8.5;12.4;18.0;22.0;20.5;16.6;12.8;6.5;5.4;11.4
4642E;11.1;13.1;15.7;16.2;21.5;21.7;24.6;26.7;23.9;19.9;15.4;14.0;18.7
9898;3.9;8.7;10.9;11.7;15.4;22.4;25.6;24.6;20.3;15.8;8.2;7.1;14.6
5270B;8.8;11.8;14.4;13.9;21.3;23.8;27.4;28.0;23.2;19.1;11.5;11.5;17.9
9170;7.0;8.2;10.9;12.6;15.4;21.7;24.6;23.8;19.9;16.2;9.6;8.4;14.9
C249I;17.8;18.2;18.5;19.8;;22.5;;24.5;;23.2;21.3;18.8;
C649I;17.6;18.8;18.5;;21.1;22.4;;24.8;;23.4;;;
C029O;17.0;17.7;18.7;19.6;;22.9;24.2;25.7;24.8;23.4;21.2;18.9;
2661;4.0;6.2;8.1;8.9;13.1;16.3;20.9;19.9;16.7;12.7;6.4;5.7;11.6
1549;4.8;8.3;11.3;11.8;16.5;17.9;23.2;22.0;19.5;15.0;9.1;6.6;13.8
9771C;4.7;8.9;12.0;13.8;17.3;23.8;27.4;26.5;22.1;17.0;9.9;8.7;16.0
1505;5.4;8.4;9.3;10.5;13.4;15.5;19.1;19.4;17.2;13.8;9.3;7.4;12.4
3191E;6.4;8.4;10.4;9.9;15.9;20.7;25.3;23.9;19.6;14.8;7.3;7.9;14.2
3129;5.7;7.8;11.2;12.5;18.3;23.1;27.5;25.8;21.1;16.1;10.2;8.5;15.7
3196;6.8;9.2;12.2;12.6;18.7;23.4;27.6;26.1;21.5;16.4;9.8;9.0;16.1
3200;6.5;9.2;12.4;12.7;19.2;23.8;28.1;26.4;21.9;16.7;10.3;9.0;16.4
3195;6.5;9.4;12.4;12.6;18.9;23.7;28.0;26.1;21.2;16.2;9.6;8.8;16.1
3175;5.4;7.8;10.9;11.9;17.6;22.5;27.2;25.5;21.2;15.8;9.8;8.1;15.3
2462;1.2;3.4;4.7;3.3;9.8;14.0;18.7;17.8;13.8;9.7;0.9;3.7;8.4
6155A;12.9;;15.9;16.7;21.1;23.8;27.1;27.1;24.6;21.0;16.6;15.1;
6000A;13.7;13.9;15.6;16.9;20.8;22.3;25.6;27.0;24.3;21.1;17.3;15.7;19.5
7178I;11.4;13.2;15.1;16.5;21.1;25.1;29.0;28.8;25.1;21.1;15.1;13.6;19.6
7228;10.2;12.1;14.1;16.2;20.8;24.4;28.7;28.4;24.7;20.4;14.4;12.8;18.9
7031;11.0;12.0;13.5;15.5;18.9;22.0;26.4;26.2;23.9;20.0;15.4;13.6;18.2
9262;5.8;8.8;10.2;12.0;13.9;20.7;23.3;23.1;19.7;16.0;8.8;;
9263D;4.7;7.5;9.0;11.1;13.2;19.9;;22.9;19.4;15.4;8.3;7.3;
1690A;6.8;10.3;12.3;13.1;17.3;18.3;23.8;22.9;20.6;16.0;11.5;9.1;15.2
1484C;9.1;11.6;12.8;12.8;16.8;16.2;20.5;20.1;19.6;15.4;11.3;10.6;14.7
1495;8.0;10.9;12.2;;16.3;16.0;20.5;19.8;19.7;15.1;11.0;9.9;
2867;2.6;6.6;8.6;9.9;15.2;18.5;22.4;21.3;17.5;13.6;8.0;6.2;12.5
2870;4.6;8.5;10.4;11.4;16.6;;;23.3;19.2;15.2;9.1;7.7;
C929I;18.7;19.3;18.9;19.4;20.9;22.4;23.3;24.2;24.0;23.6;21.8;;
C430E;5.2;6.2;6.4;6.8;13.4;13.7;16.5;18.4;16.2;12.9;7.8;6.8;10.9
C139E;18.1;18.8;18.5;;;21.7;23.1;24.4;23.7;23.0;;19.8;
C449C;18.2;19.1;19.2;20.1;21.8;23.3;24.9;26.0;24.8;23.7;21.8;19.9;21.9
C447A;;14.7;;14.5;;18.4;19.2;22.1;20.5;20.1;16.8;15.0;
C429I;18.3;19.7;19.1;19.4;21.1;22.5;24.0;25.6;24.4;23.6;22.1;;
2465;3.8;8.0;9.6;9.5;14.4;19.6;23.9;22.7;18.1;14.4;7.1;7.5;13.2
5796;9.9;12.0;14.7;14.9;21.2;22.5;25.9;27.6;24.6;20.0;13.9;12.7;18.3
5783;10.6;13.3;15.9;16.2;22.9;24.0;;;25.6;20.8;14.8;14.0;
2030;4.6;6.8;8.7;8.8;12.9;18.7;22.0;21.5;16.9;13.5;6.4;6.8;12.3
0016A;8.1;10.4;12.9;14.7;17.2;21.6;26.5;25.9;22.7;19.0;12.5;11.6;16.9
9981A;10.8;12.1;15.3;16.2;19.6;24.0;28.3;27.5;24.4;20.5;14.4;12.8;18.8
9381I;3.1;6.8;8.2;9.8;13.0;20.4;23.6;22.9;18.0;14.6;7.9;6.7;12.9
8368U;3.6;7.0;8.7;10.1;14.1;19.9;24.2;23.6;19.3;14.8;7.7;6.8;13.3
3260B;6.6;10.1;13.0;;20.0;24.3;28.6;27.4;;;11.1;9.4;
8416;12.0;13.0;15.0;16.1;18.9;22.8;26.9;26.9;24.3;21.1;16.7;14.7;19.0
8414A;10.3;11.4;13.9;15.2;18.6;22.6;27.0;26.8;23.7;20.1;15.2;13.1;18.2
