Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;29;29
1387;Min;5.6;5.9;6.6;7.0;9.9;12.8;14.7;14.9;14.0;11.0;9.0;6.6;10.9
1387;Q1;7.1;6.9;8.4;9.2;11.3;13.6;15.3;15.9;14.4;12.2;9.5;8.2;11.4
1387;Q2;7.8;7.5;9.1;9.6;11.6;14.1;15.9;16.3;14.8;12.7;10.1;8.6;11.7
1387;Q3;8.6;8.1;9.3;10.2;12.3;14.5;16.0;16.5;15.5;13.0;10.7;9.0;11.9
1387;Q4;9.3;9.6;10.1;10.8;12.9;15.1;16.3;16.9;16.1;14.0;11.8;10.2;12.1
1387;Max;9.7;11.0;10.8;11.3;13.8;15.7;17.6;18.1;16.7;15.3;12.5;11.3;12.6
1387;Mn;8.1;7.8;9.2;9.9;12.0;14.4;15.9;16.4;15.0;12.8;10.3;8.7;11.9
1387;Md;8.1;8.0;9.2;9.9;12.0;14.3;15.9;16.4;15.2;13.0;10.5;9.0;11.8
1387;S;1.12;1.33;0.88;0.95;0.95;0.74;0.63;0.66;0.79;1.05;1.07;1.14;0.40
1387;Cv;0.14;0.17;0.10;0.10;0.08;0.05;0.04;0.04;0.05;0.08;0.10;0.13;0.03
1387E;N;29;29;30;30;30;30;29;28;29;29;27;29;25
1387E;Min;1.5;2.1;3.8;5.0;8.0;11.2;12.6;12.1;11.0;8.7;4.1;3.1;8.6
1387E;Q1;3.7;3.7;5.5;6.9;9.3;12.0;13.8;13.9;11.8;9.4;6.2;4.7;9.0
1387E;Q2;5.1;4.4;6.5;7.5;9.8;12.4;14.2;14.2;12.3;10.0;7.5;5.6;9.2
1387E;Q3;6.2;5.6;6.8;8.0;10.2;12.7;14.5;14.8;13.1;10.6;8.0;6.4;9.8
1387E;Q4;7.1;6.9;7.3;8.6;11.1;13.4;14.8;15.5;13.9;12.2;9.5;8.0;10.0
1387E;Max;7.4;9.6;9.7;9.4;11.5;14.8;16.0;17.2;14.7;13.4;10.8;9.5;10.5
1387E;Mn;6.1;5.2;6.7;7.7;10.0;12.5;14.4;14.5;12.6;10.4;7.7;5.8;9.4
1387E;Md;5.4;5.2;6.6;7.7;10.1;12.7;14.4;14.5;12.9;10.6;7.9;6.1;9.5
1387E;S;1.65;1.71;1.24;1.03;0.91;0.84;0.80;1.04;1.13;1.34;1.63;1.69;0.55
1387E;Cv;0.31;0.33;0.19;0.13;0.09;0.07;0.06;0.07;0.09;0.13;0.21;0.28;0.06
1428;N;29;30;28;28;29;28;30;29;28;27;28;27;24
1428;Min;1.2;1.4;2.9;2.9;6.0;9.9;11.6;11.4;10.2;7.1;4.7;2.8;7.6
1428;Q1;3.1;2.6;4.5;5.5;7.9;10.7;12.1;12.6;10.7;8.3;5.4;4.0;7.8
1428;Q2;3.6;3.4;5.2;5.8;8.2;10.9;12.7;13.0;11.5;9.0;6.2;4.5;8.2
1428;Q3;4.6;4.3;5.7;6.7;8.7;11.3;13.1;13.7;12.5;9.6;7.3;5.2;8.3
1428;Q4;5.2;5.7;6.4;7.0;9.5;12.1;13.8;14.0;13.0;10.6;8.2;6.5;8.6
1428;Max;6.0;7.6;8.0;8.7;11.1;13.3;14.6;15.7;13.8;12.4;9.9;8.2;9.0
1428;Mn;4.0;3.8;5.4;6.3;8.5;11.2;12.9;13.4;11.9;9.2;6.6;4.7;8.3
1428;Md;4.0;4.1;5.4;6.3;8.5;11.3;13.0;13.3;11.9;9.4;6.7;5.1;8.2
1428;S;1.27;1.55;1.10;1.18;1.04;0.91;0.82;0.91;1.11;1.25;1.42;1.37;0.41
1428;Cv;0.32;0.38;0.20;0.19;0.12;0.08;0.06;0.07;0.09;0.13;0.21;0.27;0.05
8175;N;30;30;30;30;30;30;30;30;30;30;30;29;29
8175;Min;-4.2;-2.6;0.6;3.3;5.5;10.4;14.3;14.6;11.4;6.1;0.3;-2.3;6.7
8175;Q1;-2.2;-0.5;2.5;4.2;8.2;13.1;16.3;15.9;12.3;7.4;2.1;-0.3;7.2
8175;Q2;-0.8;0.6;3.0;5.1;8.8;13.6;16.7;16.7;13.6;8.8;3.4;0.9;7.6
8175;Q3;0.4;1.4;3.7;5.7;9.8;14.2;16.9;17.2;13.9;9.5;4.3;1.6;8.1
8175;Q4;1.6;2.9;4.2;6.4;10.5;14.6;17.9;17.8;14.4;10.2;5.8;2.4;8.4
8175;Max;3.8;4.5;6.9;7.4;11.8;16.1;18.6;18.5;16.0;11.4;7.1;5.1;8.7
8175;Mn;-0.3;1.1;3.4;5.6;9.5;13.8;16.8;17.1;13.8;9.4;3.7;1.0;7.8
8175;Md;-0.2;1.0;3.3;5.4;9.2;13.8;16.9;16.8;13.5;8.9;4.0;1.2;7.8
8175;S;2.08;1.74;1.15;1.09;1.41;1.14;0.99;1.03;1.19;1.43;1.84;1.79;0.54
8175;Cv;-9.73;1.74;0.34;0.20;0.15;0.08;0.06;0.06;0.09;0.16;0.46;1.48;0.07
8178D;N;28;28;28;28;28;26;28;28;28;28;28;26;24
8178D;Min;-2.9;-1.7;0.9;3.8;5.9;11.0;15.3;14.7;11.8;6.9;1.3;-1.4;7.1
8178D;Q1;-1.1;0.5;3.3;4.7;8.9;13.6;16.8;16.8;12.7;7.7;2.8;0.2;7.9
8178D;Q2;0.1;1.4;3.9;5.9;9.7;14.2;17.2;17.4;14.1;9.4;3.9;1.4;8.3
8178D;Q3;0.8;2.1;4.1;6.4;10.6;14.5;17.7;17.8;14.6;10.1;5.0;2.2;8.7
8178D;Q4;2.2;3.4;4.6;6.9;11.1;15.4;18.6;18.3;15.0;10.7;6.6;3.7;9.1
8178D;Max;4.2;5.1;7.4;8.4;12.7;17.4;19.6;19.1;16.3;12.1;7.7;5.6;9.6
8178D;Mn;0.4;1.9;4.1;6.1;10.0;14.4;17.4;17.7;14.4;9.8;4.3;1.7;8.5
8178D;Md;0.6;1.8;3.9;6.0;9.9;14.4;17.6;17.5;14.0;9.5;4.6;1.8;8.5
8178D;S;1.94;1.62;1.18;1.18;1.47;1.39;1.05;0.98;1.16;1.46;1.86;1.88;0.68
