Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;7.6;9.1;9.4;9.9;12.2;13.7;16.4;17.3;15.8;14.1;10.8;9.5;12.2
1387E;3.4;;5.7;7.2;9.6;11.5;15.0;14.8;13.7;11.6;8.9;6.5;
1428;2.9;4.8;4.9;5.9;8.6;9.9;13.5;13.5;12.6;10.0;6.8;5.5;8.2
8175;-1.9;-0.2;1.8;5.4;9.3;13.1;18.0;16.9;14.6;9.2;5.1;3.3;7.9
8178D;-0.1;1.6;4.1;6.5;10.6;14.7;19.2;18.3;15.7;11.0;6.1;4.3;9.3
8025;5.9;5.6;8.1;11.4;14.5;17.6;22.2;21.6;19.4;14.7;11.3;8.8;13.4
8019;6.7;6.6;;;14.0;;22.2;;19.3;14.9;10.2;9.2;
6325O;8.2;8.2;10.8;12.2;16.1;18.6;22.3;23.0;21.3;16.0;11.7;10.2;14.9
9091O;0.9;0.2;1.6;4.1;5.3;9.7;13.2;13.3;10.6;8.6;5.1;2.4;6.3
1212E;4.7;;6.3;7.4;9.0;;;16.0;13.7;;8.9;7.2;
1208H;7.2;7.5;8.9;9.5;11.6;14.4;17.9;18.2;16.4;14.1;10.2;8.4;12.0
1249I;3.3;5.3;5.7;7.0;8.9;12.0;15.5;15.5;13.5;11.6;7.6;5.9;9.3
2444;-2.0;0.4;1.8;3.7;6.8;11.7;15.8;14.7;10.8;7.5;3.4;1.9;6.4
4452;1.8;3.7;5.9;8.8;13.1;14.4;17.3;17.6;16.2;12.0;9.6;7.1;10.6
B954;5.6;6.3;7.8;10.6;13.0;17.8;22.4;22.0;19.8;15.6;11.4;9.1;13.5
B893;6.5;6.3;7.9;9.6;11.7;16.8;21.1;21.1;18.9;15.8;10.0;9.1;12.9
B228;;8.0;9.4;12.2;14.4;19.3;24.1;23.5;21.2;17.4;11.8;;
