Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;N;30;30;30;30;30;30;30;30;30;30;30;29;29
1387;Min;10.2;9.2;10.8;10.6;12.0;15.0;16.6;17.4;16.4;14.4;12.2;11.6;18.2
1387;Q1;11.6;10.8;11.8;12.2;14.6;16.4;17.4;18.2;17.4;15.8;13.6;12.4;19.0
1387;Q2;12.5;12.4;13.0;13.2;15.4;17.0;18.0;18.8;18.0;16.6;14.7;14.0;19.4
1387;Q3;13.3;12.8;13.5;13.9;15.6;17.6;18.4;19.1;18.6;17.1;15.9;14.6;20.0
1387;Q4;14.0;13.9;14.9;14.4;17.0;19.0;19.0;19.4;19.5;18.2;16.4;15.2;20.4
1387;Max;15.6;15.4;17.0;16.2;20.2;20.2;20.5;22.8;22.5;19.6;18.4;17.6;22.8
1387;Mn;13.0;12.6;13.1;13.6;15.6;17.1;18.1;19.0;18.3;16.8;15.2;14.2;19.5
1387;Md;12.8;12.4;13.4;13.4;15.7;17.6;18.3;18.9;18.5;16.9;15.1;14.1;19.7
1387;S;1.42;1.59;1.46;1.23;1.56;1.45;0.99;1.02;1.38;1.26;1.50;1.50;1.10
1387;Cv;0.11;0.13;0.11;0.09;0.10;0.08;0.05;0.05;0.07;0.07;0.10;0.11;0.06
1387E;N;29;29;30;30;30;30;29;28;29;29;27;29;25
1387E;Min;9.4;8.6;9.4;9.8;10.6;13.4;16.2;16.6;15.2;13.6;10.8;10.4;17.2
1387E;Q1;10.6;9.7;10.8;10.9;13.3;15.6;16.9;17.4;16.0;14.5;12.0;11.8;17.8
1387E;Q2;11.6;11.0;11.5;12.4;14.0;16.2;17.4;17.7;16.7;15.2;13.4;12.8;18.3
1387E;Q3;12.4;12.0;12.6;12.9;14.7;16.7;18.0;18.3;17.4;16.2;14.4;14.0;18.9
1387E;Q4;13.2;13.0;13.8;13.6;15.7;17.2;18.4;19.0;18.0;17.4;15.9;14.8;19.4
1387E;Max;15.0;15.0;16.0;15.2;18.8;18.8;19.4;21.6;19.4;20.2;18.2;16.4;21.6
1387E;Mn;11.8;11.8;12.5;12.7;14.2;16.4;17.6;18.2;17.2;15.9;13.8;13.2;18.8
1387E;Md;12.0;11.5;12.2;12.5;14.5;16.4;17.7;18.3;17.1;16.0;14.1;13.3;18.7
1387E;S;1.57;1.59;1.60;1.36;1.56;1.11;0.89;1.12;1.07;1.61;1.88;1.45;1.00
1387E;Cv;0.13;0.14;0.13;0.11;0.11;0.07;0.05;0.06;0.06;0.10;0.13;0.11;0.05
1428;N;29;30;28;28;29;28;30;29;28;27;28;27;24
1428;Min;6.4;6.4;8.4;7.4;9.0;13.3;15.0;15.0;13.4;11.4;8.5;9.2;16.2
1428;Q1;9.0;7.6;9.4;10.0;11.6;14.2;16.0;16.0;14.8;12.9;11.2;10.0;17.0
1428;Q2;9.6;9.2;10.0;10.4;12.2;15.1;16.4;16.6;15.4;14.0;12.4;10.7;17.6
1428;Q3;10.2;10.0;10.8;11.4;13.6;16.3;17.0;17.2;16.3;14.5;13.2;11.8;18.4
1428;Q4;11.0;10.6;12.1;12.4;15.0;17.7;17.4;17.6;17.8;15.2;13.8;12.4;19.2
1428;Max;13.4;12.4;13.4;14.4;19.0;20.6;23.0;19.2;19.2;18.0;15.6;13.4;23.0
1428;Mn;10.0;9.7;10.4;10.9;13.0;15.4;16.8;16.8;16.0;14.4;12.9;11.4;17.7
1428;Md;9.8;9.4;10.7;11.0;13.2;16.0;17.0;16.9;16.1;14.1;12.6;11.2;18.2
1428;S;1.60;1.51;1.40;1.45;2.07;1.99;1.59;0.97;1.57;1.44;1.69;1.26;1.48
1428;Cv;0.16;0.16;0.13;0.13;0.16;0.12;0.09;0.06;0.10;0.10;0.13;0.11;0.08
8175;N;30;30;30;30;30;30;30;30;30;30;30;29;29
8175;Min;0.8;2.6;5.6;8.0;10.6;15.8;18.6;18.4;15.0;10.8;8.1;3.6;19.4
8175;Q1;4.0;6.0;8.0;9.2;12.7;16.8;19.6;19.4;16.8;13.0;8.6;5.8;20.6
8175;Q2;6.1;6.7;8.5;10.0;13.9;18.2;20.5;20.5;18.0;14.0;10.6;6.8;21.2
8175;Q3;7.0;7.4;9.0;11.0;14.5;18.7;21.1;21.0;18.5;14.6;11.4;9.4;21.6
8175;Q4;8.6;8.2;9.8;11.6;16.6;19.6;22.0;21.6;19.4;16.3;12.0;11.0;22.0
8175;Max;10.6;9.9;14.3;12.6;18.6;22.4;23.4;22.6;20.4;17.4;16.6;12.6;23.4
8175;Mn;6.4;7.1;8.8;10.5;14.2;18.4;20.9;20.7;18.4;14.1;10.9;8.4;21.4
8175;Md;6.3;7.0;9.0;10.4;14.4;18.3;20.8;20.7;18.2;14.4;10.8;8.2;21.3
8175;S;2.53;1.57;1.55;1.28;2.07;1.50;1.19;1.08;1.37;1.66;1.92;2.50;0.91
8175;Cv;0.40;0.22;0.17;0.12;0.14;0.08;0.06;0.05;0.08;0.11;0.18;0.30;0.04
8178D;N;28;28;28;28;28;26;28;28;28;28;28;26;24
8178D;Min;2.4;4.4;7.3;9.0;10.6;16.6;19.6;19.4;16.8;11.8;7.8;3.2;20.4
8178D;Q1;5.2;5.8;8.4;9.6;13.1;17.8;20.2;20.7;18.2;12.8;10.0;6.9;21.6
8178D;Q2;6.6;7.2;9.1;10.2;14.2;18.7;21.2;21.3;18.6;14.3;10.4;8.0;22.6
8178D;Q3;8.0;8.2;9.6;11.4;15.0;20.0;21.9;22.2;19.4;15.3;11.8;9.6;22.8
8178D;Q4;9.7;9.6;10.7;12.6;17.3;21.2;22.8;22.8;20.0;16.7;12.2;11.0;23.4
8178D;Max;11.0;10.6;15.6;15.0;20.6;23.4;25.0;24.2;21.8;17.9;16.8;13.3;25.0
8178D;Mn;7.5;7.7;9.6;10.9;14.6;19.2;21.4;21.8;18.9;14.9;11.0;9.1;22.8
8178D;Md;7.3;7.7;9.7;11.2;15.1;19.4;21.7;21.8;19.0;14.8;11.2;8.8;22.6
8178D;S;2.34;1.71;1.61;1.63;2.35;1.75;1.40;1.17;1.25;1.74;1.81;2.40;1.10
8178D;Cv;0.32;0.22;0.17;0.15;0.16;0.09;0.06;0.05;0.07;0.12;0.16;0.27;0.05
8025;N;30;29;30;30;30;30;30;30;30;30;30;30;29
8025;Min;8.0;10.2;11.2;12.2;15.4;19.0;21.8;21.8;19.4;16.4;12.5;10.4;22.0
8025;Q1;10.1;11.5;12.4;14.0;17.0;21.0;23.0;23.4;21.2;18.2;14.2;11.3;23.8
8025;Q2;11.0;12.2;13.6;15.0;17.7;21.6;23.6;24.0;22.2;18.7;15.8;12.4;24.4
8025;Q3;12.3;13.4;14.7;15.6;18.6;22.0;24.1;24.6;22.9;19.6;16.6;13.1;24.6
8025;Q4;14.2;15.0;16.0;17.4;19.5;22.5;24.6;25.0;23.6;20.4;17.4;14.5;25.2
8025;Max;15.8;18.0;18.2;18.4;22.0;24.8;25.8;26.0;26.6;21.6;23.8;17.8;26.6
8025;Mn;12.0;12.8;14.0;15.0;18.5;21.8;24.0;24.4;22.5;19.1;16.0;12.8;24.6
8025;Md;11.9;13.2;14.2;15.5;18.3;21.8;23.9;24.2;22.5;19.2;16.1;13.0;24.6
8025;S;2.08;2.00;1.90;1.73;1.50;1.21;0.92;1.01;1.46;1.31;2.13;1.93;0.92
8025;Cv;0.17;0.15;0.13;0.11;0.08;0.06;0.04;0.04;0.06;0.07;0.13;0.15;0.04
8019;N;30;29;30;29;29;28;29;30;29;29;30;29;24
8019;Min;8.6;9.8;10.6;12.2;15.4;19.4;21.6;22.8;20.2;17.6;11.7;9.4;23.0
8019;Q1;10.6;11.2;12.1;13.6;16.6;20.8;23.2;23.4;22.0;18.4;14.4;11.6;23.4
8019;Q2;11.5;12.4;13.3;14.4;17.8;21.3;23.6;23.9;22.6;18.8;15.6;11.8;24.0
8019;Q3;13.3;13.3;14.4;15.4;18.5;21.8;24.1;24.6;23.5;19.7;16.4;13.0;24.6
8019;Q4;14.2;15.8;15.7;17.2;19.4;22.6;24.6;25.0;23.8;20.4;18.0;14.0;25.3
8019;Max;15.8;18.0;18.4;17.8;21.4;23.4;25.4;25.6;26.0;23.2;22.8;16.4;25.6
8019;Mn;12.7;12.8;13.6;14.8;18.2;21.4;23.9;24.5;22.8;19.1;16.3;12.0;24.5
8019;Md;12.3;13.2;14.0;15.1;18.1;21.5;23.8;24.3;22.9;19.4;16.1;12.7;24.4
8019;S;2.02;2.29;1.88;1.78;1.50;0.96;0.88;0.81;1.18;1.23;2.24;1.61;0.86
8019;Cv;0.16;0.17;0.13;0.12;0.08;0.04;0.04;0.03;0.05;0.06;0.14;0.13;0.04
6325O;N;30;30;29;30;29;29;30;29;29;30;29;29;27
