Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;11.4;12.8;12.7;14.7;16.4;16.8;19.0;20.5;18.4;17.2;16.3;13.1;20.5
1387E;10.6;;11.6;14.4;13.0;16.1;17.2;19.4;18.0;16.7;15.6;12.0;
1428;8.8;9.6;9.2;12.4;17.1;14.2;16.3;17.3;16.1;15.1;14.3;11.4;17.3
8175;7.9;5.1;7.6;9.9;14.1;17.1;23.6;20.3;19.1;16.7;14.4;11.3;23.6
8178D;8.1;5.5;9.3;11.4;14.9;19.0;25.6;22.6;20.0;17.3;14.4;12.3;25.6
8025;13.2;10.6;12.6;15.2;19.5;21.8;26.0;24.8;22.8;18.7;19.3;15.8;26.0
8019;12.6;10.8;;;18.9;;25.4;;23.6;19.6;17.6;13.0;
6325O;13.7;12.4;13.9;14.5;18.9;25.2;26.3;25.9;24.4;20.7;18.0;16.7;26.3
9091O;6.9;5.0;6.3;10.5;11.0;19.0;18.6;18.3;15.6;14.5;14.2;10.2;19.0
1212E;10.2;;10.4;13.1;12.6;;;19.7;17.4;;16.0;13.7;
1208H;11.4;11.5;13.4;13.4;14.1;18.6;21.1;21.0;19.2;18.2;17.2;14.6;21.1
1249I;8.8;10.7;11.2;13.2;14.0;16.6;18.6;19.0;17.0;14.6;15.2;11.3;19.0
2444;6.4;6.3;5.2;9.0;13.5;23.1;22.4;18.1;15.2;15.0;12.9;8.1;23.1
4452;11.9;8.4;10.1;13.2;16.5;19.4;21.7;21.5;20.2;17.8;18.2;14.7;21.7
B954;13.5;12.2;13.4;15.3;17.7;22.9;26.8;24.5;23.2;22.2;20.9;16.1;26.8
B893;10.8;11.1;11.1;14.8;15.6;21.9;24.8;24.2;22.2;20.2;19.7;15.4;24.8
B228;;13.1;12.7;15.5;17.0;24.9;27.5;26.5;24.3;21.4;18.5;;
B278;9.0;13.0;9.9;14.6;15.1;21.5;25.6;24.2;23.0;18.1;15.9;16.2;25.6
0200E;8.0;12.2;14.5;12.2;15.7;27.5;23.4;23.6;21.4;17.9;14.9;11.7;27.5
0076;7.8;9.0;11.6;15.9;15.8;24.2;24.8;26.0;21.7;21.0;16.1;13.4;26.0
1082;8.9;11.2;10.5;16.1;13.1;17.9;21.3;21.1;19.6;17.4;15.1;14.5;21.3
2331;5.7;3.8;5.8;7.7;8.6;17.2;18.4;15.6;14.2;14.5;13.0;7.5;18.4
3469A;10.7;8.1;11.0;13.7;16.9;21.4;25.0;22.4;21.0;17.5;16.6;13.0;25.0
5973;13.9;13.7;15.7;16.8;20.7;21.2;;24.6;24.4;;19.7;17.0;
5960;13.1;12.2;15.4;;19.0;;21.9;21.8;21.2;;18.5;16.9;
5910;13.0;12.9;14.4;15.3;19.7;20.9;23.4;22.2;24.3;19.7;19.2;16.6;24.3
6001;12.8;;;15.6;;;;22.7;22.9;20.3;18.0;;
1111;10.0;12.8;12.0;13.6;13.8;18.0;20.2;20.9;18.5;17.6;16.3;13.3;20.9
1109;10.6;10.2;10.6;12.5;14.5;18.0;21.5;21.6;18.9;17.5;16.1;13.5;21.6
8500A;9.3;10.5;13.4;14.1;17.0;22.1;24.2;25.1;22.8;20.3;19.4;16.9;25.1
5000C;13.4;13.8;15.8;15.9;19.3;21.1;23.0;24.5;22.9;20.1;19.9;17.8;24.5
4121;8.9;5.5;9.4;11.4;15.3;24.1;24.1;23.0;20.9;16.2;15.8;13.6;24.1
5402;11.9;6.8;;13.5;18.6;21.0;23.9;;22.6;19.7;18.2;16.5;
8096;6.6;2.8;7.2;9.9;14.1;24.0;23.8;19.7;18.2;15.1;12.9;10.5;24.0
1014;9.3;10.2;11.3;14.3;14.8;19.1;22.4;21.4;23.4;19.0;14.3;15.3;23.4
1024E;8.1;14.0;12.2;14.2;13.8;18.1;20.5;20.4;20.6;19.0;14.8;13.4;20.6
0367;3.5;;;12.3;13.7;;21.5;;18.7;;11.2;11.9;
5530E;7.6;4.8;9.4;9.0;13.8;18.7;20.9;21.5;17.8;13.4;14.7;13.4;21.5
