Título,EVOLUCIÓN DE LA GENERACIÓN RENOVABLE Y NO RENOVABLE_01-01-2019_31-12-2019,,,,,,,,,,,
Comunidades autónomas,Comunidad de Madrid,,,,,,,,,,,
Magnitudes,%,,,,,,,,,,,
 ,,,,,,,,,,,,
 ,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
Renovable,"28,2","33,7","34,6","30,6","31,9","35,1","34,9","32,1","31,6","27,9","27,6","35,2"
No renovable,"71,8","66,3","65,4","69,4","68,1","64,9","65,1","67,9","68,4","72,1","72,4","64,8"
 ,,,,,,,,,,,,
Notas,,,,,,,,,,,,
 ,"Energía renovable: incluye hidráulica, hidroeólica, eólica, solar fotovoltaica, solar térmica, otras renovables y residuos renovables.",,,,,,,,,,,
 ,,,,,,,,,,,,
Estados,,,,,,,,,,,,
 ,Definitivo: 01/01/2019 - 31/12/2019,,,,,,,,,,,
 ,,,,,,,,,,,,
Fecha exportación,20/10/2021 - 00:51:14,,,,,,,,,,,
 ,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,
