Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,4.0,0.0,3.0,13.0,3.0,1.0,4.0,7.0,7.0,10.0,21.0,13.0,7.17,N_LLU
3129,MADRID/BARAJAS,4.0,1.0,2.0,12.0,3.0,1.0,5.0,4.0,4.0,9.0,16.0,12.0,6.08,N_LLU
3196,MADRID/CUATRO VIENTOS,5.0,1.0,2.0,12.0,1.0,1.0,6.0,3.0,6.0,12.0,19.0,13.0,6.75,N_LLU
3200,MADRID/GETAFE,4.0,1.0,3.0,15.0,3.0,1.0,6.0,4.0,5.0,10.0,18.0,12.0,6.83,N_LLU
3195,"MADRID,RETIRO",5.0,1.0,2.0,13.0,1.0,1.0,3.0,4.0,5.0,10.0,17.0,12.0,6.17,N_LLU
3175,MADRID/TORREJÓN,4.0,1.0,3.0,11.0,2.0,1.0,4.0,2.0,7.0,10.0,16.0,13.0,6.17,N_LLU
2462,"NAVACERRADA,PUERTO",2.0,1.0,3.0,7.0,5.0,4.0,9.0,7.0,11.0,8.0,11.0,9.0,6.42,N_LLU
3191E,COLMENAR VIEJO/FAMET,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,N_NIE
3129,MADRID/BARAJAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N_NIE
3196,MADRID/CUATRO VIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N_NIE
3200,MADRID/GETAFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N_NIE
3195,"MADRID,RETIRO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N_NIE
3175,MADRID/TORREJÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N_NIE
2462,"NAVACERRADA,PUERTO",9.0,2.0,5.0,13.0,3.0,1.0,0.0,0.0,0.0,5.0,17.0,9.0,5.33,N_NIE
