Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,34.7,2.2,16.3,97.0,0.8,2.1,2.0,13.2,42.5,30.0,60.1,112.4,34.44,P_MES
3129,MADRID/BARAJAS,18.2,0.5,12.7,81.5,0.0,2.4,17.1,44.4,37.9,33.1,30.7,57.7,28.02,P_MES
3196,MADRID/CUATRO VIENTOS,19.3,0.7,7.5,71.7,0.5,0.7,9.6,52.3,47.9,39.1,38.2,81.6,30.76,P_MES
3200,MADRID/GETAFE,14.0,1.8,9.1,70.4,1.1,1.0,2.5,33.2,31.3,40.3,39.9,101.6,28.85,P_MES
3195,"MADRID,RETIRO",18.6,1.0,9.8,83.2,0.1,2.0,8.6,58.4,33.1,42.6,44.0,90.1,32.62,P_MES
3175,MADRID/TORREJÓN,14.6,0.5,10.2,75.2,0.0,2.1,9.6,15.7,45.9,26.8,29.4,52.9,23.58,P_MES
2462,"NAVACERRADA,PUERTO",153.3,14.2,44.0,153.4,5.6,8.3,11.2,45.6,71.6,103.6,313.5,229.1,96.12,P_MES
3191E,COLMENAR VIEJO/FAMET,10.8,2.0,13.2,27.5,0.3,2.1,1.4,9.5,20.0,9.4,21.7,70.7,15.72,P_MAX
3129,MADRID/BARAJAS,7.4,0.5,12.1,27.9,0.0,2.4,10.4,33.3,14.1,12.1,7.3,26.0,12.79,P_MAX
3196,MADRID/CUATRO VIENTOS,7.2,0.7,6.9,27.9,0.5,0.7,5.0,45.9,26.2,19.0,6.0,34.5,15.04,P_MAX
3200,MADRID/GETAFE,5.3,1.8,8.7,25.0,1.1,1.0,2.0,29.7,18.4,11.5,6.8,35.2,12.21,P_MAX
3195,"MADRID,RETIRO",8.2,1.0,8.2,28.5,0.1,2.0,6.2,26.9,13.7,18.4,8.8,38.4,13.37,P_MAX
3175,MADRID/TORREJÓN,5.6,0.5,8.2,27.8,0.0,2.1,7.5,12.2,27.6,9.0,9.3,25.3,11.26,P_MAX
2462,"NAVACERRADA,PUERTO",41.4,8.2,27.3,25.1,2.0,6.1,3.4,25.4,20.0,18.5,66.0,76.0,26.62,P_MAX
3191E,COLMENAR VIEJO/FAMET,5.0,2.0,3.0,15.0,3.0,1.0,4.0,4.0,7.0,9.0,20.0,13.0,7.17,NP_001
3129,MADRID/BARAJAS,4.0,1.0,2.0,12.0,0.0,1.0,5.0,4.0,5.0,9.0,14.0,12.0,5.75,NP_001
3196,MADRID/CUATRO VIENTOS,4.0,1.0,2.0,15.0,1.0,1.0,6.0,3.0,6.0,9.0,17.0,10.0,6.25,NP_001
3200,MADRID/GETAFE,3.0,1.0,2.0,15.0,1.0,1.0,4.0,3.0,5.0,9.0,16.0,11.0,5.92,NP_001
3195,"MADRID,RETIRO",4.0,1.0,2.0,14.0,1.0,1.0,3.0,6.0,5.0,10.0,17.0,12.0,6.33,NP_001
3175,MADRID/TORREJÓN,4.0,1.0,2.0,11.0,0.0,1.0,4.0,2.0,6.0,9.0,14.0,12.0,5.5,NP_001
2462,"NAVACERRADA,PUERTO",9.0,2.0,6.0,17.0,6.0,4.0,7.0,6.0,9.0,11.0,27.0,15.0,9.92,NP_001
3191E,COLMENAR VIEJO/FAMET,5.0,1.0,2.0,14.0,0.0,1.0,1.0,3.0,6.0,6.0,14.0,7.0,5.0,NP_010
3129,MADRID/BARAJAS,3.0,0.0,1.0,9.0,0.0,1.0,3.0,2.0,5.0,7.0,10.0,5.0,3.83,NP_010
3196,MADRID/CUATRO VIENTOS,3.0,0.0,1.0,10.0,0.0,0.0,3.0,3.0,4.0,6.0,9.0,8.0,3.92,NP_010
3200,MADRID/GETAFE,3.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,4.0,6.0,10.0,6.0,3.92,NP_010
3195,"MADRID,RETIRO",3.0,1.0,2.0,10.0,0.0,1.0,2.0,4.0,5.0,6.0,12.0,9.0,4.58,NP_010
3175,MADRID/TORREJÓN,3.0,0.0,2.0,10.0,0.0,1.0,1.0,2.0,5.0,6.0,8.0,6.0,3.67,NP_010
2462,"NAVACERRADA,PUERTO",8.0,2.0,5.0,16.0,3.0,2.0,3.0,5.0,8.0,10.0,24.0,13.0,8.25,NP_010
3191E,COLMENAR VIEJO/FAMET,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.75,NP_100
3129,MADRID/BARAJAS,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,1.08,NP_100
3196,MADRID/CUATRO VIENTOS,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.75,NP_100
3200,MADRID/GETAFE,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,3.0,0.83,NP_100
3195,"MADRID,RETIRO",0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.92,NP_100
3175,MADRID/TORREJÓN,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.42,NP_100
2462,"NAVACERRADA,PUERTO",6.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,3.0,5.0,10.0,7.0,3.42,NP_100
3191E,COLMENAR VIEJO/FAMET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,NP_300
3129,MADRID/BARAJAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08,NP_300
3196,MADRID/CUATRO VIENTOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.17,NP_300
3200,MADRID/GETAFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.17,NP_300
3195,"MADRID,RETIRO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,NP_300
3175,MADRID/TORREJÓN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NP_300
2462,"NAVACERRADA,PUERTO",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.42,NP_300
