Indicativo,NOMBRE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,media anual,Tipo
3191E,COLMENAR VIEJO/FAMET,6.4,8.4,10.4,9.9,15.9,20.7,25.3,23.9,19.6,14.8,7.3,7.9,14.2,TM_MES
3129,MADRID/BARAJAS,5.7,7.8,11.2,12.5,18.3,23.1,27.5,25.8,21.1,16.1,10.2,8.5,15.7,TM_MES
3196,MADRID/CUATRO VIENTOS,6.8,9.2,12.2,12.6,18.7,23.4,27.6,26.1,21.5,16.4,9.8,9.0,16.1,TM_MES
3200,MADRID/GETAFE,6.5,9.2,12.4,12.7,19.2,23.8,28.1,26.4,21.9,16.7,10.3,9.0,16.4,TM_MES
3195,"MADRID,RETIRO",6.5,9.4,12.4,12.6,18.9,23.7,28.0,26.1,21.2,16.2,9.6,8.8,16.1,TM_MES
3175,MADRID/TORREJÓN,5.4,7.8,10.9,11.9,17.6,22.5,27.2,25.5,21.2,15.8,9.8,8.1,15.3,TM_MES
2462,"NAVACERRADA,PUERTO",1.2,3.4,4.7,3.3,9.8,14.0,18.7,17.8,13.8,9.7,0.9,3.7,8.4,TM_MES
3191E,COLMENAR VIEJO/FAMET,10.5,12.9,15.7,14.6,22.5,26.8,31.4,29.8,24.8,19.2,10.3,11.2,19.1,TM_MAX
3129,MADRID/BARAJAS,12.7,16.1,19.3,18.5,26.6,31.2,35.5,33.7,27.9,22.6,13.8,13.0,22.6,TM_MAX
3196,MADRID/CUATRO VIENTOS,12.6,15.5,18.6,18.1,25.9,30.3,34.5,32.9,27.5,22.1,13.3,13.1,22.0,TM_MAX
3200,MADRID/GETAFE,12.6,15.9,18.9,18.1,26.4,30.6,34.8,33.0,27.7,22.2,13.5,13.0,22.2,TM_MAX
3195,"MADRID,RETIRO",11.1,14.6,18.1,17.7,25.7,30.3,34.6,32.4,26.7,20.7,12.6,12.0,21.4,TM_MAX
3175,MADRID/TORREJÓN,12.8,16.3,19.2,18.0,26.2,31.3,35.6,33.8,27.9,22.4,13.9,13.0,22.5,TM_MAX
2462,"NAVACERRADA,PUERTO",4.6,7.2,9.5,7.2,15.1,19.5,24.7,23.6,18.4,13.5,3.1,6.4,12.7,TM_MAX
3191E,COLMENAR VIEJO/FAMET,2.3,3.8,5.0,5.1,9.3,14.6,19.0,17.9,14.3,10.3,4.3,4.6,9.2,TM_MIN
3129,MADRID/BARAJAS,-1.4,-0.4,3.1,6.4,10.0,14.9,19.5,17.8,14.1,9.6,6.6,3.9,8.7,TM_MIN
3196,MADRID/CUATRO VIENTOS,1.1,2.9,5.7,7.1,11.5,16.4,20.7,19.3,15.4,10.7,6.3,4.8,10.2,TM_MIN
3200,MADRID/GETAFE,0.5,2.5,5.9,7.4,12.1,17.0,21.3,19.8,16.0,11.3,6.9,5.0,10.5,TM_MIN
3195,"MADRID,RETIRO",2.0,4.1,6.7,7.4,12.0,17.1,21.4,19.7,15.7,11.6,6.6,5.6,10.8,TM_MIN
3175,MADRID/TORREJÓN,-1.9,-0.7,2.5,5.7,9.0,13.6,18.8,17.2,14.3,9.2,5.7,3.2,8.1,TM_MIN
2462,"NAVACERRADA,PUERTO",-2.3,-0.5,-0.1,-0.6,4.4,8.3,12.7,11.9,9.2,5.9,-1.5,1.0,4.0,TM_MIN
3191E,COLMENAR VIEJO/FAMET,16.0,18.0,21.5,23.0,30.0,37.0,36.6,34.1,31.5,26.7,18.0,17.4,25.82,TA_MAX
3129,MADRID/BARAJAS,16.3,21.3,25.3,27.1,33.9,41.2,40.3,37.6,34.4,30.1,21.6,17.6,28.89,TA_MAX
3196,MADRID/CUATRO VIENTOS,16.9,20.6,24.9,29.5,32.6,40.5,39.2,36.6,34.5,29.6,20.1,16.8,28.48,TA_MAX
3200,MADRID/GETAFE,17.0,21.0,25.0,26.8,34.0,41.0,39.4,37.4,34.2,30.0,20.4,17.4,28.63,TA_MAX
3195,"MADRID,RETIRO",15.2,19.8,23.9,26.0,33.5,40.7,38.8,37.2,32.7,28.0,19.3,16.0,27.59,TA_MAX
